county,office,party,candidate,votes
Burnet,President,DEM,Joseph R. Biden / Kamala D. Harris,5639
Burnet,President,REP,Donald J. Trump / Michael R. Pence,18767
Burnet,President,LIB,,311
Caldwell,President,DEM,Joseph R. Biden / Kamala D. Harris,6670
Caldwell,President,REP,Donald J. Trump / Michael R. Pence,8029
Caldwell,President,LIB,,270
Calhoun,President,DEM,Joseph R. Biden / Kamala D. Harris,2148
Calhoun,President,REP,Donald J. Trump / Michael R. Pence,5641
Calhoun,President,LIB,,79
Callahan,President,DEM,Joseph R. Biden / Kamala D. Harris,734
Callahan,President,REP,Donald J. Trump / Michael R. Pence,6012
Callahan,President,LIB,,86
Cameron,President,DEM,Joseph R. Biden / Kamala D. Harris,64063
Cameron,President,REP,Donald J. Trump / Michael R. Pence,49032
Cameron,President,LIB,,1231
Camp,President,DEM,Joseph R. Biden / Kamala D. Harris,1394
Camp,President,REP,Donald J. Trump / Michael R. Pence,3626
Camp,President,LIB,,38
Carson,President,DEM,Joseph R. Biden / Kamala D. Harris,297
Carson,President,REP,Donald J. Trump / Michael R. Pence,2779
Carson,President,LIB,,40
Cass,President,DEM,Joseph R. Biden / Kamala D. Harris,2795
Cass,President,REP,Donald J. Trump / Michael R. Pence,11033
Cass,President,LIB,,99
Castro,President,DEM,Joseph R. Biden / Kamala D. Harris,466
Castro,President,REP,Donald J. Trump / Michael R. Pence,1602
Castro,President,LIB,,15
Chambers,President,DEM,Joseph R. Biden / Kamala D. Harris,3997
Chambers,President,REP,Donald J. Trump / Michael R. Pence,17353
Chambers,President,LIB,,302
Cherokee,President,DEM,Joseph R. Biden / Kamala D. Harris,4210
Cherokee,President,REP,Donald J. Trump / Michael R. Pence,15101
Cherokee,President,LIB,,197
Childress,President,DEM,Joseph R. Biden / Kamala D. Harris,310
Childress,President,REP,Donald J. Trump / Michael R. Pence,1943
Childress,President,LIB,,30
Clay,President,DEM,Joseph R. Biden / Kamala D. Harris,614
Clay,President,REP,Donald J. Trump / Michael R. Pence,5069
Clay,President,LIB,,69
Cochran,President,DEM,Joseph R. Biden / Kamala D. Harris,177
Cochran,President,REP,Donald J. Trump / Michael R. Pence,809
Cochran,President,LIB,,14
Coke,President,DEM,Joseph R. Biden / Kamala D. Harris,178
Coke,President,REP,Donald J. Trump / Michael R. Pence,1586
Coke,President,LIB,,15
Coleman,President,DEM,Joseph R. Biden / Kamala D. Harris,451
Coleman,President,REP,Donald J. Trump / Michael R. Pence,3641
Coleman,President,LIB,,37
Collin,President,DEM,Joseph R. Biden / Kamala D. Harris,230921
Collin,President,REP,Donald J. Trump / Michael R. Pence,252286
Collin,President,LIB,,8934
Collingsworth,President,DEM,Joseph R. Biden / Kamala D. Harris,155
Collingsworth,President,REP,Donald J. Trump / Michael R. Pence,1048
Collingsworth,President,LIB,,15
Colorado,President,DEM,Joseph R. Biden / Kamala D. Harris,2420
Colorado,President,REP,Donald J. Trump / Michael R. Pence,7472
Colorado,President,LIB,,83
Comal,President,DEM,Joseph R. Biden / Kamala D. Harris,24826
Comal,President,REP,Donald J. Trump / Michael R. Pence,62740
Comal,President,LIB,,1326
Comanche,President,DEM,Joseph R. Biden / Kamala D. Harris,853
Comanche,President,REP,Donald J. Trump / Michael R. Pence,5177
Comanche,President,LIB,,56
Concho,President,DEM,Joseph R. Biden / Kamala D. Harris,197
Concho,President,REP,Donald J. Trump / Michael R. Pence,1058
Concho,President,LIB,,13
Cooke,President,DEM,Joseph R. Biden / Kamala D. Harris,3210
Cooke,President,REP,Donald J. Trump / Michael R. Pence,15596
Cooke,President,LIB,,190
Coryell,President,DEM,Joseph R. Biden / Kamala D. Harris,7565
Coryell,President,REP,Donald J. Trump / Michael R. Pence,15438
Coryell,President,LIB,,532
Cottle,President,DEM,Joseph R. Biden / Kamala D. Harris,113
Cottle,President,REP,Donald J. Trump / Michael R. Pence,540
Cottle,President,LIB,,9
Crane,President,DEM,Joseph R. Biden / Kamala D. Harris,241
Crane,President,REP,Donald J. Trump / Michael R. Pence,1247
Crane,President,LIB,,16
Crockett,President,DEM,Joseph R. Biden / Kamala D. Harris,344
Crockett,President,REP,Donald J. Trump / Michael R. Pence,1220
Crockett,President,LIB,,10
Crosby,President,DEM,Joseph R. Biden / Kamala D. Harris,527
Crosby,President,REP,Donald J. Trump / Michael R. Pence,1396
Crosby,President,LIB,,30
Culberson,President,DEM,Joseph R. Biden / Kamala D. Harris,438
Culberson,President,REP,Donald J. Trump / Michael R. Pence,415
Culberson,President,LIB,,11
Dallam,President,DEM,Joseph R. Biden / Kamala D. Harris,197
Dallam,President,REP,Donald J. Trump / Michael R. Pence,1389
Dallam,President,LIB,,23
Dallas,President,DEM,Joseph R. Biden / Kamala D. Harris,598600
Dallas,President,REP,Donald J. Trump / Michael R. Pence,307108
Dallas,President,LIB,,13302
Dawson,President,DEM,Joseph R. Biden / Kamala D. Harris,808
Dawson,President,REP,Donald J. Trump / Michael R. Pence,2951
Dawson,President,LIB,,30
DeWitt,President,DEM,Joseph R. Biden / Kamala D. Harris,1494
DeWitt,President,REP,Donald J. Trump / Michael R. Pence,6567
DeWitt,President,LIB,,57
Deaf Smith,President,DEM,Joseph R. Biden / Kamala D. Harris,1264
Deaf Smith,President,REP,Donald J. Trump / Michael R. Pence,3294
Deaf Smith,President,LIB,,52
Delta,President,DEM,Joseph R. Biden / Kamala D. Harris,403
Delta,President,REP,Donald J. Trump / Michael R. Pence,2162
Delta,President,LIB,,27
Denton,President,DEM,Joseph R. Biden / Kamala D. Harris,188562
Denton,President,REP,Donald J. Trump / Michael R. Pence,222235
Denton,President,LIB,,6787
Dickens,President,DEM,Joseph R. Biden / Kamala D. Harris,130
Dickens,President,REP,Donald J. Trump / Michael R. Pence,853
Dickens,President,LIB,,5
Dimmit,President,DEM,Joseph R. Biden / Kamala D. Harris,2264
Dimmit,President,REP,Donald J. Trump / Michael R. Pence,1384
Dimmit,President,LIB,,18
Donley,President,DEM,Joseph R. Biden / Kamala D. Harris,198
Donley,President,REP,Donald J. Trump / Michael R. Pence,1438
Donley,President,LIB,,12
Duval,President,DEM,Joseph R. Biden / Kamala D. Harris,2575
Duval,President,REP,Donald J. Trump / Michael R. Pence,2443
Duval,President,LIB,,35
Eastland,President,DEM,Joseph R. Biden / Kamala D. Harris,983
Eastland,President,REP,Donald J. Trump / Michael R. Pence,7237
Eastland,President,LIB,,73
Ector,President,DEM,Joseph R. Biden / Kamala D. Harris,11367
Ector,President,REP,Donald J. Trump / Michael R. Pence,32697
Ector,President,LIB,,527
Edwards,President,DEM,Joseph R. Biden / Kamala D. Harris,168
Edwards,President,REP,Donald J. Trump / Michael R. Pence,893
Edwards,President,LIB,,5
El Paso,President,DEM,Joseph R. Biden / Kamala D. Harris,178126
El Paso,President,REP,Donald J. Trump / Michael R. Pence,84331
El Paso,President,LIB,,4191
Ellis,President,DEM,Joseph R. Biden / Kamala D. Harris,27567
Ellis,President,REP,Donald J. Trump / Michael R. Pence,56721
Ellis,President,LIB,,1406
Erath,President,DEM,Joseph R. Biden / Kamala D. Harris,2916
Erath,President,REP,Donald J. Trump / Michael R. Pence,13684
Erath,President,LIB,,277
Falls,President,DEM,Joseph R. Biden / Kamala D. Harris,1899
Falls,President,REP,Donald J. Trump / Michael R. Pence,4177
Falls,President,LIB,,57
Fannin,President,DEM,Joseph R. Biden / Kamala D. Harris,2655
Fannin,President,REP,Donald J. Trump / Michael R. Pence,12171
Fannin,President,LIB,,181
Fayette,President,DEM,Joseph R. Biden / Kamala D. Harris,2661
Fayette,President,REP,Donald J. Trump / Michael R. Pence,10171
Fayette,President,LIB,,148
Fisher,President,DEM,Joseph R. Biden / Kamala D. Harris,352
Fisher,President,REP,Donald J. Trump / Michael R. Pence,1448
Fisher,President,LIB,,26
Floyd,President,DEM,Joseph R. Biden / Kamala D. Harris,438
Floyd,President,REP,Donald J. Trump / Michael R. Pence,1584
Floyd,President,LIB,,18
Foard,President,DEM,Joseph R. Biden / Kamala D. Harris,99
Foard,President,REP,Donald J. Trump / Michael R. Pence,445
Foard,President,LIB,,7
Fort Bend,President,DEM,Joseph R. Biden / Kamala D. Harris,195536
Fort Bend,President,REP,Donald J. Trump / Michael R. Pence,157713
Fort Bend,President,LIB,,5062
Franklin,President,DEM,Joseph R. Biden / Kamala D. Harris,804
Franklin,President,REP,Donald J. Trump / Michael R. Pence,4161
Franklin,President,LIB,,44
Freestone,President,DEM,Joseph R. Biden / Kamala D. Harris,1635
Freestone,President,REP,Donald J. Trump / Michael R. Pence,6991
Freestone,President,LIB,,93
Frio,President,DEM,Joseph R. Biden / Kamala D. Harris,2422
Frio,President,REP,Donald J. Trump / Michael R. Pence,2823
Frio,President,LIB,,32
Gaines,President,DEM,Joseph R. Biden / Kamala D. Harris,576
Gaines,President,REP,Donald J. Trump / Michael R. Pence,5355
Gaines,President,LIB,,65
Galveston,President,DEM,Joseph R. Biden / Kamala D. Harris,58840
Galveston,President,REP,Donald J. Trump / Michael R. Pence,93907
Galveston,President,LIB,,2575
Garza,President,DEM,Joseph R. Biden / Kamala D. Harris,231
Garza,President,REP,Donald J. Trump / Michael R. Pence,1413
Garza,President,LIB,,9
Gillespie,President,DEM,Joseph R. Biden / Kamala D. Harris,3177
Gillespie,President,REP,Donald J. Trump / Michael R. Pence,12514
Gillespie,President,LIB,,160
Glasscock,President,DEM,Joseph R. Biden / Kamala D. Harris,39
Glasscock,President,REP,Donald J. Trump / Michael R. Pence,611
Glasscock,President,LIB,,3
Goliad,President,DEM,Joseph R. Biden / Kamala D. Harris,877
Goliad,President,REP,Donald J. Trump / Michael R. Pence,3085
Goliad,President,LIB,,32
Gonzales,President,DEM,Joseph R. Biden / Kamala D. Harris,1948
Gonzales,President,REP,Donald J. Trump / Michael R. Pence,5627
Gonzales,President,LIB,,72
Gray,President,DEM,Joseph R. Biden / Kamala D. Harris,829
Gray,President,REP,Donald J. Trump / Michael R. Pence,6840
Gray,President,LIB,,113
Grayson,President,DEM,Joseph R. Biden / Kamala D. Harris,14506
Grayson,President,REP,Donald J. Trump / Michael R. Pence,44163
Grayson,President,LIB,,907
Gregg,President,DEM,Joseph R. Biden / Kamala D. Harris,14796
Gregg,President,REP,Donald J. Trump / Michael R. Pence,32493
Gregg,President,LIB,,693
Grimes,President,DEM,Joseph R. Biden / Kamala D. Harris,2833
Grimes,President,REP,Donald J. Trump / Michael R. Pence,9432
Grimes,President,LIB,,149
Guadalupe,President,DEM,Joseph R. Biden / Kamala D. Harris,28805
Guadalupe,President,REP,Donald J. Trump / Michael R. Pence,47553
Guadalupe,President,LIB,,1400
Hale,President,DEM,Joseph R. Biden / Kamala D. Harris,2279
Hale,President,REP,Donald J. Trump / Michael R. Pence,7177
Hale,President,LIB,,130
Hall,President,DEM,Joseph R. Biden / Kamala D. Harris,168
Hall,President,REP,Donald J. Trump / Michael R. Pence,995
Hall,President,LIB,,6
Hamilton,President,DEM,Joseph R. Biden / Kamala D. Harris,639
Hamilton,President,REP,Donald J. Trump / Michael R. Pence,3610
Hamilton,President,LIB,,113
Hansford,President,DEM,Joseph R. Biden / Kamala D. Harris,166
Hansford,President,REP,Donald J. Trump / Michael R. Pence,1849
Hansford,President,LIB,,32
Hardeman,President,DEM,Joseph R. Biden / Kamala D. Harris,241
Hardeman,President,REP,Donald J. Trump / Michael R. Pence,1330
Hardeman,President,LIB,,9
Hardin,President,DEM,Joseph R. Biden / Kamala D. Harris,3474
Hardin,President,REP,Donald J. Trump / Michael R. Pence,23858
Hardin,President,LIB,,303
Harris,President,DEM,Joseph R. Biden / Kamala D. Harris,918196
Harris,President,REP,Donald J. Trump / Michael R. Pence,700624
Harris,President,LIB,,21995
Harrison,President,DEM,Joseph R. Biden / Kamala D. Harris,7908
Harrison,President,REP,Donald J. Trump / Michael R. Pence,21466
Harrison,President,LIB,,343
Hartley,President,DEM,Joseph R. Biden / Kamala D. Harris,195
Hartley,President,REP,Donald J. Trump / Michael R. Pence,1868
Hartley,President,LIB,,15
Haskell,President,DEM,Joseph R. Biden / Kamala D. Harris,353
Haskell,President,REP,Donald J. Trump / Michael R. Pence,1840
Haskell,President,LIB,,21
Hays,President,DEM,Joseph R. Biden / Kamala D. Harris,59477
Hays,President,REP,Donald J. Trump / Michael R. Pence,47644
Hays,President,LIB,,2191
Hemphill,President,DEM,Joseph R. Biden / Kamala D. Harris,206
Hemphill,President,REP,Donald J. Trump / Michael R. Pence,1486
Hemphill,President,LIB,,28
Henderson,President,DEM,Joseph R. Biden / Kamala D. Harris,7060
Henderson,President,REP,Donald J. Trump / Michael R. Pence,28911
Henderson,President,LIB,,397
Hidalgo,President,DEM,Joseph R. Biden / Kamala D. Harris,128199
Hidalgo,President,REP,Donald J. Trump / Michael R. Pence,90527
Hidalgo,President,LIB,,2158
Hill,President,DEM,Joseph R. Biden / Kamala D. Harris,2860
Hill,President,REP,Donald J. Trump / Michael R. Pence,11926
Hill,President,LIB,,145
Hockley,President,DEM,Joseph R. Biden / Kamala D. Harris,1482
Hockley,President,REP,Donald J. Trump / Michael R. Pence,6536
Hockley,President,LIB,,84
Hood,President,DEM,Joseph R. Biden / Kamala D. Harris,5701
Hood,President,REP,Donald J. Trump / Michael R. Pence,26672
Hood,President,LIB,,455
Hopkins,President,DEM,Joseph R. Biden / Kamala D. Harris,3046
Hopkins,President,REP,Donald J. Trump / Michael R. Pence,12719
Hopkins,President,LIB,,176
Houston,President,DEM,Joseph R. Biden / Kamala D. Harris,2314
Houston,President,REP,Donald J. Trump / Michael R. Pence,7060
Houston,President,LIB,,74
Howard,President,DEM,Joseph R. Biden / Kamala D. Harris,2069
Howard,President,REP,Donald J. Trump / Michael R. Pence,8054
Howard,President,LIB,,117
Hudspeth,President,DEM,Joseph R. Biden / Kamala D. Harris,371
Hudspeth,President,REP,Donald J. Trump / Michael R. Pence,779
Hudspeth,President,LIB,,15
Hunt,President,DEM,Joseph R. Biden / Kamala D. Harris,8906
Hunt,President,REP,Donald J. Trump / Michael R. Pence,29163
Hunt,President,LIB,,528
Hutchinson,President,DEM,Joseph R. Biden / Kamala D. Harris,965
Hutchinson,President,REP,Donald J. Trump / Michael R. Pence,7681
Hutchinson,President,LIB,,139
Irion,President,DEM,Joseph R. Biden / Kamala D. Harris,120
Irion,President,REP,Donald J. Trump / Michael R. Pence,763
Irion,President,LIB,,10
Jack,President,DEM,Joseph R. Biden / Kamala D. Harris,331
Jack,President,REP,Donald J. Trump / Michael R. Pence,3418
Jack,President,LIB,,33
Jackson,President,DEM,Joseph R. Biden / Kamala D. Harris,1033
Jackson,President,REP,Donald J. Trump / Michael R. Pence,5231
Jackson,President,LIB,,87
Jasper,President,DEM,Joseph R. Biden / Kamala D. Harris,2954
Jasper,President,REP,Donald J. Trump / Michael R. Pence,12542
Jasper,President,LIB,,131
Jeff Davis,President,DEM,Joseph R. Biden / Kamala D. Harris,501
Jeff Davis,President,REP,Donald J. Trump / Michael R. Pence,784
Jeff Davis,President,LIB,,20
Jefferson,President,DEM,Joseph R. Biden / Kamala D. Harris,46073
Jefferson,President,REP,Donald J. Trump / Michael R. Pence,47570
Jefferson,President,LIB,,1116
Jim Hogg,President,DEM,Joseph R. Biden / Kamala D. Harris,1197
Jim Hogg,President,REP,Donald J. Trump / Michael R. Pence,833
Jim Hogg,President,LIB,,6
Jim Wells,President,DEM,Joseph R. Biden / Kamala D. Harris,6119
Jim Wells,President,REP,Donald J. Trump / Michael R. Pence,7453
Jim Wells,President,LIB,,110
Johnson,President,DEM,Joseph R. Biden / Kamala D. Harris,16462
Johnson,President,REP,Donald J. Trump / Michael R. Pence,54624
Johnson,President,LIB,,927
Jones,President,DEM,Joseph R. Biden / Kamala D. Harris,999
Jones,President,REP,Donald J. Trump / Michael R. Pence,5660
Jones,President,LIB,,88
Karnes,President,DEM,Joseph R. Biden / Kamala D. Harris,1234
Karnes,President,REP,Donald J. Trump / Michael R. Pence,3968
Karnes,President,LIB,,51
Kaufman,President,DEM,Joseph R. Biden / Kamala D. Harris,18405
Kaufman,President,REP,Donald J. Trump / Michael R. Pence,37624
Kaufman,President,LIB,,674
Kendall,President,DEM,Joseph R. Biden / Kamala D. Harris,6020
Kendall,President,REP,Donald J. Trump / Michael R. Pence,20083
Kendall,President,LIB,,413
Kenedy,President,DEM,Joseph R. Biden / Kamala D. Harris,65
Kenedy,President,REP,Donald J. Trump / Michael R. Pence,127
Kenedy,President,LIB,,2
Kent,President,DEM,Joseph R. Biden / Kamala D. Harris,47
Kent,President,REP,Donald J. Trump / Michael R. Pence,408
Kent,President,LIB,,4
Kerr,President,DEM,Joseph R. Biden / Kamala D. Harris,6524
Kerr,President,REP,Donald J. Trump / Michael R. Pence,20879
Kerr,President,LIB,,342
Kimble,President,DEM,Joseph R. Biden / Kamala D. Harris,284
Kimble,President,REP,Donald J. Trump / Michael R. Pence,1987
Kimble,President,LIB,,21
King,President,DEM,Joseph R. Biden / Kamala D. Harris,8
King,President,REP,Donald J. Trump / Michael R. Pence,151
Kinney,President,DEM,Joseph R. Biden / Kamala D. Harris,446
Kinney,President,REP,Donald J. Trump / Michael R. Pence,1144
Kinney,President,LIB,,14
Kleberg,President,DEM,Joseph R. Biden / Kamala D. Harris,5381
Kleberg,President,REP,Donald J. Trump / Michael R. Pence,5575
Kleberg,President,LIB,,141
Knox,President,DEM,Joseph R. Biden / Kamala D. Harris,265
Knox,President,REP,Donald J. Trump / Michael R. Pence,1180
Knox,President,LIB,,11
La Salle,President,DEM,Joseph R. Biden / Kamala D. Harris,1052
La Salle,President,REP,Donald J. Trump / Michael R. Pence,1335
La Salle,President,LIB,,19
Lamar,President,DEM,Joseph R. Biden / Kamala D. Harris,4458
Lamar,President,REP,Donald J. Trump / Michael R. Pence,16760
Lamar,President,LIB,,224
Lamb,President,DEM,Joseph R. Biden / Kamala D. Harris,840
Lamb,President,REP,Donald J. Trump / Michael R. Pence,3521
Lamb,President,LIB,,57
Lampasas,President,DEM,Joseph R. Biden / Kamala D. Harris,2144
Lampasas,President,REP,Donald J. Trump / Michael R. Pence,8086
Lampasas,President,LIB,,169
Lavaca,President,DEM,Joseph R. Biden / Kamala D. Harris,1333
Lavaca,President,REP,Donald J. Trump / Michael R. Pence,8804
Lavaca,President,LIB,,68
Lee,President,DEM,Joseph R. Biden / Kamala D. Harris,1750
Lee,President,REP,Donald J. Trump / Michael R. Pence,6255
Lee,President,LIB,,95
Leon,President,DEM,Joseph R. Biden / Kamala D. Harris,1072
Leon,President,REP,Donald J. Trump / Michael R. Pence,7523
Leon,President,LIB,,90
Liberty,President,DEM,Joseph R. Biden / Kamala D. Harris,5785
Liberty,President,REP,Donald J. Trump / Michael R. Pence,23302
Liberty,President,LIB,,247
Limestone,President,DEM,Joseph R. Biden / Kamala D. Harris,2213
Limestone,President,REP,Donald J. Trump / Michael R. Pence,6789
Limestone,President,LIB,,93
Lipscomb,President,DEM,Joseph R. Biden / Kamala D. Harris,131
Lipscomb,President,REP,Donald J. Trump / Michael R. Pence,1205
Lipscomb,President,LIB,,17
Live Oak,President,DEM,Joseph R. Biden / Kamala D. Harris,820
Live Oak,President,REP,Donald J. Trump / Michael R. Pence,4201
Live Oak,President,LIB,,37
Llano,President,DEM,Joseph R. Biden / Kamala D. Harris,2465
Llano,President,REP,Donald J. Trump / Michael R. Pence,10079
Llano,President,LIB,,116
Loving,President,DEM,Joseph R. Biden / Kamala D. Harris,4
Loving,President,REP,Donald J. Trump / Michael R. Pence,60
Loving,President,LIB,,2
Lubbock,President,DEM,Joseph R. Biden / Kamala D. Harris,40017
Lubbock,President,REP,Donald J. Trump / Michael R. Pence,78861
Lubbock,President,LIB,,1939
Lynn,President,DEM,Joseph R. Biden / Kamala D. Harris,429
Lynn,President,REP,Donald J. Trump / Michael R. Pence,1853
Lynn,President,LIB,,13
Madison,President,DEM,Joseph R. Biden / Kamala D. Harris,1088
Madison,President,REP,Donald J. Trump / Michael R. Pence,4169
Madison,President,LIB,,41
Marion,President,DEM,Joseph R. Biden / Kamala D. Harris,1339
Marion,President,REP,Donald J. Trump / Michael R. Pence,3470
Marion,President,LIB,,55
Martin,President,DEM,Joseph R. Biden / Kamala D. Harris,288
Martin,President,REP,Donald J. Trump / Michael R. Pence,1857
Martin,President,LIB,,15
Mason,President,DEM,Joseph R. Biden / Kamala D. Harris,457
Mason,President,REP,Donald J. Trump / Michael R. Pence,1991
Mason,President,LIB,,26
Matagorda,President,DEM,Joseph R. Biden / Kamala D. Harris,3733
Matagorda,President,REP,Donald J. Trump / Michael R. Pence,9845
Matagorda,President,LIB,,149
Maverick,President,DEM,Joseph R. Biden / Kamala D. Harris,8326
Maverick,President,REP,Donald J. Trump / Michael R. Pence,6881
Maverick,President,LIB,,133
McCulloch,President,DEM,Joseph R. Biden / Kamala D. Harris,490
McCulloch,President,REP,Donald J. Trump / Michael R. Pence,2904
McCulloch,President,LIB,,42
McLennan,President,DEM,Joseph R. Biden / Kamala D. Harris,36688
McLennan,President,REP,Donald J. Trump / Michael R. Pence,59543
McLennan,President,LIB,,1641
McMullen,President,DEM,Joseph R. Biden / Kamala D. Harris,53
McMullen,President,REP,Donald J. Trump / Michael R. Pence,460
McMullen,President,LIB,,3
Medina,President,DEM,Joseph R. Biden / Kamala D. Harris,6773
Medina,President,REP,Donald J. Trump / Michael R. Pence,15642
Medina,President,LIB,,242
Menard,President,DEM,Joseph R. Biden / Kamala D. Harris,197
Menard,President,REP,Donald J. Trump / Michael R. Pence,823
Menard,President,LIB,,8
Midland,President,DEM,Joseph R. Biden / Kamala D. Harris,12329
Midland,President,REP,Donald J. Trump / Michael R. Pence,45624
Midland,President,LIB,,903
Milam,President,DEM,Joseph R. Biden / Kamala D. Harris,2496
Milam,President,REP,Donald J. Trump / Michael R. Pence,7984
Milam,President,LIB,,98
Mills,President,DEM,Joseph R. Biden / Kamala D. Harris,271
Mills,President,REP,Donald J. Trump / Michael R. Pence,2217
Mills,President,LIB,,17
Mitchell,President,DEM,Joseph R. Biden / Kamala D. Harris,397
Mitchell,President,REP,Donald J. Trump / Michael R. Pence,2170
Mitchell,President,LIB,,13
Montague,President,DEM,Joseph R. Biden / Kamala D. Harris,1097
Montague,President,REP,Donald J. Trump / Michael R. Pence,8615
Montague,President,LIB,,120
Montgomery,President,DEM,Joseph R. Biden / Kamala D. Harris,74377
Montgomery,President,REP,Donald J. Trump / Michael R. Pence,193382
Montgomery,President,LIB,,3784
Moore,President,DEM,Joseph R. Biden / Kamala D. Harris,1062
Moore,President,REP,Donald J. Trump / Michael R. Pence,4359
Moore,President,LIB,,87
Morris,President,DEM,Joseph R. Biden / Kamala D. Harris,1664
Morris,President,REP,Donald J. Trump / Michael R. Pence,3841
Morris,President,LIB,,46
Motley,President,DEM,Joseph R. Biden / Kamala D. Harris,46
Motley,President,REP,Donald J. Trump / Michael R. Pence,604
Motley,President,LIB,,2
Nacogdoches,President,DEM,Joseph R. Biden / Kamala D. Harris,9000
Nacogdoches,President,REP,Donald J. Trump / Michael R. Pence,17378
Nacogdoches,President,LIB,,407
Navarro,President,DEM,Joseph R. Biden / Kamala D. Harris,5101
Navarro,President,REP,Donald J. Trump / Michael R. Pence,13800
Navarro,President,LIB,,250
Newton,President,DEM,Joseph R. Biden / Kamala D. Harris,1173
Newton,President,REP,Donald J. Trump / Michael R. Pence,4882
Newton,President,LIB,,39
Nolan,President,DEM,Joseph R. Biden / Kamala D. Harris,1162
Nolan,President,REP,Donald J. Trump / Michael R. Pence,4131
Nolan,President,LIB,,74
Nueces,President,DEM,Joseph R. Biden / Kamala D. Harris,60925
Nueces,President,REP,Donald J. Trump / Michael R. Pence,64617
Nueces,President,LIB,,2009
