county,office,party,candidate,votes
Anderson,President,DEM,Joseph R. Biden / Kamala D. Harris,3955
Anderson,President,REP,Donald J. Trump / Michael R. Pence,15110
Anderson,President,LIB,,162
Andrews,President,DEM,Joseph R. Biden / Kamala D. Harris,850
Andrews,President,REP,Donald J. Trump / Michael R. Pence,4943
Andrews,President,LIB,,70
Angelina,President,DEM,Joseph R. Biden / Kamala D. Harris,9143
Angelina,President,REP,Donald J. Trump / Michael R. Pence,25076
Angelina,President,LIB,,416
Aransas,President,DEM,Joseph R. Biden / Kamala D. Harris,2916
Aransas,President,REP,Donald J. Trump / Michael R. Pence,9239
Aransas,President,LIB,,135
Archer,President,DEM,Joseph R. Biden / Kamala D. Harris,446
Archer,President,REP,Donald J. Trump / Michael R. Pence,4300
Archer,President,LIB,,50
Armstrong,President,DEM,Joseph R. Biden / Kamala D. Harris,75
Armstrong,President,REP,Donald J. Trump / Michael R. Pence,1035
Armstrong,President,LIB,,2
Atascosa,President,DEM,Joseph R. Biden / Kamala D. Harris,5876
Atascosa,President,REP,Donald J. Trump / Michael R. Pence,12039
Atascosa,President,LIB,,217
Austin,President,DEM,Joseph R. Biden / Kamala D. Harris,2951
Austin,President,REP,Donald J. Trump / Michael R. Pence,11447
Austin,President,LIB,,156
Bailey,President,DEM,Joseph R. Biden / Kamala D. Harris,409
Bailey,President,REP,Donald J. Trump / Michael R. Pence,1434
Bailey,President,LIB,,17
Bandera,President,DEM,Joseph R. Biden / Kamala D. Harris,2505
Bandera,President,REP,Donald J. Trump / Michael R. Pence,10057
Bandera,President,LIB,,153
Bastrop,President,DEM,Joseph R. Biden / Kamala D. Harris,15474
Bastrop,President,REP,Donald J. Trump / Michael R. Pence,20516
Bastrop,President,LIB,,772
Baylor,President,DEM,Joseph R. Biden / Kamala D. Harris,183
Baylor,President,REP,Donald J. Trump / Michael R. Pence,1494
Baylor,President,LIB,,25
Bee,President,DEM,Joseph R. Biden / Kamala D. Harris,3288
Bee,President,REP,Donald J. Trump / Michael R. Pence,6006
Bee,President,LIB,,126
Bell,President,DEM,Joseph R. Biden / Kamala D. Harris,57014
Bell,President,REP,Donald J. Trump / Michael R. Pence,67893
Bell,President,LIB,,2783
Bexar,President,DEM,Joseph R. Biden / Kamala D. Harris,448452
Bexar,President,REP,Donald J. Trump / Michael R. Pence,308618
Bexar,President,LIB,,12072
Blanco,President,DEM,Joseph R. Biden / Kamala D. Harris,1911
Blanco,President,REP,Donald J. Trump / Michael R. Pence,5443
Blanco,President,LIB,,105
Borden,President,DEM,Joseph R. Biden / Kamala D. Harris,16
Borden,President,REP,Donald J. Trump / Michael R. Pence,397
Borden,President,LIB,,3
Bosque,President,DEM,Joseph R. Biden / Kamala D. Harris,1561
Bosque,President,REP,Donald J. Trump / Michael R. Pence,7469
Bosque,President,LIB,,110
Bowie,President,DEM,Joseph R. Biden / Kamala D. Harris,10747
Bowie,President,REP,Donald J. Trump / Michael R. Pence,27116
Bowie,President,LIB,,453
Brazoria,President,DEM,Joseph R. Biden / Kamala D. Harris,62239
Brazoria,President,REP,Donald J. Trump / Michael R. Pence,90438
Brazoria,President,LIB,,2323
Brazos,President,DEM,Joseph R. Biden / Kamala D. Harris,35349
Brazos,President,REP,Donald J. Trump / Michael R. Pence,47530
Brazos,President,LIB,,2182
Brewster,President,DEM,Joseph R. Biden / Kamala D. Harris,2258
Brewster,President,REP,Donald J. Trump / Michael R. Pence,2461
Brewster,President,LIB,,103
Briscoe,President,DEM,Joseph R. Biden / Kamala D. Harris,78
Briscoe,President,REP,Donald J. Trump / Michael R. Pence,639
Briscoe,President,LIB,,8
Brooks,President,DEM,Joseph R. Biden / Kamala D. Harris,1470
Brooks,President,REP,Donald J. Trump / Michael R. Pence,998
Brooks,President,LIB,,16
Brown,President,DEM,Joseph R. Biden / Kamala D. Harris,2107
Brown,President,REP,Donald J. Trump / Michael R. Pence,13698
Brown,President,LIB,,164
Burleson,President,DEM,Joseph R. Biden / Kamala D. Harris,1788
Burleson,President,REP,Donald J. Trump / Michael R. Pence,6743
Burleson,President,LIB,,78
