county,office,party,candidate,votes
Cochran,Governor,REP,Greg Abbott,506
Cochran,Governor,LIB,,15
Coke,Governor,DEM,Beto O'Rourke,114
Coke,Governor,REP,Greg Abbott,1260
Coke,Governor,LIB,,15
Coleman,Governor,DEM,Beto O'Rourke,269
Coleman,Governor,REP,Greg Abbott,2942
Coleman,Governor,LIB,,29
Collin,Governor,DEM,Beto O'Rourke,161737
Collin,Governor,REP,Greg Abbott,198236
Collin,Governor,LIB,,5003
Collingsworth,Governor,DEM,Beto O'Rourke,75
Collingsworth,Governor,REP,Greg Abbott,845
Collingsworth,Governor,LIB,,5
Colorado,Governor,DEM,Beto O'Rourke,1395
Colorado,Governor,REP,Greg Abbott,6084
Colorado,Governor,LIB,,71
Comal,Governor,DEM,Beto O'Rourke,19195
Comal,Governor,REP,Greg Abbott,54503
Comal,Governor,LIB,,1065
Comanche,Governor,DEM,Beto O'Rourke,567
Comanche,Governor,REP,Greg Abbott,4203
Comanche,Governor,LIB,,59
Concho,Governor,DEM,Beto O'Rourke,109
Concho,Governor,REP,Greg Abbott,818
Concho,Governor,LIB,,16
Cooke,Governor,DEM,Beto O'Rourke,2308
Cooke,Governor,REP,Greg Abbott,12815
Cooke,Governor,LIB,,202
Coryell,Governor,DEM,Beto O'Rourke,4450
Coryell,Governor,REP,Greg Abbott,11652
Coryell,Governor,LIB,,277
Cottle,Governor,DEM,Beto O'Rourke,54
Cottle,Governor,REP,Greg Abbott,453
Cottle,Governor,LIB,,7
Crane,Governor,DEM,Beto O'Rourke,150
Crane,Governor,REP,Greg Abbott,983
Crane,Governor,LIB,,14
Crockett,Governor,DEM,Beto O'Rourke,276
Crockett,Governor,REP,Greg Abbott,964
Crockett,Governor,LIB,,33
Crosby,Governor,DEM,Beto O'Rourke,255
Crosby,Governor,REP,Greg Abbott,990
Crosby,Governor,LIB,,9
Culberson,Governor,DEM,Beto O'Rourke,328
Culberson,Governor,REP,Greg Abbott,391
Culberson,Governor,LIB,,16
Dallam,Governor,DEM,Beto O'Rourke,78
Dallam,Governor,REP,Greg Abbott,958
Dallam,Governor,LIB,,14
Dallas,Governor,DEM,Beto O'Rourke,392634
Dallas,Governor,REP,Greg Abbott,224684
Dallas,Governor,LIB,,8587
Dawson,Governor,DEM,Beto O'Rourke,402
Dawson,Governor,REP,Greg Abbott,2088
Dawson,Governor,LIB,,26
DeWitt,Governor,DEM,Beto O'Rourke,878
DeWitt,Governor,REP,Greg Abbott,5151
DeWitt,Governor,LIB,,32
Deaf Smith,Governor,DEM,Beto O'Rourke,635
Deaf Smith,Governor,REP,Greg Abbott,2281
Deaf Smith,Governor,LIB,,31
Delta,Governor,DEM,Beto O'Rourke,295
Delta,Governor,REP,Greg Abbott,1711
Delta,Governor,LIB,,21
Denton,Governor,DEM,Beto O'Rourke,136388
Denton,Governor,REP,Greg Abbott,177015
Denton,Governor,LIB,,4375
Dickens,Governor,DEM,Beto O'Rourke,98
Dickens,Governor,REP,Greg Abbott,684
Dickens,Governor,LIB,,9
Dimmit,Governor,DEM,Beto O'Rourke,1757
Dimmit,Governor,REP,Greg Abbott,1080
Dimmit,Governor,LIB,,40
Donley,Governor,DEM,Beto O'Rourke,97
Donley,Governor,REP,Greg Abbott,1084
Donley,Governor,LIB,,11
Duval,Governor,DEM,Beto O'Rourke,2018
Duval,Governor,REP,Greg Abbott,1600
Duval,Governor,LIB,,58
Eastland,Governor,DEM,Beto O'Rourke,634
Eastland,Governor,REP,Greg Abbott,5468
Eastland,Governor,LIB,,50
Ector,Governor,DEM,Beto O'Rourke,5950
Ector,Governor,REP,Greg Abbott,19212
Ector,Governor,LIB,,287
Edwards,Governor,DEM,Beto O'Rourke,99
Edwards,Governor,REP,Greg Abbott,712
Edwards,Governor,LIB,,3
El Paso,Governor,DEM,Beto O'Rourke,105156
El Paso,Governor,REP,Greg Abbott,57573
El Paso,Governor,LIB,,2789
Ellis,Governor,DEM,Beto O'Rourke,21338
Ellis,Governor,REP,Greg Abbott,45564
Ellis,Governor,LIB,,905
Erath,Governor,DEM,Beto O'Rourke,1976
Erath,Governor,REP,Greg Abbott,10956
Erath,Governor,LIB,,192
Falls,Governor,DEM,Beto O'Rourke,1168
Falls,Governor,REP,Greg Abbott,3480
Falls,Governor,LIB,,55
Fannin,Governor,DEM,Beto O'Rourke,1820
Fannin,Governor,REP,Greg Abbott,9667
Fannin,Governor,LIB,,140
Fayette,Governor,DEM,Beto O'Rourke,1748
Fayette,Governor,REP,Greg Abbott,8649
Fayette,Governor,LIB,,108
Fisher,Governor,DEM,Beto O'Rourke,210
Fisher,Governor,REP,Greg Abbott,1172
Fisher,Governor,LIB,,19
Floyd,Governor,DEM,Beto O'Rourke,201
Floyd,Governor,REP,Greg Abbott,1250
Floyd,Governor,LIB,,17
Foard,Governor,DEM,Beto O'Rourke,69
Foard,Governor,REP,Greg Abbott,452
Foard,Governor,LIB,,8
Fort Bend,Governor,DEM,Beto O'Rourke,129116
Fort Bend,Governor,REP,Greg Abbott,117249
Fort Bend,Governor,LIB,,3839
Franklin,Governor,DEM,Beto O'Rourke,512
Franklin,Governor,REP,Greg Abbott,3369
Franklin,Governor,LIB,,36
Freestone,Governor,DEM,Beto O'Rourke,991
Freestone,Governor,REP,Greg Abbott,5600
Freestone,Governor,LIB,,70
Frio,Governor,DEM,Beto O'Rourke,1791
Frio,Governor,REP,Greg Abbott,1872
Frio,Governor,LIB,,59
Gaines,Governor,DEM,Beto O'Rourke,311
Gaines,Governor,REP,Greg Abbott,3761
Gaines,Governor,LIB,,44
Galveston,Governor,DEM,Beto O'Rourke,40229
Galveston,Governor,REP,Greg Abbott,68822
Galveston,Governor,LIB,,1683
Garza,Governor,DEM,Beto O'Rourke,135
Garza,Governor,REP,Greg Abbott,1056
Garza,Governor,LIB,,9
Gillespie,Governor,DEM,Beto O'Rourke,2421
Gillespie,Governor,REP,Greg Abbott,10801
Gillespie,Governor,LIB,,167
Glasscock,Governor,DEM,Beto O'Rourke,27
Glasscock,Governor,REP,Greg Abbott,542
Glasscock,Governor,LIB,,3
Goliad,Governor,DEM,Beto O'Rourke,663
Goliad,Governor,REP,Greg Abbott,2664
Goliad,Governor,LIB,,43
Gonzales,Governor,DEM,Beto O'Rourke,1129
Gonzales,Governor,REP,Greg Abbott,4369
Gonzales,Governor,LIB,,68
Gray,Governor,DEM,Beto O'Rourke,478
Gray,Governor,REP,Greg Abbott,5013
Gray,Governor,LIB,,68
Grayson,Governor,DEM,Beto O'Rourke,9581
Grayson,Governor,REP,Greg Abbott,34948
Grayson,Governor,LIB,,520
Gregg,Governor,DEM,Beto O'Rourke,8662
Gregg,Governor,REP,Greg Abbott,24223
Gregg,Governor,LIB,,338
Grimes,Governor,DEM,Beto O'Rourke,1732
Grimes,Governor,REP,Greg Abbott,7607
Grimes,Governor,LIB,,93
Guadalupe,Governor,DEM,Beto O'Rourke,19356
Guadalupe,Governor,REP,Greg Abbott,36882
Guadalupe,Governor,LIB,,1004
Hale,Governor,DEM,Beto O'Rourke,1165
Hale,Governor,REP,Greg Abbott,5094
Hale,Governor,LIB,,73
Hall,Governor,DEM,Beto O'Rourke,94
Hall,Governor,REP,Greg Abbott,774
Hall,Governor,LIB,,11
Hamilton,Governor,DEM,Beto O'Rourke,433
Hamilton,Governor,REP,Greg Abbott,3006
Hamilton,Governor,LIB,,37
Hansford,Governor,DEM,Beto O'Rourke,91
Hansford,Governor,REP,Greg Abbott,1419
Hansford,Governor,LIB,,12
Hardeman,Governor,DEM,Beto O'Rourke,114
Hardeman,Governor,REP,Greg Abbott,866
Hardeman,Governor,LIB,,5
Hardin,Governor,DEM,Beto O'Rourke,2029
Hardin,Governor,REP,Greg Abbott,17432
Hardin,Governor,LIB,,147
Harris,Governor,DEM,Beto O'Rourke,595653
Harris,Governor,REP,Greg Abbott,490261
Harris,Governor,LIB,,16504
Harrison,Governor,DEM,Beto O'Rourke,4688
Harrison,Governor,REP,Greg Abbott,16472
Harrison,Governor,LIB,,196
Hartley,Governor,DEM,Beto O'Rourke,96
Hartley,Governor,REP,Greg Abbott,1463
Hartley,Governor,LIB,,15
Haskell,Governor,DEM,Beto O'Rourke,191
Haskell,Governor,REP,Greg Abbott,1465
Haskell,Governor,LIB,,13
Hays,Governor,DEM,Beto O'Rourke,48970
Hays,Governor,REP,Greg Abbott,39085
Hays,Governor,LIB,,1672
Hemphill,Governor,DEM,Beto O'Rourke,138
Hemphill,Governor,REP,Greg Abbott,1198
Hemphill,Governor,LIB,,25
Henderson,Governor,DEM,Beto O'Rourke,4798
Henderson,Governor,REP,Greg Abbott,22909
Henderson,Governor,LIB,,308
Hidalgo,Governor,DEM,Beto O'Rourke,82671
Hidalgo,Governor,REP,Greg Abbott,56783
Hidalgo,Governor,LIB,,1784
Hill,Governor,DEM,Beto O'Rourke,1830
Hill,Governor,REP,Greg Abbott,9418
Hill,Governor,LIB,,137
Hockley,Governor,DEM,Beto O'Rourke,786
Hockley,Governor,REP,Greg Abbott,4690
Hockley,Governor,LIB,,58
Hood,Governor,DEM,Beto O'Rourke,4301
Hood,Governor,REP,Greg Abbott,22596
Hood,Governor,LIB,,346
Hopkins,Governor,DEM,Beto O'Rourke,1999
Hopkins,Governor,REP,Greg Abbott,10223
Hopkins,Governor,LIB,,129
Houston,Governor,DEM,Beto O'Rourke,1399
Houston,Governor,REP,Greg Abbott,5726
Houston,Governor,LIB,,62
Howard,Governor,DEM,Beto O'Rourke,1077
Howard,Governor,REP,Greg Abbott,5367
Howard,Governor,LIB,,126
Hudspeth,Governor,DEM,Beto O'Rourke,260
Hudspeth,Governor,REP,Greg Abbott,588
Hudspeth,Governor,LIB,,30
Hunt,Governor,DEM,Beto O'Rourke,6422
Hunt,Governor,REP,Greg Abbott,23744
Hunt,Governor,LIB,,395
Hutchinson,Governor,DEM,Beto O'Rourke,540
Hutchinson,Governor,REP,Greg Abbott,5437
Hutchinson,Governor,LIB,,88
Irion,Governor,DEM,Beto O'Rourke,70
Irion,Governor,REP,Greg Abbott,618
Irion,Governor,LIB,,7
Jack,Governor,DEM,Beto O'Rourke,227
Jack,Governor,REP,Greg Abbott,2744
Jack,Governor,LIB,,22
Jackson,Governor,DEM,Beto O'Rourke,550
Jackson,Governor,REP,Greg Abbott,4013
Jackson,Governor,LIB,,35
Jasper,Governor,DEM,Beto O'Rourke,1601
Jasper,Governor,REP,Greg Abbott,9701
Jasper,Governor,LIB,,83
Jeff Davis,Governor,DEM,Beto O'Rourke,374
Jeff Davis,Governor,REP,Greg Abbott,641
Jeff Davis,Governor,LIB,,36
Jefferson,Governor,DEM,Beto O'Rourke,26617
Jefferson,Governor,REP,Greg Abbott,34952
Jefferson,Governor,LIB,,870
Jim Hogg,Governor,DEM,Beto O'Rourke,876
Jim Hogg,Governor,REP,Greg Abbott,650
Jim Hogg,Governor,LIB,,16
Jim Wells,Governor,DEM,Beto O'Rourke,4375
Jim Wells,Governor,REP,Greg Abbott,5063
Jim Wells,Governor,LIB,,105
Johnson,Governor,DEM,Beto O'Rourke,12266
Johnson,Governor,REP,Greg Abbott,42954
Johnson,Governor,LIB,,644
Jones,Governor,DEM,Beto O'Rourke,581
Jones,Governor,REP,Greg Abbott,4349
Jones,Governor,LIB,,62
Karnes,Governor,DEM,Beto O'Rourke,776
Karnes,Governor,REP,Greg Abbott,3007
Karnes,Governor,LIB,,35
Kaufman,Governor,DEM,Beto O'Rourke,14002
Kaufman,Governor,REP,Greg Abbott,28285
Kaufman,Governor,LIB,,525
Kendall,Governor,DEM,Beto O'Rourke,4491
Kendall,Governor,REP,Greg Abbott,17684
Kendall,Governor,LIB,,339
Kenedy,Governor,DEM,Beto O'Rourke,42
Kenedy,Governor,REP,Greg Abbott,109
Kenedy,Governor,LIB,,2
Kent,Governor,DEM,Beto O'Rourke,34
Kent,Governor,REP,Greg Abbott,312
Kent,Governor,LIB,,4
Kerr,Governor,DEM,Beto O'Rourke,4648
Kerr,Governor,REP,Greg Abbott,17524
Kerr,Governor,LIB,,310
Kimble,Governor,DEM,Beto O'Rourke,188
Kimble,Governor,REP,Greg Abbott,1666
Kimble,Governor,LIB,,22
King,Governor,DEM,Beto O'Rourke,3
King,Governor,REP,Greg Abbott,100
Kinney,Governor,DEM,Beto O'Rourke,258
Kinney,Governor,REP,Greg Abbott,907
Kinney,Governor,LIB,,26
Kleberg,Governor,DEM,Beto O'Rourke,3463
Kleberg,Governor,REP,Greg Abbott,4074
Kleberg,Governor,LIB,,92
Knox,Governor,DEM,Beto O'Rourke,140
Knox,Governor,REP,Greg Abbott,889
Knox,Governor,LIB,,11
La Salle,Governor,DEM,Beto O'Rourke,662
La Salle,Governor,REP,Greg Abbott,761
La Salle,Governor,LIB,,14
Lamar,Governor,DEM,Beto O'Rourke,2665
Lamar,Governor,REP,Greg Abbott,12546
Lamar,Governor,LIB,,157
Lamb,Governor,DEM,Beto O'Rourke,419
Lamb,Governor,REP,Greg Abbott,2628
Lamb,Governor,LIB,,34
Lampasas,Governor,DEM,Beto O'Rourke,1502
Lampasas,Governor,REP,Greg Abbott,6625
Lampasas,Governor,LIB,,130
Lavaca,Governor,DEM,Beto O'Rourke,759
Lavaca,Governor,REP,Greg Abbott,7380
Lavaca,Governor,LIB,,75
Lee,Governor,DEM,Beto O'Rourke,1095
Lee,Governor,REP,Greg Abbott,5108
Lee,Governor,LIB,,81
Leon,Governor,DEM,Beto O'Rourke,698
Leon,Governor,REP,Greg Abbott,6082
Leon,Governor,LIB,,75
Liberty,Governor,DEM,Beto O'Rourke,3488
Liberty,Governor,REP,Greg Abbott,16079
Liberty,Governor,LIB,,223
Limestone,Governor,DEM,Beto O'Rourke,1366
Limestone,Governor,REP,Greg Abbott,5390
Limestone,Governor,LIB,,98
Lipscomb,Governor,DEM,Beto O'Rourke,69
Lipscomb,Governor,REP,Greg Abbott,894
Lipscomb,Governor,LIB,,14
Live Oak,Governor,DEM,Beto O'Rourke,545
Live Oak,Governor,REP,Greg Abbott,3424
Live Oak,Governor,LIB,,32
Llano,Governor,DEM,Beto O'Rourke,1920
Llano,Governor,REP,Greg Abbott,8977
Llano,Governor,LIB,,140
Loving,Governor,DEM,Beto O'Rourke,6
Loving,Governor,REP,Greg Abbott,69
Loving,Governor,LIB,,3
Lubbock,Governor,DEM,Beto O'Rourke,24497
Lubbock,Governor,REP,Greg Abbott,58163
Lubbock,Governor,LIB,,1108
Lynn,Governor,DEM,Beto O'Rourke,196
Lynn,Governor,REP,Greg Abbott,1502
Lynn,Governor,LIB,,29
Madison,Governor,DEM,Beto O'Rourke,595
Madison,Governor,REP,Greg Abbott,3272
Madison,Governor,LIB,,40
Marion,Governor,DEM,Beto O'Rourke,700
Marion,Governor,REP,Greg Abbott,2557
Marion,Governor,LIB,,45
Martin,Governor,DEM,Beto O'Rourke,149
Martin,Governor,REP,Greg Abbott,1341
Martin,Governor,LIB,,18
Mason,Governor,DEM,Beto O'Rourke,339
Mason,Governor,REP,Greg Abbott,1702
Mason,Governor,LIB,,20
Matagorda,Governor,DEM,Beto O'Rourke,2273
Matagorda,Governor,REP,Greg Abbott,7350
Matagorda,Governor,LIB,,101
Maverick,Governor,DEM,Beto O'Rourke,5555
Maverick,Governor,REP,Greg Abbott,3860
Maverick,Governor,LIB,,166
McCulloch,Governor,DEM,Beto O'Rourke,314
McCulloch,Governor,REP,Greg Abbott,2221
McCulloch,Governor,LIB,,28
McLennan,Governor,DEM,Beto O'Rourke,23765
McLennan,Governor,REP,Greg Abbott,47875
McLennan,Governor,LIB,,950
McMullen,Governor,DEM,Beto O'Rourke,28
McMullen,Governor,REP,Greg Abbott,343
McMullen,Governor,LIB,,1
Medina,Governor,DEM,Beto O'Rourke,4591
Medina,Governor,REP,Greg Abbott,12601
Medina,Governor,LIB,,174
Menard,Governor,DEM,Beto O'Rourke,110
Menard,Governor,REP,Greg Abbott,659
Menard,Governor,LIB,,6
Midland,Governor,DEM,Beto O'Rourke,7154
Midland,Governor,REP,Greg Abbott,32389
Midland,Governor,LIB,,526
Milam,Governor,DEM,Beto O'Rourke,1559
Milam,Governor,REP,Greg Abbott,6717
Milam,Governor,LIB,,82
Mills,Governor,DEM,Beto O'Rourke,198
Mills,Governor,REP,Greg Abbott,1894
Mills,Governor,LIB,,29
Mitchell,Governor,DEM,Beto O'Rourke,185
Mitchell,Governor,REP,Greg Abbott,1576
Mitchell,Governor,LIB,,20
Montague,Governor,DEM,Beto O'Rourke,765
Montague,Governor,REP,Greg Abbott,7004
Montague,Governor,LIB,,88
Montgomery,Governor,DEM,Beto O'Rourke,52654
Montgomery,Governor,REP,Greg Abbott,152694
Montgomery,Governor,LIB,,2661
Moore,Governor,DEM,Beto O'Rourke,479
Moore,Governor,REP,Greg Abbott,3081
Moore,Governor,LIB,,43
Morris,Governor,DEM,Beto O'Rourke,921
Morris,Governor,REP,Greg Abbott,3041
Morris,Governor,LIB,,36
Motley,Governor,DEM,Beto O'Rourke,18
Motley,Governor,REP,Greg Abbott,482
Motley,Governor,LIB,,5
Nacogdoches,Governor,DEM,Beto O'Rourke,5480
Nacogdoches,Governor,REP,Greg Abbott,13248
Nacogdoches,Governor,LIB,,228
Navarro,Governor,DEM,Beto O'Rourke,3157
Navarro,Governor,REP,Greg Abbott,10829
Navarro,Governor,LIB,,156
Newton,Governor,DEM,Beto O'Rourke,689
Newton,Governor,REP,Greg Abbott,3660
Newton,Governor,LIB,,24
Nolan,Governor,DEM,Beto O'Rourke,647
Nolan,Governor,REP,Greg Abbott,3093
Nolan,Governor,LIB,,63
Nueces,Governor,DEM,Beto O'Rourke,40474
Nueces,Governor,REP,Greg Abbott,47567
Nueces,Governor,LIB,,1264
Ochiltree,Governor,DEM,Beto O'Rourke,135
Ochiltree,Governor,REP,Greg Abbott,1975
Ochiltree,Governor,LIB,,17
Oldham,Governor,DEM,Beto O'Rourke,50
Oldham,Governor,REP,Greg Abbott,710
Oldham,Governor,LIB,,10
Orange,Governor,DEM,Beto O'Rourke,3722
Orange,Governor,REP,Greg Abbott,21153
Orange,Governor,LIB,,238
Palo Pinto,Governor,DEM,Beto O'Rourke,1486
Palo Pinto,Governor,REP,Greg Abbott,7896
Palo Pinto,Governor,LIB,,109
Panola,Governor,DEM,Beto O'Rourke,1213
Panola,Governor,REP,Greg Abbott,7039
Panola,Governor,LIB,,59
Parker,Governor,DEM,Beto O'Rourke,10123
Parker,Governor,REP,Greg Abbott,52523
Parker,Governor,LIB,,822
Parmer,Governor,DEM,Beto O'Rourke,202
Parmer,Governor,REP,Greg Abbott,1546
Parmer,Governor,LIB,,20
Pecos,Governor,DEM,Beto O'Rourke,1043
Pecos,Governor,REP,Greg Abbott,2548
Pecos,Governor,LIB,,94
Polk,Governor,DEM,Beto O'Rourke,3229
Polk,Governor,REP,Greg Abbott,13377
Polk,Governor,LIB,,170
Potter,Governor,DEM,Beto O'Rourke,5361
Potter,Governor,REP,Greg Abbott,16082
Potter,Governor,LIB,,363
Presidio,Governor,DEM,Beto O'Rourke,1133
Presidio,Governor,REP,Greg Abbott,561
Presidio,Governor,LIB,,30
Rains,Governor,DEM,Beto O'Rourke,596
Rains,Governor,REP,Greg Abbott,4339
Rains,Governor,LIB,,52
Randall,Governor,DEM,Beto O'Rourke,8228
Randall,Governor,REP,Greg Abbott,39243
Randall,Governor,LIB,,561
Reagan,Governor,DEM,Beto O'Rourke,90
Reagan,Governor,REP,Greg Abbott,616
Reagan,Governor,LIB,,10
Real,Governor,DEM,Beto O'Rourke,218
Real,Governor,REP,Greg Abbott,1337
Real,Governor,LIB,,11
Red River,Governor,DEM,Beto O'Rourke,764
Red River,Governor,REP,Greg Abbott,3482
Red River,Governor,LIB,,28
Reeves,Governor,DEM,Beto O'Rourke,801
Reeves,Governor,REP,Greg Abbott,1341
Reeves,Governor,LIB,,35
Refugio,Governor,DEM,Beto O'Rourke,639
Refugio,Governor,REP,Greg Abbott,1658
Refugio,Governor,LIB,,20
Roberts,Governor,DEM,Beto O'Rourke,7
Roberts,Governor,REP,Greg Abbott,430
Roberts,Governor,LIB,,7
Robertson,Governor,DEM,Beto O'Rourke,1293
Robertson,Governor,REP,Greg Abbott,4643
Robertson,Governor,LIB,,81
Rockwall,Governor,DEM,Beto O'Rourke,12132
Rockwall,Governor,REP,Greg Abbott,30211
Rockwall,Governor,LIB,,528
Runnels,Governor,DEM,Beto O'Rourke,277
Runnels,Governor,REP,Greg Abbott,2924
Runnels,Governor,LIB,,33
Rusk,Governor,DEM,Beto O'Rourke,2694
Rusk,Governor,REP,Greg Abbott,12751
Rusk,Governor,LIB,,176
Sabine,Governor,DEM,Beto O'Rourke,385
Sabine,Governor,REP,Greg Abbott,3755
Sabine,Governor,LIB,,26
San Augustine,Governor,DEM,Beto O'Rourke,546
San Augustine,Governor,REP,Greg Abbott,2288
San Augustine,Governor,LIB,,31
San Jacinto,Governor,DEM,Beto O'Rourke,1540
San Jacinto,Governor,REP,Greg Abbott,7882
San Jacinto,Governor,LIB,,130
San Patricio,Governor,DEM,Beto O'Rourke,5643
San Patricio,Governor,REP,Greg Abbott,12028
San Patricio,Governor,LIB,,230
San Saba,Governor,DEM,Beto O'Rourke,200
San Saba,Governor,REP,Greg Abbott,1947
San Saba,Governor,LIB,,18
Schleicher,Governor,DEM,Beto O'Rourke,159
Schleicher,Governor,REP,Greg Abbott,834
Schleicher,Governor,LIB,,15
Scurry,Governor,DEM,Beto O'Rourke,480
Scurry,Governor,REP,Greg Abbott,3607
Scurry,Governor,LIB,,41
Shackelford,Governor,DEM,Beto O'Rourke,81
Shackelford,Governor,REP,Greg Abbott,1148
Shackelford,Governor,LIB,,10
Shelby,Governor,DEM,Beto O'Rourke,1045
Shelby,Governor,REP,Greg Abbott,5846
Shelby,Governor,LIB,,41
Sherman,Governor,DEM,Beto O'Rourke,35
Sherman,Governor,REP,Greg Abbott,665
Sherman,Governor,LIB,,8
Smith,Governor,DEM,Beto O'Rourke,18763
Smith,Governor,REP,Greg Abbott,56608
Smith,Governor,LIB,,880
Somervell,Governor,DEM,Beto O'Rourke,553
Somervell,Governor,REP,Greg Abbott,3430
Somervell,Governor,LIB,,55
Starr,Governor,DEM,Beto O'Rourke,6455
Starr,Governor,REP,Greg Abbott,4460
Starr,Governor,LIB,,210
Stephens,Governor,DEM,Beto O'Rourke,217
Stephens,Governor,REP,Greg Abbott,2511
Stephens,Governor,LIB,,18
Sterling,Governor,DEM,Beto O'Rourke,20
Sterling,Governor,REP,Greg Abbott,423
Sterling,Governor,LIB,,5
Stonewall,Governor,DEM,Beto O'Rourke,70
Stonewall,Governor,REP,Greg Abbott,492
Stonewall,Governor,LIB,,3
Sutton,Governor,DEM,Beto O'Rourke,178
