county,office,party,candidate,votes
Anderson,Governor,DEM,Beto O'Rourke,2545
Anderson,Governor,REP,Greg Abbott,11762
Anderson,Governor,LIB,,141
Andrews,Governor,DEM,Beto O'Rourke,479
Andrews,Governor,REP,Greg Abbott,3302
Andrews,Governor,LIB,,45
Angelina,Governor,DEM,Beto O'Rourke,5174
Angelina,Governor,REP,Greg Abbott,19142
Angelina,Governor,LIB,,286
Aransas,Governor,DEM,Beto O'Rourke,1924
Aransas,Governor,REP,Greg Abbott,7581
Aransas,Governor,LIB,,136
Archer,Governor,DEM,Beto O'Rourke,315
Archer,Governor,REP,Greg Abbott,3498
Archer,Governor,LIB,,35
Armstrong,Governor,DEM,Beto O'Rourke,60
Armstrong,Governor,REP,Greg Abbott,831
Armstrong,Governor,LIB,,10
Atascosa,Governor,DEM,Beto O'Rourke,3708
Atascosa,Governor,REP,Greg Abbott,8801
Atascosa,Governor,LIB,,197
Austin,Governor,DEM,Beto O'Rourke,1873
Austin,Governor,REP,Greg Abbott,9209
Austin,Governor,LIB,,134
Bailey,Governor,DEM,Beto O'Rourke,213
Bailey,Governor,REP,Greg Abbott,1105
Bailey,Governor,LIB,,15
Bandera,Governor,DEM,Beto O'Rourke,1816
Bandera,Governor,REP,Greg Abbott,8527
Bandera,Governor,LIB,,141
Bastrop,Governor,DEM,Beto O'Rourke,12007
Bastrop,Governor,REP,Greg Abbott,16707
Bastrop,Governor,LIB,,542
Baylor,Governor,DEM,Beto O'Rourke,105
Baylor,Governor,REP,Greg Abbott,1183
Baylor,Governor,LIB,,19
Bee,Governor,DEM,Beto O'Rourke,1976
Bee,Governor,REP,Greg Abbott,4347
Bee,Governor,LIB,,87
Bell,Governor,DEM,Beto O'Rourke,34785
Bell,Governor,REP,Greg Abbott,51888
Bell,Governor,LIB,,1321
Bexar,Governor,DEM,Beto O'Rourke,311023
Bexar,Governor,REP,Greg Abbott,221993
Bexar,Governor,LIB,,8055
Blanco,Governor,DEM,Beto O'Rourke,1522
Blanco,Governor,REP,Greg Abbott,5142
Blanco,Governor,LIB,,113
Borden,Governor,DEM,Beto O'Rourke,9
Borden,Governor,REP,Greg Abbott,306
Borden,Governor,LIB,,2
Bosque,Governor,DEM,Beto O'Rourke,1094
Bosque,Governor,REP,Greg Abbott,6272
Bosque,Governor,LIB,,94
Bowie,Governor,DEM,Beto O'Rourke,6060
Bowie,Governor,REP,Greg Abbott,20206
Bowie,Governor,LIB,,327
Brazoria,Governor,DEM,Beto O'Rourke,43364
Brazoria,Governor,REP,Greg Abbott,64938
Brazoria,Governor,LIB,,1692
Brazos,Governor,DEM,Beto O'Rourke,23103
Brazos,Governor,REP,Greg Abbott,35768
Brazos,Governor,LIB,,1120
Brewster,Governor,DEM,Beto O'Rourke,1678
Brewster,Governor,REP,Greg Abbott,2014
Brewster,Governor,LIB,,71
Briscoe,Governor,DEM,Beto O'Rourke,49
Briscoe,Governor,REP,Greg Abbott,539
Briscoe,Governor,LIB,,4
Brooks,Governor,DEM,Beto O'Rourke,1204
Brooks,Governor,REP,Greg Abbott,785
Brooks,Governor,LIB,,19
Brown,Governor,DEM,Beto O'Rourke,1308
Brown,Governor,REP,Greg Abbott,10853
Brown,Governor,LIB,,124
Burleson,Governor,DEM,Beto O'Rourke,1142
Burleson,Governor,REP,Greg Abbott,5506
Burleson,Governor,LIB,,64
Burnet,Governor,DEM,Beto O'Rourke,4337
Burnet,Governor,REP,Greg Abbott,16505
Burnet,Governor,LIB,,269
Caldwell,Governor,DEM,Beto O'Rourke,4790
Caldwell,Governor,REP,Greg Abbott,6351
Caldwell,Governor,LIB,,224
Calhoun,Governor,DEM,Beto O'Rourke,1292
Calhoun,Governor,REP,Greg Abbott,4228
Calhoun,Governor,LIB,,73
Callahan,Governor,DEM,Beto O'Rourke,444
Callahan,Governor,REP,Greg Abbott,4770
Callahan,Governor,LIB,,52
Cameron,Governor,DEM,Beto O'Rourke,41667
Cameron,Governor,REP,Greg Abbott,34290
Cameron,Governor,LIB,,1170
Camp,Governor,DEM,Beto O'Rourke,863
Camp,Governor,REP,Greg Abbott,3082
Camp,Governor,LIB,,38
Carson,Governor,DEM,Beto O'Rourke,183
Carson,Governor,REP,Greg Abbott,2177
Carson,Governor,LIB,,34
Cass,Governor,DEM,Beto O'Rourke,1460
Cass,Governor,REP,Greg Abbott,8415
Cass,Governor,LIB,,94
Castro,Governor,DEM,Beto O'Rourke,239
Castro,Governor,REP,Greg Abbott,1226
Castro,Governor,LIB,,28
Chambers,Governor,DEM,Beto O'Rourke,2549
Chambers,Governor,REP,Greg Abbott,12948
Chambers,Governor,LIB,,213
Cherokee,Governor,DEM,Beto O'Rourke,2319
Cherokee,Governor,REP,Greg Abbott,12020
Cherokee,Governor,LIB,,137
Childress,Governor,DEM,Beto O'Rourke,162
Childress,Governor,REP,Greg Abbott,1562
Childress,Governor,LIB,,27
Clay,Governor,DEM,Beto O'Rourke,393
Clay,Governor,REP,Greg Abbott,4052
Clay,Governor,LIB,,44
Cochran,Governor,DEM,Beto O'Rourke,95
