county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Cooke County,COOKE,41751,42392,43036,43773,44353,44461,2710,6.490862494311514,108,0.24350100331431923
Coryell County,CORYELL,83102,84405,84160,85496,85173,85592,2490,2.9963177781521506,419,0.4919399340166485
Cottle County,COTTLE,1366,1357,1321,1296,1267,1224,-142,-10.395314787701318,-43,-3.3938437253354383
Crane County,CRANE,4671,4630,4552,4574,4591,4554,-117,-2.5048169556840074,-37,-0.8059246351557395
Crockett County,CROCKETT,3095,3022,2956,2846,2803,2769,-326,-10.533117932148626,-34,-1.2129860863360684
Crosby County,CROSBY,5096,5081,5004,4965,4953,4852,-244,-4.78806907378336,-101,-2.0391681809004645
Culberson County,CULBERSON,2185,2184,2160,2205,2273,2267,82,3.7528604118993134,-6,-0.2639683238011439
Dallam County,DALLAM,7137,7181,7247,7302,7447,7508,371,5.198262575311756,61,0.8191217940110112
Dallas County,DALLAS,2610802,2589912,2613911,2637393,2664013,2661397,50595,1.937910266653695,-2616,-0.09819771900512497
Dawson County,DAWSON,12474,12359,12167,11912,11852,11776,-698,-5.595638928972262,-76,-0.641241984475194
Deaf Smith County,DEAF SMITH,18533,18386,18423,18422,18513,18626,93,0.5018075864673825,113,0.6103818938043537
Delta County,DELTA,5221,5329,5402,5517,5558,5549,328,6.2823213943688945,-9,-0.16192875134940626
Denton County,DENTON,914517,944283,980835,1013965,1046226,1069346,154829,16.93013907887989,23120,2.209847585512117
DeWitt County,DEWITT,19841,19946,19790,20271,20360,20309,468,2.3587520790282746,-51,-0.2504911591355599
Dickens County,DICKENS,1758,1733,1731,1704,1702,1692,-66,-3.754266211604096,-10,-0.5875440658049353
Dimmit County,DIMMIT,8584,8484,8377,8293,8216,8024,-560,-6.523765144454799,-192,-2.3369036027263874
Donley County,DONLEY,3276,3355,3276,3188,3219,3213,-63,-1.9230769230769231,-6,-0.1863932898415657
Duval County,DUVAL,9811,10028,9698,9648,9652,9402,-409,-4.168790133523595,-250,-2.590136759220887
Eastland County,EASTLAND,17800,17863,17895,18221,18314,18143,343,1.9269662921348314,-171,-0.9337119143824396
Ector County,ECTOR,165491,160898,161879,165946,170654,173801,8310,5.021421104470938,3147,1.8440821779741465
Edwards County,EDWARDS,1421,1432,1427,1401,1381,1370,-51,-3.589021815622801,-11,-0.7965242577842143
Ellis County,ELLIS,194322,203253,212488,223347,232454,240867,46545,23.952511810294254,8413,3.6192106825436428
El Paso County,EL PASO,866582,867558,868332,873242,879894,877858,11276,1.301204040702438,-2036,-0.23139150852261747
Erath County,ERATH,42710,43372,43876,44304,43995,43911,1201,2.811987824865371,-84,-0.1909307875894988
Falls County,FALLS,16942,17094,16946,17660,17758,17869,927,5.471609019006021,111,0.6250703908097759
Fannin County,FANNIN,35974,36850,37219,37858,38778,39265,3291,9.148273753266247,487,1.2558667285574294
Fayette County,FAYETTE,24511,24734,24972,25436,25501,25459,948,3.86765125861858,-42,-0.16469942355201758
Fisher County,FISHER,3678,3679,3639,3614,3681,3692,14,0.38064165307232195,11,0.29883183917413747
Floyd County,FLOYD,5369,5293,5246,5124,5020,4881,-488,-9.089215868876886,-139,-2.768924302788845
Foard County,FOARD,1090,1062,1053,1085,1048,1044,-46,-4.220183486238533,-4,-0.38167938931297707
Fort Bend County,FORT BEND,830347,861857,893314,923883,951028,975191,144844,17.44379157147554,24163,2.5407243530158943
Franklin County,FRANKLIN,10372,10503,10645,10711,10843,10994,622,5.996914770536058,151,1.3926035230102372
Freestone County,FREESTONE,19439,19794,19997,20361,20686,20811,1372,7.057976233345337,125,0.6042734216378227
Frio County,FRIO,18406,17925,18133,18530,18807,18823,417,2.2655655764424645,16,0.08507470622640506
Gaines County,GAINES,21699,21876,22107,22552,23272,23956,2257,10.401400986220564,684,2.9391543485733926
Galveston County,GALVESTON,351586,355670,357747,362263,367367,372207,20621,5.865136837075424,4840,1.3174836063119442
Garza County,GARZA,5806,6257,4502,4544,4567,4510,-1296,-22.321736135032726,-57,-1.2480840814539085
Gillespie County,GILLESPIE,26768,27315,27540,27766,28126,28527,1759,6.571279139270771,401,1.4257270852591908
Glasscock County,GLASSCOCK,1117,1136,1143,1155,1145,1128,11,0.9847806624888094,-17,-1.48471615720524
Goliad County,GOLIAD,7021,7134,7147,7170,7203,7208,187,2.663438256658596,5,0.06941552131056504
Gonzales County,GONZALES,19670,19623,19847,20028,20129,20159,489,2.4860193187595323,30,0.14903870038253267
Gray County,GRAY,21197,21118,20951,20958,20931,20919,-278,-1.3115063452375337,-12,-0.057331231188189766
Grayson County,GRAYSON,136157,139642,143277,147072,150865,153613,17456,12.820493988557327,2748,1.8214960395055182
Gregg County,GREGG,124315,124236,125614,126439,126387,126095,1780,1.431846518923702,-292,-0.23103641988495655
Grimes County,GRIMES,29443,30160,31163,32582,33343,34252,4809,16.33325408416262,909,2.7262093992742105
Guadalupe County,GUADALUPE,173722,177363,183092,189244,195674,201111,27389,15.765993944347867,5437,2.778601142716968
Hale County,HALE,32458,32192,31966,31961,32080,31819,-639,-1.9686980097356583,-261,-0.8135910224438903
Hall County,HALL,2805,2851,2814,2808,2797,2737,-68,-2.4242424242424243,-60,-2.1451555237754736
Hamilton County,HAMILTON,8252,8241,8310,8603,8716,8680,428,5.186621425109064,-36,-0.4130335016062414
Hansford County,HANSFORD,5253,5122,5112,5078,5012,4944,-309,-5.88235294117647,-68,-1.3567438148443736
Hardeman County,HARDEMAN,3558,3546,3505,3448,3362,3292,-266,-7.476110174255199,-70,-2.0820939916716243
Hardin County,HARDIN,56357,57144,57802,58213,58636,58723,2366,4.1982362439448515,87,0.14837301316597312
Harris County,HARRIS,4734060,4736539,4809691,4896507,4996331,5045026,310966,6.568695791772812,48695,0.9746151726136638
Harrison County,HARRISON,68798,69565,69995,70999,71410,71956,3158,4.5902497165615275,546,0.7645987956868785
Hartley County,HARTLEY,5337,5387,5216,5116,4970,4904,-433,-8.113172194116546,-66,-1.3279678068410463
Haskell County,HASKELL,5439,5386,5422,5443,5470,5499,60,1.1031439602868174,29,0.5301645338208409
Hays County,HAYS,243984,256100,269554,281883,294339,304390,60406,24.75818086431897,10051,3.414770044064837
Hemphill County,HEMPHILL,3365,3325,3205,3150,3138,3083,-282,-8.380386329866269,-55,-1.7527087316762269
Henderson County,HENDERSON,82400,83772,84610,86371,87591,88595,6195,7.518203883495146,1004,1.1462364854836684
Hidalgo County,HIDALGO,872753,879576,888619,901096,913612,921549,48796,5.591043514029743,7937,0.8687495348134656
Hill County,HILL,35965,36387,37314,38236,38889,39503,3538,9.837341860141805,614,1.5788526318496234
Hockley County,HOCKLEY,21484,21244,21205,21343,21512,21600,116,0.5399366970768944,88,0.4090740052063964
Hood County,HOOD,62054,64281,66299,67717,69310,70501,8447,13.612337641409095,1191,1.7183667580435724
Hopkins County,HOPKINS,36833,37220,37815,38236,38826,39063,2230,6.054353433062742,237,0.6104157008190388
Houston County,HOUSTON,22073,21991,21939,22050,22331,22316,243,1.1008924930911068,-15,-0.06717119699073038
Howard County,HOWARD,34811,34387,30764,30702,30568,30504,-4307,-12.372525925713136,-64,-0.20936927505888508
Hudspeth County,HUDSPETH,3189,3275,3398,3399,3450,3433,244,7.651301348385074,-17,-0.49275362318840576
Hunt County,HUNT,100260,103616,108546,113819,119210,123336,23076,23.016157989228006,4126,3.4611190336381172
Hutchinson County,HUTCHINSON,20569,20448,20175,20020,19800,19633,-936,-4.550537216199134,-167,-0.8434343434343435
Irion County,IRION,1506,1531,1538,1552,1509,1463,-43,-2.8552456839309426,-46,-3.0483764082173623
Jack County,JACK,8484,8540,8738,9199,9421,9563,1079,12.718057520037718,142,1.5072709903407282
Jackson County,JACKSON,14997,15125,15156,15199,15357,15393,396,2.6405281056211245,36,0.2344207853096308
Jasper County,JASPER,32921,32572,32528,32740,32956,33075,154,0.4677865192430364,119,0.3610875106202209
Jeff Davis County,JEFF DAVIS,1987,1963,1909,1852,1775,1711,-276,-13.89028686462003,-64,-3.6056338028169015
Jefferson County,JEFFERSON,256141,253807,252341,253557,254497,254321,-1820,-0.7105461445063461,-176,-0.06915602148551848
Jim Hogg County,JIM HOGG,4845,4784,4749,4661,4611,4555,-290,-5.985552115583075,-56,-1.2144870960746041
Jim Wells County,JIM WELLS,38888,38894,38747,38766,38829,38804,-84,-0.2160049372557087,-25,-0.06438486698086482
Johnson County,JOHNSON,180955,187522,195956,203731,211590,218048,37093,20.498466469564256,6458,3.052129117633158
Jones County,JONES,19667,19895,20337,20812,20802,20861,1194,6.071083540956932,59,0.28362657436784927
Karnes County,KARNES,14811,14800,14989,14965,15020,15018,207,1.3976098845452705,-2,-0.013315579227696404
Kaufman County,KAUFMAN,147165,158316,172773,186658,198010,209235,62070,42.17714809907247,11225,5.6689056108277365
Kendall County,KENDALL,44568,46883,49058,50559,51977,53289,8721,19.567851373182553,1312,2.524193393231622
Kenedy County,KENEDY,349,340,356,347,323,319,-30,-8.595988538681947,-4,-1.238390092879257
Kent County,KENT,758,744,740,727,699,674,-84,-11.081794195250659,-25,-3.5765379113018603
Kerr County,KERR,52696,53195,53782,53922,54014,54037,1341,2.5447851829360864,23,0.04258155293072167
Kimble County,KIMBLE,4293,4351,4445,4480,4424,4438,145,3.377591427905893,14,0.31645569620253167
King County,KING,267,253,231,212,212,192,-75,-28.08988764044944,-20,-9.433962264150944
Kinney County,KINNEY,3127,3122,3129,3163,3124,3128,1,0.03197953309881676,4,0.12804097311139565
Kleberg County,KLEBERG,30986,30637,30437,30327,30329,30315,-671,-2.165494094107016,-14,-0.04616044050248937
Knox County,KNOX,3346,3318,3279,3318,3251,3192,-154,-4.602510460251046,-59,-1.8148262073208243
Lamar County,LAMAR,50131,50359,50488,51155,51342,51503,1372,2.736829506692466,161,0.31358342098087333
Lamb County,LAMB,13005,12902,12747,12713,12618,12579,-426,-3.275663206459054,-39,-0.3090822634331907
Lampasas County,LAMPASAS,21704,22218,22769,23328,23576,23657,1953,8.998341319572429,81,0.34356973193077706
La Salle County,LA SALLE,6642,6664,6513,6536,6550,6517,-125,-1.8819632640770851,-33,-0.5038167938931298
Lavaca County,LAVACA,20355,20537,20658,20565,20526,20651,296,1.4541881601572095,125,0.6089837279547891
Lee County,LEE,17504,17685,17972,18259,18501,18729,1225,6.998400365630713,228,1.2323658180638883
Leon County,LEON,15775,16048,16219,16574,16739,16894,1119,7.093502377179081,155,0.9259812414122708
Liberty County,LIBERTY,92471,97404,102615,109248,116291,121364,28893,31.24547155324372,5073,4.362332424693227
Limestone County,LIMESTONE,22141,22067,22337,22489,22747,22849,708,3.1976875479878957,102,0.4484107794434431
Lipscomb County,LIPSCOMB,3039,2902,2856,2916,2901,2955,-84,-2.7640671273445214,54,1.861427094105481
Live Oak County,LIVE OAK,11348,11405,11589,11823,11858,11929,581,5.11984490659147,71,0.5987518974531962
Llano County,LLANO,21331,22131,22739,22978,23310,23353,2022,9.47916178332005,43,0.18447018447018448
Loving County,LOVING,63,57,46,46,47,52,-11,-17.46031746031746,5,10.638297872340425
Lubbock County,LUBBOCK,311589,314608,317940,321411,325137,328906,17317,5.55764163689989,3769,1.159203658765382
Lynn County,LYNN,5609,5647,5757,5823,5959,6017,408,7.274023890176502,58,0.9733176707501259
McCulloch County,MCCULLOCH,7592,7535,7505,7510,7475,7472,-120,-1.5806111696522658,-3,-0.04013377926421405
McLennan County,MCLENNAN,261189,263802,266125,268480,270348,272020,10831,4.146805569912975,1672,0.6184621302913282
McMullen County,MCMULLEN,598,594,574,577,558,544,-54,-9.03010033444816,-14,-2.5089605734767026
Madison County,MADISON,13457,13503,13634,13752,14179,14226,769,5.714498030764658,47,0.33147612666619647
Marion County,MARION,9866,9738,9673,9717,9831,9896,30,0.3040745996351105,65,0.6611738378598311
Martin County,MARTIN,5259,5218,5267,5277,5287,5284,25,0.4753755466818787,-3,-0.05674295441649329
Mason County,MASON,3970,3936,3983,3937,4010,3990,20,0.5037783375314862,-20,-0.4987531172069825
Matagorda County,MATAGORDA,36287,36339,36107,36252,36190,36463,176,0.4850221842533139,273,0.7543520309477757
Maverick County,MAVERICK,57866,57647,57718,58077,58580,58823,957,1.6538208965541077,243,0.41481734380334584
Medina County,MEDINA,51058,52436,53739,54822,55611,56881,5823,11.404677033961377,1270,2.283720846595098
Menard County,MENARD,1959,1967,1980,1958,1920,1956,-3,-0.1531393568147014,36,1.875
Midland County,MIDLAND,170722,168667,172955,178641,184075,187855,17133,10.03561345345064,3780,2.0535107972293902
Milam County,MILAM,24780,25230,25668,26064,26254,26258,1478,5.964487489911219,4,0.015235773596404358
Mills County,MILLS,4447,4488,4497,4546,4586,4580,133,2.990780301326737,-6,-0.13083296990841692
Mitchell County,MITCHELL,9013,9053,8964,9095,8955,8947,-66,-0.7322756019083546,-8,-0.0893355667225014
Montague County,MONTAGUE,20040,20471,21106,21649,21863,21966,1926,9.610778443113773,103,0.471115583405754
Montgomery County,MONTGOMERY,625369,650934,681285,715961,751183,781194,155825,24.91728883267319,30011,3.995164959803404
Moore County,MOORE,21264,21122,21092,21279,21676,21891,627,2.9486455981941306,215,0.9918804207418342
Morris County,MORRIS,11978,12008,12074,12135,12167,12133,155,1.2940390716313241,-34,-0.27944439878359495
Motley County,MOTLEY,1062,1072,1030,1021,1003,1043,-19,-1.7890772128060264,40,3.988035892323031
Nacogdoches County,NACOGDOCHES,64642,64862,65015,65597,65963,66035,1393,2.154945700937471,72,0.10915210041993238
Navarro County,NAVARRO,52843,53666,54755,55734,56497,57181,4338,8.209223549003653,684,1.2106837531196346
Newton County,NEWTON,12163,12225,12086,12119,11989,11954,-209,-1.7183260708706733,-35,-0.29193427308366
Nolan County,NOLAN,14724,14604,14434,14243,14146,14117,-607,-4.122521054061396,-29,-0.20500494839530609
Nueces County,NUECES,353554,353538,351831,352505,352925,352992,-562,-0.15895733042194404,67,0.01898420344265779
Ochiltree County,OCHILTREE,9954,9768,9662,9645,9462,9284,-670,-6.730962427164959,-178,-1.8812090467131684
Oldham County,OLDHAM,1766,1734,1763,1773,1794,1783,17,0.9626274065685164,-11,-0.6131549609810479
Orange County,ORANGE,84759,84691,85103,85705,85969,86266,1507,1.777982279167994,297,0.3454733683071805
Palo Pinto County,PALO PINTO,28456,28758,29312,29808,30342,30791,2335,8.205650829350576,449,1.4797969810823282
Panola County,PANOLA,22498,22560,22722,22809,23034,23018,520,2.311316561472131,-16,-0.06946253364591473
Parker County,PARKER,149559,157087,165814,173437,179674,184767,35208,23.54121116081279,5093,2.8345781804824295
Parmer County,PARMER,9856,9788,9642,9626,9633,9678,-178,-1.8060064935064937,45,0.4671441918405481
Pecos County,PECOS,15188,15130,14742,14719,14677,14560,-628,-4.134843297340005,-117,-0.7971656333038087
Polk County,POLK,50464,51685,52834,53617,53505,53434,2970,5.8853836398224475,-71,-0.13269787870292496
Potter County,POTTER,118353,116607,115110,115291,114551,114453,-3900,-3.295226990443842,-98,-0.0855514137807614
Presidio County,PRESIDIO,6105,6107,5934,5730,5626,5433,-672,-11.007371007371008,-193,-3.4305012442232488
Rains County,RAINS,12182,12479,12859,13064,13323,13542,1360,11.16401247742571,219,1.6437739247917134
Randall County,RANDALL,141255,143984,146088,147993,150283,152351,11096,7.855297157622738,2068,1.3760704803603867
Reagan County,REAGAN,3423,3257,3154,3178,3146,3166,-257,-7.508033888401987,20,0.6357279084551812
Real County,REAL,2749,2810,2814,2845,2762,2745,-4,-0.14550745725718442,-17,-0.6154960173787111
Red River County,RED RIVER,11564,11573,11606,11713,11841,11816,252,2.1791767554479415,-25,-0.2111308166539988
Reeves County,REEVES,14769,13015,11771,11937,12125,12138,-2631,-17.814340849075766,13,0.10721649484536082
Refugio County,REFUGIO,6742,6702,6650,6693,6720,6657,-85,-1.2607534856125777,-63,-0.9375
Roberts County,ROBERTS,824,803,805,829,853,867,43,5.218446601941747,14,1.6412661195779603
Robertson County,ROBERTSON,16767,16947,17129,17306,17625,17839,1072,6.393511063398343,214,1.2141843971631205
Rockwall County,ROCKWALL,109199,116645,123439,131418,136880,140738,31539,28.88213262026209,3858,2.8185271770894214
Runnels County,RUNNELS,9916,9890,9888,9901,9758,9693,-223,-2.2488906817265026,-65,-0.666120106579217
Rusk County,RUSK,52255,52687,52569,53312,54630,54854,2599,4.973686728542724,224,0.41003111843309537
Sabine County,SABINE,9896,10022,10039,10133,10084,10012,116,1.1721907841552142,-72,-0.7140023800079334
San Augustine County,SAN AUGUSTINE,7923,7908,7880,7865,7777,7722,-201,-2.53691783415373,-55,-0.7072135785007072
San Jacinto County,SAN JACINTO,27542,27836,28428,29168,29328,29488,1946,7.065572580059546,160,0.5455537370430987
San Patricio County,SAN PATRICIO,68839,69755,70043,70761,71534,72053,3214,4.66886503290286,519,0.725529119020326
San Saba County,SAN SABA,5723,5808,5850,5535,5810,5787,64,1.1182946007338808,-23,-0.3958691910499139
Schleicher County,SCHLEICHER,2438,2438,2350,2355,2292,2245,-193,-7.916324856439704,-47,-2.050610820244328
Scurry County,SCURRY,16916,16814,16220,16179,16157,16162,-754,-4.457318515015371,5,0.03094633904809061
Shackelford County,SHACKELFORD,3114,3201,3211,3220,3194,3197,83,2.6653821451509314,3,0.09392611145898559
Shelby County,SHELBY,24042,24106,24165,24280,24324,24286,244,1.0148906081024873,-38,-0.15622430521295838
Sherman County,SHERMAN,2784,2781,2771,2696,2777,2781,-3,-0.10775862068965517,4,0.14404033129276198
Smith County,SMITH,234205,237339,242225,245945,249529,252549,18344,7.8324544736448845,3020,1.2102801678362034
Somervell County,SOMERVELL,9206,9477,9793,9887,10086,10261,1055,11.459917445144471,175,1.7350783263930198
Starr County,STARR,65853,65828,65696,66062,66398,66319,466,0.7076367059966896,-79,-0.11897948733395583
Stephens County,STEPHENS,9095,9437,9368,9386,9414,9380,285,3.1335898845519514,-34,-0.36116422349691946
Sterling County,STERLING,1383,1376,1411,1374,1373,1349,-34,-2.458423716558207,-24,-1.7479970866715222
Stonewall County,STONEWALL,1244,1213,1218,1206,1224,1186,-58,-4.662379421221865,-38,-3.104575163398693
Sutton County,SUTTON,3361,3298,3242,3223,3246,3203,-158,-4.700981850639691,-43,-1.3247073321010474
Swisher County,SWISHER,6948,7006,6944,6900,6842,6703,-245,-3.526194588370754,-139,-2.0315697164571764
Tarrant County,TARRANT,2116194,2130671,2160356,2194974,2230038,2248466,132272,6.250466639637009,18428,0.8263536316421514
Taylor County,TAYLOR,143484,143943,145346,147254,148390,150077,6593,4.594937414624627,1687,1.136869061257497
Terrell County,TERRELL,752,725,697,702,711,702,-50,-6.648936170212766,-9,-1.2658227848101267
Terry County,TERRY,11792,11711,11437,11556,11637,11720,-72,-0.6105834464043419,83,0.7132422445647504
Throckmorton County,THROCKMORTON,1457,1511,1546,1526,1536,1554,97,6.6575154426904595,18,1.171875
Titus County,TITUS,31298,31283,31222,31377,31615,31563,265,0.8466994696146719,-52,-0.1644788866044599
Tom Green County,TOM GREEN,120185,119279,118979,119327,120207,120602,417,0.346965095477805,395,0.32859983195654163
Travis County,TRAVIS,1296572,1309183,1335984,1353278,1374921,1389670,93098,7.180318563103322,14749,1.072716177874947
Trinity County,TRINITY,13636,13837,13992,14265,14434,14384,748,5.485479612789675,-50,-0.34640432312595265
Tyler County,TYLER,19824,19917,20444,20426,20512,20443,619,3.1224778046811945,-69,-0.3363884555382215
Upshur County,UPSHUR,41044,41839,42497,43411,44024,44410,3366,8.200955072605009,386,0.8767944757405052
Upton County,UPTON,3301,3237,3153,3126,3110,3131,-170,-5.1499545592244775,21,0.67524115755627
Uvalde County,UVALDE,24565,24803,24863,24946,24965,24963,398,1.6201913291268064,-2,-0.008011215701982776
Val Verde County,VAL VERDE,47597,47511,47552,47678,47779,47835,238,0.5000315145912557,56,0.11720630402478076
Van Zandt County,VAN ZANDT,59747,61245,62858,64033,65266,66130,6383,10.683381592381208,864,1.3238133178071276
Victoria County,VICTORIA,91299,90910,91138,91757,92188,92656,1357,1.4863251514255358,468,0.507658263548401
Walker County,WALKER,76562,78369,79826,82513,83460,83842,7280,9.508633525769964,382,0.4577042894799904
Waller County,WALLER,57294,59457,62110,64298,66097,69858,12564,21.92899780081684,3761,5.690122093287139
Ward County,WARD,11679,11101,10953,10974,11081,11125,-554,-4.743556811370837,44,0.39707607616641094
Washington County,WASHINGTON,35791,35925,36371,37244,37683,38288,2497,6.9766142326283145,605,1.6054985006501605
Webb County,WEBB,267336,267389,268450,271942,280570,281224,13888,5.194960648771583,654,0.2330969098620665
Wharton County,WHARTON,41581,41674,41815,41875,42065,42060,479,1.1519684471272937,-5,-0.011886366337810532
Wheeler County,WHEELER,4976,4887,4797,4822,4827,4773,-203,-4.079581993569132,-54,-1.1187072715972655
Wichita County,WICHITA,129611,130114,130106,129889,129524,129555,-56,-0.04320620934951509,31,0.023933788332664217
Wilbarger County,WILBARGER,12842,12703,12540,12510,12474,12481,-361,-2.811088615480455,7,0.05611672278338946
Willacy County,WILLACY,20125,20278,20197,20011,20070,19971,-154,-0.7652173913043478,-99,-0.49327354260089684
Williamson County,WILLIAMSON,615611,644790,674478,701798,729013,752827,137216,22.28940028686947,23814,3.266608414390416
Wilson County,WILSON,50051,51325,52752,54296,55321,56139,6088,12.163593135002298,818,1.4786428300283798
Winkler County,WINKLER,7757,7391,7391,7625,7563,7540,-217,-2.797473249967771,-23,-0.30411212481819383
Wise County,WISE,68931,71872,74888,78012,81292,83778,14847,21.53893023458241,2486,3.0581114992865226
Wood County,WOOD,45042,46297,47141,48106,49153,49688,4646,10.314817281648239,535,1.0884381421276421
Yoakum County,YOAKUM,7672,7561,7490,7440,7501,7438,-234,-3.0500521376433785,-63,-0.8398880149313426
Young County,YOUNG,17847,17948,17997,18161,18321,18154,307,1.720177060570404,-167,-0.9115222968178592
Zapata County,ZAPATA,13875,13879,13827,13765,13798,13753,-122,-0.8792792792792792,-45,-0.3261342223510654
Zavala County,ZAVALA,9668,9480,9390,9365,9182,9037,-631,-6.526685974348366,-145,-1.5791766499673274
