county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Texas,TEXAS,29237895,29572672,30118002,30719247,31318578,31709821,2471926,8.454527933697005,391243,1.2492361562520493
Anderson County,ANDERSON,57941,58348,57318,59061,59573,59805,1864,3.2170656357329004,232,0.38943816829771877
Andrews County,ANDREWS,18616,18422,18343,18632,18798,18914,298,1.6007735281478297,116,0.6170869241408661
Angelina County,ANGELINA,86496,86862,87209,87626,87958,88154,1658,1.916851646318905,196,0.22283362513927102
Aransas County,ARANSAS,23930,24508,24963,25360,25686,26146,2216,9.260342666109485,460,1.7908588336058553
Archer County,ARCHER,8553,8707,8866,9046,9140,9129,576,6.734479130129779,-11,-0.12035010940919039
Armstrong County,ARMSTRONG,1851,1839,1855,1829,1814,1843,-8,-0.4321988114532685,29,1.5986769570011026
Atascosa County,ATASCOSA,49286,49979,50916,52116,52937,53590,4304,8.732702998823196,653,1.2335417571830667
Austin County,AUSTIN,30133,30435,31110,31772,32878,33625,3492,11.588623767962035,747,2.272036011922866
Bailey County,BAILEY,6869,6805,6835,6804,6891,6963,94,1.368467025767943,72,1.0448410970831519
Bandera County,BANDERA,20987,21532,22128,22608,22790,22876,1889,9.00081002525373,86,0.37735849056603776
Bastrop County,BASTROP,98060,102270,106581,111561,115937,118908,20848,21.26045278400979,2971,2.5625986527165616
Baylor County,BAYLOR,3461,3456,3466,3482,3482,3472,11,0.31782721756717713,-10,-0.2871912693854107
Bee County,BEE,31043,30844,31069,31394,32651,32515,1472,4.741809747769223,-136,-0.41652629322225965
Bell County,BELL,372407,380747,387775,393673,397439,402248,29841,8.013007274299355,4809,1.2099970058298255
Bexar County,BEXAR,2015492,2031426,2065661,2102398,2138942,2160088,144596,7.174228426607499,21146,0.9886196072637781
Blanco County,BLANCO,11451,11877,12417,13067,13395,13581,2130,18.600995546240505,186,1.3885778275475924
Borden County,BORDEN,643,618,582,573,560,567,-76,-11.81959564541213,7,1.25
Bosque County,BOSQUE,18255,18502,18690,18936,18961,18918,663,3.6318816762530814,-43,-0.22678128790675597
Bowie County,BOWIE,92907,92266,91623,91688,92676,92696,-211,-0.2271088292593669,20,0.021580560231343606
Brazoria County,BRAZORIA,373490,379221,388637,400433,411416,419080,45590,12.206484778708933,7664,1.8628346977268748
Brazos County,BRAZOS,234527,237636,242285,246477,248373,249088,14561,6.208666805954112,715,0.2878734806118217
Brewster County,BREWSTER,9561,9488,9363,9550,9521,9458,-103,-1.0772931701704842,-63,-0.6616952000840248
Briscoe County,BRISCOE,1420,1400,1438,1444,1472,1474,54,3.8028169014084505,2,0.1358695652173913
Brooks County,BROOKS,7095,7023,6940,6874,6700,6579,-516,-7.2727272727272725,-121,-1.8059701492537314
Brown County,BROWN,38056,38149,38399,38447,38729,38711,655,1.7211477822156822,-18,-0.046476800330501694
Burleson County,BURLESON,17679,18113,18702,19495,20097,20549,2870,16.233949884043213,452,2.249091904264318
Burnet County,BURNET,49480,51173,52660,54390,56004,57015,7535,15.22837510105093,1011,1.8052281979858582
Caldwell County,CALDWELL,45945,46970,47995,50289,52939,55150,9205,20.034824246381543,2211,4.176505034095846
Calhoun County,CALHOUN,20064,19802,19709,19731,19778,19599,-465,-2.3175837320574164,-179,-0.9050460107189807
Callahan County,CALLAHAN,13748,14104,14266,14427,14527,14491,743,5.404422461448938,-36,-0.24781441453844566
Cameron County,CAMERON,421504,422635,425841,428906,432952,433946,12442,2.9518106589735806,994,0.22958665163805686
Camp County,CAMP,12429,12609,12735,13050,13222,13380,951,7.651460294472605,158,1.1949780668582666
Carson County,CARSON,5795,5726,5821,5883,5828,5805,10,0.1725625539257981,-23,-0.394646533973919
Cass County,CASS,28441,28565,28495,28637,28686,28651,210,0.7383706620723604,-35,-0.12201073694485115
Castro County,CASTRO,7324,7355,7285,7291,7343,7295,-29,-0.3959584926269798,-48,-0.6536837804711971
Chambers County,CHAMBERS,46992,48691,51348,54113,55988,57594,10602,22.561287027579162,1606,2.868471815389012
Cherokee County,CHEROKEE,50619,51285,51665,52631,53178,53337,2718,5.369525277069875,159,0.2989958253413066
Childress County,CHILDRESS,6657,6787,6837,6765,6690,6643,-14,-0.2103049421661409,-47,-0.70254110612855
Clay County,CLAY,10255,10312,10486,10700,10736,10764,509,4.963432471964895,28,0.26080476900149036
Cochran County,COCHRAN,2559,2478,2533,2533,2536,2546,-13,-0.5080109417741305,10,0.3943217665615142
Coke County,COKE,3321,3325,3349,3378,3388,3412,91,2.740138512496236,24,0.7083825265643447
Coleman County,COLEMAN,7687,7716,7863,7873,7974,7915,228,2.966046572134773,-59,-0.7399046902432908
Collin County,COLLIN,1075512,1114667,1163646,1207386,1254213,1297179,221667,20.610369758775356,42966,3.425733906441729
Collingsworth County,COLLINGSWORTH,2642,2609,2585,2545,2567,2487,-155,-5.866767600302801,-80,-3.1164783794312427
Colorado County,COLORADO,20641,20717,20895,21226,21447,21439,798,3.8660917591201978,-8,-0.037301254254674315
Comal County,COMAL,163608,174878,184600,193849,201486,209166,45558,27.845826609945725,7680,3.811679223370358
Comanche County,COMANCHE,13635,13814,13905,14038,14288,14432,797,5.845251191785845,144,1.007838745800672
Concho County,CONCHO,3317,3346,3392,3431,3577,3607,290,8.742839915586373,30,0.8386916410399776
