county,office,district,candidate,incumbent,party,votes,pct
ANDERSON,STATE REPRESENTATIVE,8,R. EDWIN ADAMS,FALSE,LIB,1586,11.61
ANDERSON,STATE REPRESENTATIVE,8,Total,,,13655,
ANDREWS,U. S. REPRESENTATIVE,19,NATHAN LEWIS,FALSE,IND,416,11.26
ANDREWS,U. S. REPRESENTATIVE,19,JODEY C. ARRINGTON,TRUE,REP,3277,88.74
ANDREWS,U. S. REPRESENTATIVE,19,Total,,,3693,
ANDREWS,GOVERNOR,,DELILAH BARRIOS,FALSE,GRE,16,0.42
ANDREWS,GOVERNOR,,MARK TIPPETTS,FALSE,LIB,29,0.76
ANDREWS,GOVERNOR,,JACQUELINE ABERNATHY,FALSE,WI,3,0.08
ANDREWS,GOVERNOR,,MARK V GOLOBY,FALSE,WI,0,0.0
ANDREWS,GOVERNOR,,BETO O'ROURKE,FALSE,DEM,479,12.51
ANDREWS,GOVERNOR,,GREG ABBOTT,TRUE,REP,3302,86.24
ANDREWS,GOVERNOR,,Total,,,3829,
ANDREWS,LIEUTENANT GOVERNOR,,DAN PATRICK,TRUE,REP,3198,84.67
ANDREWS,LIEUTENANT GOVERNOR,,MIKE COLLIER,FALSE,DEM,482,12.76
ANDREWS,LIEUTENANT GOVERNOR,,SHANNA STEELE,FALSE,LIB,97,2.57
ANDREWS,LIEUTENANT GOVERNOR,,Total,,,3777,
ANDREWS,ATTORNEY GENERAL,,MARK ASH,FALSE,LIB,70,1.85
ANDREWS,ATTORNEY GENERAL,,ROCHELLE MERCEDES GARZA,FALSE,DEM,496,13.11
ANDREWS,ATTORNEY GENERAL,,KEN PAXTON,TRUE,REP,3218,85.04
ANDREWS,ATTORNEY GENERAL,,Total,,,3784,
ANDREWS,COMPTROLLER OF PUBLIC ACCOUNTS,,V. ALONZO ECHEVARRIA-GARZA,FALSE,LIB,99,2.64
ANDREWS,COMPTROLLER OF PUBLIC ACCOUNTS,,JANET T. DUDDING,FALSE,DEM,419,11.17
ANDREWS,COMPTROLLER OF PUBLIC ACCOUNTS,,GLENN HEGAR,TRUE,REP,3233,86.19
ANDREWS,COMPTROLLER OF PUBLIC ACCOUNTS,,Total,,,3751,
ANDREWS,COMMISSIONER OF THE GENERAL LAND OFFICE,,"ALFRED MOLISON, JR",FALSE,GRE,39,1.04
ANDREWS,COMMISSIONER OF THE GENERAL LAND OFFICE,,CARRIE EVELYN MENGER,FALSE,WI,5,0.13
ANDREWS,COMMISSIONER OF THE GENERAL LAND OFFICE,,JAY KLEBERG,FALSE,DEM,456,12.19
ANDREWS,COMMISSIONER OF THE GENERAL LAND OFFICE,,DAWN BUCKINGHAM,FALSE,REP,3241,86.63
ANDREWS,COMMISSIONER OF THE GENERAL LAND OFFICE,,Total,,,3741,
ANDREWS,COMMISSIONER OF AGRICULTURE,,SID MILLER,TRUE,REP,3262,87.03
ANDREWS,COMMISSIONER OF AGRICULTURE,,SUSAN HAYS,FALSE,DEM,486,12.97
ANDREWS,COMMISSIONER OF AGRICULTURE,,Total,,,3748,
ANDREWS,RAILROAD COMMISSIONER,,WAYNE CHRISTIAN,TRUE,REP,3206,85.31
ANDREWS,RAILROAD COMMISSIONER,,LUKE WARFORD,FALSE,DEM,411,10.94
ANDREWS,RAILROAD COMMISSIONER,,JAIME ANDRES DIEZ,FALSE,LIB,112,2.98
ANDREWS,RAILROAD COMMISSIONER,,HUNTER WAYNE CROW,FALSE,GRE,29,0.77
ANDREWS,RAILROAD COMMISSIONER,,Total,,,3758,
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 3",,THOMAS EDWARD OXFORD,FALSE,LIB,72,1.92
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 3",,ERIN A. NOWELL,FALSE,DEM,451,12.05
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 3",,DEBRA LEHRMANN,TRUE,REP,3221,86.03
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 3",,Total,,,3744,
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 5",,REBECA HUDDLE,TRUE,REP,3256,87.18
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 5",,AMANDA REICHEK,FALSE,DEM,479,12.82
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 5",,Total,,,3735,
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 9",,EVAN YOUNG,TRUE,REP,3238,86.42
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 9",,JULIA MALDONADO,FALSE,DEM,509,13.58
ANDREWS,"JUSTICE, SUPREME COURT, PLACE 9",,Total,,,3747,
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,DANA HUFFMAN,FALSE,DEM,475,12.69
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,SCOTT WALKER,TRUE,REP,3267,87.31
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,Total,,,3742,
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,"JESSE F. MCCLURE, III",TRUE,REP,3260,87.38
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,ROBERT JOHNSON,FALSE,DEM,471,12.62
ANDREWS,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,Total,,,3731,
ANDREWS,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2 - UNEXPIRED TERM",,LISA SOTO,FALSE,DEM,504,13.48
ANDREWS,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2 - UNEXPIRED TERM",,JEFF ALLEY,TRUE,REP,3234,86.52
ANDREWS,"JUSTICE, 8TH COURT OF APPEALS DISTRICT, PLACE 2 - UNEXPIRED TERM",,Total,,,3738,
ANGELINA,U. S. REPRESENTATIVE,17,PETE SESSIONS,TRUE,REP,19145,78.73
ANGELINA,U. S. REPRESENTATIVE,17,MARY JO WOODS,FALSE,DEM,5172,21.27
ANGELINA,U. S. REPRESENTATIVE,17,Total,,,24317,
ANGELINA,GOVERNOR,,MARK TIPPETTS,FALSE,LIB,186,0.76
ANGELINA,GOVERNOR,,MARK V GOLOBY,FALSE,WI,0,0.0
ANGELINA,GOVERNOR,,JACQUELINE ABERNATHY,FALSE,WI,0,0.0
ANGELINA,GOVERNOR,,DELILAH BARRIOS,FALSE,GRE,93,0.38
ANGELINA,GOVERNOR,,BETO O'ROURKE,FALSE,DEM,5174,21.04
ANGELINA,GOVERNOR,,GREG ABBOTT,TRUE,REP,19142,77.83
ANGELINA,GOVERNOR,,Total,,,24595,
ANGELINA,LIEUTENANT GOVERNOR,,DAN PATRICK,TRUE,REP,18770,76.73
ANGELINA,LIEUTENANT GOVERNOR,,SHANNA STEELE,FALSE,LIB,474,1.94
ANGELINA,LIEUTENANT GOVERNOR,,MIKE COLLIER,FALSE,DEM,5218,21.33
ANGELINA,LIEUTENANT GOVERNOR,,Total,,,24462,
ANGELINA,ATTORNEY GENERAL,,MARK ASH,FALSE,LIB,527,2.16
ANGELINA,ATTORNEY GENERAL,,ROCHELLE MERCEDES GARZA,FALSE,DEM,5240,21.46
ANGELINA,ATTORNEY GENERAL,,KEN PAXTON,TRUE,REP,18652,76.38
ANGELINA,ATTORNEY GENERAL,,Total,,,24419,
ANGELINA,COMPTROLLER OF PUBLIC ACCOUNTS,,V. ALONZO ECHEVARRIA-GARZA,FALSE,LIB,421,1.73
ANGELINA,COMPTROLLER OF PUBLIC ACCOUNTS,,GLENN HEGAR,TRUE,REP,18935,77.94
ANGELINA,COMPTROLLER OF PUBLIC ACCOUNTS,,JANET T. DUDDING,FALSE,DEM,4938,20.33
ANGELINA,COMPTROLLER OF PUBLIC ACCOUNTS,,Total,,,24294,
ANGELINA,COMMISSIONER OF THE GENERAL LAND OFFICE,,CARRIE EVELYN MENGER,FALSE,WI,2,0.01
ANGELINA,COMMISSIONER OF THE GENERAL LAND OFFICE,,JAY KLEBERG,FALSE,DEM,5337,22.02
ANGELINA,COMMISSIONER OF THE GENERAL LAND OFFICE,,"ALFRED MOLISON, JR",FALSE,GRE,217,0.9
ANGELINA,COMMISSIONER OF THE GENERAL LAND OFFICE,,DAWN BUCKINGHAM,FALSE,REP,18680,77.08
ANGELINA,COMMISSIONER OF THE GENERAL LAND OFFICE,,Total,,,24236,
ANGELINA,COMMISSIONER OF AGRICULTURE,,SID MILLER,TRUE,REP,19078,78.57
ANGELINA,COMMISSIONER OF AGRICULTURE,,SUSAN HAYS,FALSE,DEM,5202,21.43
ANGELINA,COMMISSIONER OF AGRICULTURE,,Total,,,24280,
ANGELINA,RAILROAD COMMISSIONER,,HUNTER WAYNE CROW,FALSE,GRE,173,0.71
ANGELINA,RAILROAD COMMISSIONER,,WAYNE CHRISTIAN,TRUE,REP,18938,77.78
ANGELINA,RAILROAD COMMISSIONER,,LUKE WARFORD,FALSE,DEM,4804,19.73
ANGELINA,RAILROAD COMMISSIONER,,JAIME ANDRES DIEZ,FALSE,LIB,433,1.78
ANGELINA,RAILROAD COMMISSIONER,,Total,,,24348,
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 3",,THOMAS EDWARD OXFORD,FALSE,LIB,390,1.61
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 3",,DEBRA LEHRMANN,TRUE,REP,18853,77.7
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 3",,ERIN A. NOWELL,FALSE,DEM,5020,20.69
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 3",,Total,,,24263,
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 5",,AMANDA REICHEK,FALSE,DEM,5156,21.3
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 5",,REBECA HUDDLE,TRUE,REP,19051,78.7
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 5",,Total,,,24207,
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 9",,JULIA MALDONADO,FALSE,DEM,5219,21.58
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 9",,EVAN YOUNG,TRUE,REP,18971,78.42
ANGELINA,"JUSTICE, SUPREME COURT, PLACE 9",,Total,,,24190,
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,SCOTT WALKER,TRUE,REP,19040,78.68
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,DANA HUFFMAN,FALSE,DEM,5160,21.32
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 5",,Total,,,24200,
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,"JESSE F. MCCLURE, III",TRUE,REP,18933,78.62
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,ROBERT JOHNSON,FALSE,DEM,5150,21.38
ANGELINA,"JUDGE, COURT OF CRIMINAL APPEALS PLACE 6",,Total,,,24083,
ANGELINA,STATE SENATOR,3,DESARAE LINDSEY,FALSE,LIB,364,1.5
ANGELINA,STATE SENATOR,3,ROBERT NICHOLS,TRUE,REP,19074,78.4
ANGELINA,STATE SENATOR,3,STEVE RUSSELL,FALSE,DEM,4892,20.11
ANGELINA,STATE SENATOR,3,Total,,,24330,
ANGELINA,STATE REPRESENTATIVE,9,TRENT ASHBY,TRUE,REP,19807,80.94
ANGELINA,STATE REPRESENTATIVE,9,JASON ROGERS,FALSE,DEM,4664,19.06
ANGELINA,STATE REPRESENTATIVE,9,Total,,,24471,
ARANSAS,U. S. REPRESENTATIVE,27,MICHAEL CLOUD,TRUE,REP,7626,79.61
