district,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
1,680726.0,69028.0,479174.0,107601.0,1604.0,5185.0,444.0,1583.0
2,671066.0,134663.0,378858.0,96135.0,1179.0,42637.0,332.0,1790.0
3,704790.0,83482.0,479356.0,113673.0,2124.0,7602.0,476.0,1656.0
4,672379.0,143145.0,404423.0,89608.0,878.0,19805.0,592.0,1805.0
5,716408.0,151235.0,451690.0,72382.0,728.0,21410.0,790.0,3037.0
6,493254.0,297724.0,82889.0,89341.0,769.0,14578.0,359.0,746.0
7,629112.0,155587.0,316546.0,87042.0,638.0,55094.0,336.0,1726.0
8,699476.0,92986.0,440263.0,75017.0,1538.0,72694.0,541.0,2358.0
9,664679.0,146406.0,399563.0,71801.0,1273.0,29763.0,502.0,2709.0
10,662284.0,139736.0,379525.0,110173.0,998.0,15667.0,1009.0,2689.0
11,660460.0,164115.0,352442.0,90443.0,1240.0,38091.0,468.0,1685.0
12,668311.0,101678.0,431435.0,59195.0,1232.0,57786.0,672.0,2199.0
13,552115.0,136204.0,87756.0,262386.0,824.0,53326.0,282.0,2793.0
14,699647.0,168707.0,397721.0,66349.0,556.0,45350.0,498.0,2674.0
15,608024.0,177618.0,223517.0,145387.0,950.0,47175.0,392.0,2515.0
16,528499.0,179691.0,205129.0,105526.0,1119.0,25208.0,221.0,1335.0
17,601885.0,135813.0,316637.0,76071.0,863.0,58702.0,272.0,1975.0
18,681639.0,174384.0,314805.0,102740.0,1356.0,73321.0,385.0,1938.0
19,628975.0,383067.0,167059.0,52046.0,1389.0,11481.0,1096.0,2712.0
20,557777.0,432238.0,100956.0,11260.0,819.0,8634.0,447.0,364.0
21,600884.0,360082.0,194488.0,25350.0,913.0,9894.0,151.0,1225.0
22,683524.0,127934.0,407347.0,109242.0,992.0,20732.0,1052.0,1834.0
23,623171.0,174215.0,145651.0,266812.0,1224.0,20790.0,230.0,2147.0
24,710603.0,160519.0,417393.0,82281.0,1312.0,24379.0,2188.0,3223.0
25,702830.0,178588.0,453628.0,30465.0,865.0,21688.0,489.0,2802.0
26,643954.0,400164.0,162777.0,52057.0,1259.0,13661.0,633.0,2732.0
27,551492.0,430575.0,104180.0,8224.0,609.0,3763.0,327.0,380.0
28,669778.0,197619.0,409544.0,39307.0,1424.0,7999.0,431.0,1468.0
29,588553.0,462959.0,88535.0,20620.0,1727.0,6616.0,722.0,1359.0
30,721759.0,100175.0,484812.0,69271.0,1506.0,43948.0,561.0,2919.0
31,590000.0,225318.0,314656.0,28874.0,1722.0,7110.0,594.0,1291.0
