district,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
42,101106.0,93135.0,6429.0,774.0,76.0,381.0,5.0,11.0
43,142314.0,84371.0,49306.0,4907.0,228.0,1362.0,182.0,126.0
44,145846.0,51189.0,76448.0,11794.0,149.0,1956.0,57.0,1048.0
45,161760.0,62766.0,84621.0,7696.0,83.0,2650.0,36.0,433.0
46,147641.0,44920.0,65298.0,25090.0,37.0,8002.0,88.0,790.0
47,143817.0,19567.0,100752.0,6432.0,154.0,12987.0,122.0,425.0
48,154220.0,34342.0,101477.0,5983.0,351.0,8232.0,151.0,662.0
49,157637.0,34795.0,100529.0,7832.0,193.0,8944.0,67.0,329.0
50,140609.0,42273.0,58283.0,23622.0,90.0,12209.0,109.0,452.0
51,138529.0,59370.0,58566.0,11283.0,204.0,5054.0,57.0,579.0
52,159070.0,35060.0,96922.0,11849.0,128.0,10279.0,145.0,1210.0
53,155760.0,48041.0,100345.0,3382.0,342.0,1124.0,75.0,155.0
54,129927.0,27164.0,59041.0,34144.0,195.0,3739.0,712.0,858.0
55,136154.0,31569.0,70227.0,25345.0,227.0,3086.0,669.0,958.0
56,145544.0,25509.0,100603.0,14043.0,244.0,2028.0,45.0,293.0
57,132383.0,21873.0,80624.0,18718.0,301.0,6370.0,5.0,232.0
58,145282.0,28060.0,105046.0,7219.0,306.0,1253.0,179.0,657.0
59,153223.0,21882.0,113237.0,10009.0,456.0,1663.0,538.0,683.0
60,148931.0,17611.0,124567.0,2291.0,235.0,1086.0,34.0,484.0
61,141032.0,19474.0,82140.0,14513.0,251.0,20504.0,164.0,673.0
62,142369.0,12791.0,115267.0,8030.0,554.0,914.0,187.0,399.0
63,139274.0,22476.0,85382.0,13715.0,183.0,13802.0,333.0,465.0
64,157018.0,26139.0,111107.0,12237.0,305.0,2713.0,112.0,624.0
65,152715.0,23246.0,90600.0,17532.0,272.0,17392.0,6.0,419.0
66,143453.0,15755.0,89845.0,15257.0,185.0,18556.0,69.0,626.0
67,147229.0,19983.0,92209.0,16375.0,298.0,15508.0,89.0,375.0
68,148314.0,21597.0,118396.0,3642.0,323.0,801.0,43.0,191.0
69,138941.0,22479.0,98725.0,11512.0,394.0,1991.0,146.0,357.0
70,124768.0,14643.0,72469.0,15904.0,303.0,18515.0,38.0,699.0
71,143439.0,31556.0,96651.0,9718.0,314.0,1777.0,82.0,559.0
72,133452.0,46325.0,78259.0,5259.0,237.0,1092.0,51.0,227.0
73,172466.0,38123.0,124565.0,3780.0,210.0,2186.0,98.0,611.0
74,123770.0,95638.0,22806.0,2318.0,830.0,815.0,114.0,196.0
75,120099.0,105258.0,8839.0,3837.0,578.0,495.0,225.0,202.0
76,130800.0,26083.0,32453.0,29106.0,174.0,40388.0,210.0,544.0
77,125156.0,106512.0,13160.0,3057.0,393.0,939.0,190.0,170.0
78,137750.0,97290.0,29339.0,5628.0,241.0,2722.0,79.0,575.0
79,136309.0,104961.0,21066.0,5854.0,315.0,1558.0,160.0,324.0
80,118183.0,91990.0,22793.0,1462.0,442.0,753.0,11.0,132.0
81,111065.0,61055.0,41724.0,5113.0,233.0,959.0,201.0,136.0
82,124614.0,50340.0,61927.0,8399.0,230.0,1740.0,70.0,336.0
83,136420.0,43381.0,83573.0,5117.0,316.0,1323.0,29.0,157.0
84,141082.0,49930.0,73621.0,11709.0,297.0,2605.0,192.0,501.0
85,143915.0,31447.0,79306.0,21833.0,241.0,8155.0,53.0,301.0
86,134565.0,35669.0,90549.0,3211.0,292.0,1536.0,117.0,447.0
87,116814.0,35740.0,67181.0,8115.0,499.0,2240.0,163.0,180.0
88,119109.0,48390.0,62409.0,5207.0,439.0,678.0,75.0,209.0
89,142049.0,19902.0,83421.0,19273.0,315.0,15804.0,136.0,360.0
90,110327.0,54965.0,29732.0,20098.0,211.0,2915.0,45.0,432.0
91,129129.0,25188.0,83785.0,10188.0,308.0,7054.0,271.0,347.0
92,112896.0,26871.0,40771.0,32794.0,181.0,8144.0,726.0,955.0
93,140448.0,28920.0,81819.0,16928.0,57.0,8722.0,44.0,369.0
94,131032.0,22232.0,81811.0,16503.0,201.0,6456.0,372.0,549.0
95,125839.0,33746.0,32642.0,54042.0,381.0,2844.0,166.0,273.0
96,138981.0,22075.0,81088.0,26189.0,216.0,5949.0,397.0,447.0
97,143029.0,25000.0,91085.0,18146.0,173.0,4309.0,9.0,1129.0
98,129720.0,14014.0,93579.0,7244.0,276.0,10222.0,93.0,508.0
99,140989.0,32269.0,86932.0,15694.0,301.0,3095.0,82.0,540.0
100,105221.0,37131.0,17761.0,45183.0,273.0,2385.0,30.0,410.0
101,121756.0,28988.0,35934.0,40760.0,153.0,12366.0,190.0,658.0
102,107358.0,22379.0,40507.0,30131.0,192.0,10649.0,46.0,400.0
103,103070.0,45172.0,35757.0,14883.0,254.0,5287.0,16.0,145.0
104,101240.0,57689.0,25121.0,13971.0,260.0,2483.0,12.0,229.0
105,92096.0,33809.0,29464.0,17310.0,99.0,9504.0,18.0,266.0
106,146246.0,20671.0,92085.0,15726.0,136.0,13472.0,120.0,572.0
107,94178.0,42695.0,27593.0,19241.0,22.0,2776.0,34.0,244.0
108,136730.0,11576.0,109737.0,6298.0,232.0,6102.0,46.0,252.0
109,125097.0,26292.0,21174.0,71850.0,186.0,2007.0,16.0,551.0
110,94953.0,36139.0,10228.0,46796.0,185.0,396.0,0.0,86.0
111,125450.0,33142.0,21113.0,65604.0,248.0,2592.0,13.0,341.0
112,133346.0,19271.0,78266.0,17809.0,131.0,13634.0,278.0,599.0
113,114627.0,29319.0,39389.0,33126.0,266.0,9391.0,44.0,325.0
114,129157.0,27673.0,72557.0,19789.0,429.0,4842.0,44.0,499.0
115,118441.0,20128.0,55781.0,19069.0,186.0,19020.0,59.0,628.0
116,143170.0,86711.0,37523.0,11104.0,134.0,4139.0,153.0,544.0
117,138504.0,90845.0,30353.0,10841.0,129.0,2634.0,212.0,935.0
118,147823.0,84437.0,48469.0,8902.0,376.0,2495.0,311.0,333.0
119,141786.0,91209.0,30348.0,14678.0,97.0,2808.0,176.0,801.0
120,136562.0,60307.0,39347.0,29359.0,180.0,3238.0,352.0,867.0
121,148069.0,51032.0,79553.0,8910.0,146.0,4737.0,126.0,434.0
122,143579.0,50137.0,76803.0,5689.0,157.0,6671.0,161.0,566.0
123,141517.0,87722.0,41973.0,6820.0,471.0,1780.0,117.0,444.0
124,128653.0,86797.0,24471.0,11667.0,293.0,2058.0,199.0,904.0
125,142939.0,89716.0,38609.0,7294.0,239.0,4456.0,131.0,369.0
126,132650.0,28949.0,65256.0,22570.0,145.0,12419.0,189.0,450.0
127,141963.0,30843.0,74531.0,27392.0,202.0,4970.0,249.0,615.0
128,127574.0,44129.0,65159.0,13524.0,163.0,2127.0,66.0,257.0
129,144854.0,35868.0,80051.0,12391.0,250.0,12409.0,149.0,638.0
130,130774.0,24195.0,80459.0,13375.0,93.0,9919.0,9.0,239.0
131,109931.0,39967.0,11497.0,49358.0,204.0,7435.0,48.0,340.0
132,135917.0,30949.0,67244.0,17374.0,320.0,16434.0,29.0,410.0
133,121198.0,18874.0,66949.0,22493.0,214.0,9932.0,36.0,373.0
134,148966.0,20149.0,93902.0,13025.0,106.0,17478.0,71.0,690.0
135,119926.0,48711.0,30200.0,25975.0,161.0,12250.0,42.0,427.0
136,138095.0,32579.0,74892.0,13235.0,160.0,12789.0,117.0,656.0
137,79847.0,25888.0,20384.0,21640.0,118.0,9526.0,85.0,691.0
138,119924.0,34756.0,58585.0,10867.0,108.0,13014.0,67.0,456.0
139,122441.0,36902.0,22892.0,53408.0,188.0,6638.0,52.0,556.0
140,84991.0,61263.0,8382.0,12984.0,101.0,1927.0,27.0,47.0
141,106759.0,34606.0,10491.0,57338.0,207.0,1705.0,262.0,516.0
142,125648.0,46044.0,20036.0,54107.0,504.0,3214.0,140.0,189.0
143,98443.0,64341.0,15465.0,15527.0,229.0,1469.0,27.0,115.0
144,106017.0,70961.0,22444.0,7728.0,89.0,3567.0,19.0,125.0
145,117076.0,56789.0,40849.0,12636.0,143.0,4493.0,41.0,254.0
146,119213.0,21582.0,27140.0,60176.0,159.0,6980.0,47.0,698.0
147,137942.0,37889.0,36616.0,50116.0,138.0,9439.0,97.0,629.0
148,113642.0,48388.0,32486.0,18546.0,221.0,12353.0,21.0,217.0
149,115592.0,37925.0,22057.0,32480.0,47.0,20100.0,36.0,1108.0
150,131938.0,31928.0,64191.0,24599.0,154.0,7843.0,64.0,409.0
