district,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
1,145220.0,7789.0,103679.0,28473.0,675.0,1179.0,155.0,272.0
2,149769.0,17309.0,118499.0,9179.0,486.0,1059.0,54.0,337.0
3,148935.0,32573.0,103036.0,7051.0,214.0,3149.0,136.0,254.0
4,153356.0,27379.0,96595.0,23054.0,210.0,2061.0,90.0,605.0
5,138783.0,16617.0,106163.0,11732.0,185.0,775.0,72.0,375.0
6,138487.0,18572.0,89322.0,26364.0,176.0,1848.0,59.0,257.0
7,145763.0,14968.0,95558.0,28761.0,384.0,886.0,67.0,412.0
8,140448.0,20079.0,95577.0,18609.0,868.0,805.0,100.0,226.0
9,151933.0,17730.0,108536.0,18587.0,735.0,959.0,37.0,356.0
10,147130.0,31495.0,88602.0,22808.0,157.0,1207.0,153.0,228.0
11,137563.0,14407.0,96304.0,21197.0,213.0,665.0,142.0,226.0
12,161285.0,27461.0,100085.0,26517.0,369.0,1376.0,195.0,334.0
13,138458.0,24026.0,88562.0,22324.0,157.0,631.0,26.0,253.0
14,151887.0,32550.0,94727.0,14987.0,148.0,6068.0,194.0,615.0
15,139167.0,24711.0,93588.0,10888.0,102.0,6360.0,46.0,449.0
16,145963.0,24871.0,104963.0,10226.0,275.0,2491.0,166.0,144.0
17,148821.0,45932.0,87652.0,11321.0,138.0,922.0,33.0,402.0
18,143562.0,22698.0,105730.0,11199.0,74.0,534.0,54.0,330.0
19,160103.0,22493.0,128938.0,1870.0,247.0,3428.0,94.0,234.0
20,161215.0,29311.0,114167.0,7695.0,144.0,5443.0,337.0,535.0
21,137766.0,11150.0,106834.0,15024.0,402.0,1980.0,143.0,295.0
22,123714.0,21302.0,40895.0,55115.0,110.0,3959.0,37.0,324.0
23,148746.0,34012.0,86338.0,21763.0,239.0,3694.0,161.0,166.0
24,143468.0,26750.0,94030.0,13764.0,339.0,5369.0,48.0,142.0
25,141376.0,36393.0,66643.0,27154.0,259.0,8084.0,68.0,437.0
26,128577.0,29324.0,59019.0,18523.0,106.0,18812.0,73.0,262.0
27,134890.0,24193.0,28602.0,59583.0,107.0,18972.0,45.0,705.0
28,147748.0,36070.0,64018.0,18738.0,117.0,25263.0,45.0,469.0
29,127285.0,35072.0,62424.0,19145.0,230.0,8255.0,65.0,267.0
30,136203.0,47153.0,76031.0,9178.0,225.0,1371.0,67.0,247.0
31,121130.0,78608.0,37469.0,2921.0,157.0,353.0,40.0,140.0
32,144192.0,61590.0,71095.0,4608.0,402.0,3837.0,80.0,262.0
33,146376.0,23080.0,93675.0,14615.0,175.0,11524.0,101.0,297.0
34,129445.0,91752.0,30020.0,5549.0,162.0,809.0,131.0,107.0
35,93000.0,87198.0,5238.0,167.0,104.0,202.0,5.0,29.0
36,99106.0,88729.0,8515.0,812.0,81.0,747.0,34.0,19.0
37,117126.0,90199.0,23366.0,1383.0,161.0,1068.0,115.0,69.0
38,104025.0,95949.0,6428.0,459.0,52.0,745.0,29.0,23.0
39,98943.0,86653.0,10869.0,1069.0,83.0,95.0,33.0,7.0
40,103979.0,94307.0,7290.0,814.0,118.0,1035.0,93.0,100.0
41,111909.0,90788.0,16252.0,827.0,178.0,3141.0,51.0,22.0
