county_geoid20,county_name,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
48333,Mills,3457,494,2849,13,0,7,0,0
48335,Mitchell,6935,2448,3412,565,22,82,0,8
48337,Montague,15791,1277,13958,7,95,29,6,9
48339,Montgomery,453034,86863,314294,29276,602,12053,348,971
48341,Moore,10567,4918,4768,238,30,17,0,0
48343,Morris,8915,535,6065,2017,45,100,0,0
48345,Motley,1029,96,843,63,0,0,0,0
48347,Nacogdoches,46795,6074,31175,8240,92,297,0,49
48349,Navarro,35648,6938,22855,3848,109,300,34,90
48351,Newton,9690,341,7464,1618,6,36,0,38
48353,Nolan,10539,3570,6279,303,102,15,0,51
48355,Nueces,253155,148696,86556,9825,435,4400,211,345
48357,Ochiltree,5231,1935,3074,6,80,14,0,4
48359,Oldham,1298,246,1032,20,0,0,0,0
48361,Orange,62411,4368,51167,4965,119,614,83,182
48363,Palo Pinto,21491,3103,17335,529,20,191,0,0
48365,Panola,17023,1040,12925,2028,4,107,0,33
48367,Parker,120369,13151,101962,1532,215,851,34,484
48369,Parmer,5462,2890,2367,31,0,0,0,0
48371,Pecos,10367,6746,2726,503,16,296,8,0
48373,Polk,40870,4696,30813,3263,354,225,4,157
48375,Potter,75885,23789,40654,7491,146,2130,60,95
48377,Presidio,3275,2336,880,0,16,0,0,0
48379,Rains,10082,761,8695,271,53,43,0,0
48381,Randall,108446,22921,78457,2613,225,1532,103,447
48383,Reagan,1845,1168,586,53,0,4,0,13
48385,Real,2109,318,1761,12,0,0,0,0
48387,Red River,9025,320,6943,1510,69,17,7,6
48389,Reeves,8159,6645,1233,217,17,21,0,0
48391,Refugio,5194,2369,2330,356,7,0,0,0
48393,Roberts,609,46,545,0,0,0,0,0
48395,Robertson,12489,1986,7861,2239,11,67,0,13
48397,Rockwall,86781,15009,59769,7908,120,2495,28,37
48399,Runnels,7330,2228,4750,274,0,11,0,0
48401,Rusk,39068,4939,26205,6011,56,164,43,90
48403,Sabine,8229,120,7157,574,4,61,52,16
48405,San Augustine,6026,135,4454,1339,24,0,0,9
48407,San Jacinto,21043,2424,16149,1921,13,53,4,46
48409,San Patricio,48891,25224,21627,964,25,390,132,0
48411,San Saba,4260,908,3028,137,10,10,9,0
48413,Schleicher,1788,869,837,13,0,6,10,21
48415,Scurry,11969,4426,6667,454,80,66,0,49
48417,Shackelford,2507,342,2063,6,0,4,4,0
48419,Shelby,16758,1893,11378,2726,51,0,47,0
48421,Sherman,1499,467,1032,0,0,0,0,0
48423,Smith,171706,23257,112783,30249,223,2174,100,300
48425,Somervell,7072,840,5924,59,16,0,0,0
48427,Starr,33215,31791,1215,122,8,44,5,0
48429,Stephens,7071,1357,5270,230,0,44,0,0
48431,Sterling,863,249,610,0,0,4,0,0
48433,Stonewall,907,118,785,4,0,0,0,0
48435,Sutton,2330,1336,908,8,11,0,5,5
48437,Swisher,5151,2148,2444,452,41,0,0,0
48439,Tarrant,1424146,314268,739178,258586,2458,72076,2395,6207
48441,Taylor,105489,22684,71374,7359,173,1671,73,311
48443,Terrell,690,285,405,0,0,0,0,0
48445,Terry,7585,3797,3251,276,53,11,0,0
48447,Throckmorton,1255,91,1110,0,0,0,0,4
48449,Titus,18759,5176,10879,2387,50,0,5,53
48451,Tom Green,87833,31473,50592,3292,90,830,35,185
48453,Travis,936719,240479,529105,81184,1167,58218,609,3247
48455,Trinity,11003,787,9028,980,0,4,0,0
48457,Tyler,16036,983,12747,1905,4,66,5,17
48459,Upshur,31383,2100,25901,2316,35,100,17,160
48461,Upton,2311,1157,1072,43,8,5,0,0
48463,Uvalde,17083,11203,5382,79,13,200,0,32
48465,Val Verde,29921,22718,6096,465,40,158,10,44
48467,Van Zandt,46546,3762,40290,1234,164,183,8,150
48469,Victoria,65053,27480,32086,3878,110,716,42,150
48471,Walker,65425,11509,37633,13105,112,575,153,108
48473,Waller,41813,9296,18574,12093,30,633,24,209
48475,Ward,7211,3651,3077,340,38,35,0,0
48477,Washington,27699,3607,18947,3900,115,294,0,28
48479,Webb,142493,132733,7883,845,106,559,9,68
48481,Wharton,29269,10099,14901,3429,89,117,5,42
48483,Wheeler,3324,432,2687,64,18,35,0,0
48485,Wichita,95584,15260,65932,9929,301,1705,146,301
48487,Wilbarger,9509,2389,5906,631,13,169,0,7
48489,Willacy,14060,11901,1654,311,0,6,0,0
48491,Williamson,458380,96950,285981,32779,432,28511,599,2401
48493,Wilson,39302,14559,23305,749,74,73,5,9
48495,Winkler,4565,2533,1876,131,0,0,0,0
48497,Wise,53150,7292,43475,861,179,294,12,71
48499,Wood,36879,2610,31751,1431,0,217,9,106
48501,Yoakum,4117,2250,1645,15,0,27,4,41
48503,Young,13122,1802,10777,100,44,63,0,34
48505,Zapata,7185,6512,568,33,0,27,0,0
48507,Zavala,6316,5809,411,47,0,49,0,0
