county_geoid20,county_name,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
48001,Anderson,45036,6841,27028,8447,618,309,41,81
48003,Andrews,11562,5649,5367,281,64,32,4,0
48005,Angelina,60951,9414,40626,7471,249,610,18,117
48007,Aransas,20482,4646,14559,332,129,246,0,24
48009,Archer,6721,454,5960,100,26,47,0,0
48011,Armstrong,1416,136,1235,11,18,0,0,0
48013,Atascosa,35028,21128,12796,360,204,203,0,43
48015,Austin,21962,3921,15488,1996,32,149,0,0
48017,Bailey,4188,2398,1689,43,0,29,4,25
48019,Bandera,17725,3030,13961,241,80,97,0,6
48021,Bastrop,69349,21659,40654,4907,76,636,0,139
48023,Baylor,2705,276,2302,51,0,0,0,5
48025,Bee,24109,13597,7562,2235,11,147,0,9
48027,Bell,266081,58733,129268,59489,422,6825,1381,1816
48029,Bexar,1412602,778913,447449,115264,2222,35016,1938,6197
48031,Blanco,9893,1400,8218,100,4,9,0,4
48033,Borden,455,51,397,7,0,0,0,0
48035,Bosque,14063,1724,11796,192,23,60,0,0
48037,Bowie,67963,3873,44906,16740,270,662,59,156
48039,Brazoria,268661,71465,129067,46299,489,16339,133,704
48041,Brazos,174671,36758,109752,17776,151,6355,194,690
48043,Brewster,7508,2787,4466,60,0,71,22,0
48045,Briscoe,975,170,753,52,0,0,0,0
48047,Brooks,5238,4571,521,39,49,0,21,4
48049,Brown,29727,5600,22395,1023,15,167,11,25
48051,Burleson,13882,2113,9883,1629,0,54,0,12
48053,Burnet,39062,5815,31604,549,44,144,25,109
48055,Caldwell,33129,15752,14713,1829,0,184,29,182
48057,Calhoun,14415,6351,6886,462,54,398,0,0
48059,Callahan,11080,1086,9532,60,0,32,9,140
48061,Cameron,247540,211359,31236,1596,300,1907,144,98
48063,Camp,8461,1285,5476,1442,0,89,0,13
48065,Carson,4415,422,3755,42,24,11,33,68
48067,Cass,21759,636,17109,3521,43,63,0,17
48069,Castro,4222,2317,1738,87,57,13,0,0
48071,Chambers,34640,6423,23914,3183,63,684,0,18
48073,Cherokee,35285,4368,24884,5261,43,122,0,24
48075,Childress,5169,1443,2999,462,46,13,0,6
48077,Clay,8358,476,7442,104,38,27,0,16
48079,Cochran,1489,769,645,69,0,0,0,0
48081,Coke,2623,503,2046,0,6,8,0,0
48083,Coleman,5908,608,4965,204,0,28,0,6
48085,Collin,758126,97828,453990,88029,1407,97916,569,2993
48087,Collingsworth,1780,471,1100,122,10,0,32,0
48089,Colorado,15216,3427,9692,1647,14,77,0,0
48091,Comal,138853,34178,96140,3570,158,1774,15,553
48093,Comanche,9720,1785,7664,49,8,33,0,0
48095,Concho,2637,642,1766,159,0,29,0,5
48097,Cooke,30992,3885,25055,984,94,269,0,62
48099,Coryell,63224,11443,37185,8806,214,1150,498,567
48101,Cottle,1085,459,549,33,0,0,0,0
48103,Crane,2451,1340,938,89,6,51,5,0
48105,Crockett,1892,1106,777,5,0,0,0,4
48107,Crosby,3638,1833,1592,100,0,29,0,0
48109,Culberson,1504,1063,360,7,63,0,0,0
48111,Dallam,3786,1613,1928,89,0,0,0,0
48113,Dallas,1580964,442415,584448,421060,2963,91068,656,4975
48115,Dawson,8561,4376,3290,706,13,37,7,36
48117,Deaf Smith,10437,6950,3204,134,41,0,0,0
48119,Delta,4070,278,3325,321,12,10,0,4
48121,Denton,674486,107113,416323,77067,1018,53455,564,2241
48123,DeWitt,15022,4565,8874,1055,37,126,0,52
48125,Dickens,1315,377,886,19,0,27,6,0
48127,Dimmit,5874,4884,691,90,174,35,0,0
48129,Donley,2624,313,2074,152,0,69,0,12
48131,Duval,7215,5712,1255,63,0,111,0,28
48133,Eastland,13534,1619,11245,356,50,30,8,32
48135,Ector,99246,54871,36738,4642,195,919,201,136
48137,Edwards,888,294,555,26,0,0,0,0
48139,Ellis,147130,31495,88602,22808,157,1207,153,228
48141,El Paso,554654,441854,77485,19787,1615,6231,692,1303
48143,Erath,33081,5321,26277,608,95,199,0,80
48145,Falls,12909,2514,7279,2699,0,89,0,31
48147,Fannin,28332,2457,22964,1900,59,71,15,77
48149,Fayette,18993,2812,14774,1109,20,34,19,0
48151,Fisher,2744,705,1846,97,0,0,0,22
48153,Floyd,3479,1703,1591,77,6,0,0,0
48155,Foard,837,91,706,0,0,4,0,0
48157,Fort Bend,558677,117562,189969,127509,560,110580,378,2030
48159,Franklin,7769,601,6558,419,15,31,0,17
48161,Freestone,14923,1709,10577,2296,35,23,4,34
48163,Frio,12495,9368,2059,815,21,88,7,0
48165,Gaines,10592,4031,5987,383,4,124,0,17
48167,Galveston,257574,54339,156454,32344,515,8379,209,290
48169,Garza,3812,1610,1615,461,10,4,0,7
48171,Gillespie,21313,3506,17360,28,15,79,43,46
48173,Glasscock,719,82,637,0,0,0,0,0
48175,Goliad,5489,1503,3608,304,29,0,0,0
48177,Gonzales,13337,5306,6689,1109,17,65,0,0
48179,Gray,14250,2857,9999,887,122,181,0,21
48181,Grayson,102198,9455,82420,5390,468,802,172,301
48183,Gregg,86632,10074,55714,16022,318,687,42,227
48185,Grimes,23065,4376,14879,2667,112,60,25,91
48187,Guadalupe,132509,45883,69759,10685,132,1891,57,1048
48189,Hale,21913,11833,8438,1161,7,91,13,67
48191,Hall,2100,620,1262,77,21,6,0,0
48193,Hamilton,6188,509,5552,59,9,0,0,0
48195,Hansford,3101,1149,1849,0,28,0,7,0
48197,Hardeman,2639,545,1788,119,11,27,0,0
48199,Hardin,42838,2272,37197,2294,27,186,16,24
48201,Harris,2893226,931896,1037266,649629,4264,207641,1873,10449
48203,Harrison,51191,4575,34086,11051,43,183,19,179
48205,Hartley,3720,913,2326,313,8,4,14,0
48207,Haskell,4292,962,3017,264,5,0,0,6
48209,Hays,195373,66711,113046,7906,135,3062,119,491
48211,Hemphill,2284,451,1691,76,18,0,0,0
48213,Henderson,64090,6058,52322,3416,144,332,74,340
48215,Hidalgo,466488,410563,45068,3624,477,5120,216,171
48217,Hill,27241,4543,20553,1434,39,155,13,5
48219,Hockley,14605,6223,7617,535,31,14,0,16
48221,Hood,50730,4609,44223,536,138,314,40,36
48223,Hopkins,26293,2528,21170,1863,91,157,33,46
48225,Houston,17047,1715,10868,3629,104,54,10,56
48227,Howard,22649,9113,11576,1277,103,178,16,18
48229,Hudspeth,2097,1266,733,46,0,0,0,42
48231,Hunt,76930,11019,57039,6082,231,719,13,141
48233,Hutchinson,14367,2671,10821,332,185,68,39,13
48235,Irion,1045,259,731,0,38,0,0,0
48237,Jack,6547,814,5332,220,0,15,5,12
48239,Jackson,11000,2949,7009,798,27,128,4,0
48241,Jasper,24680,1181,19225,3669,25,18,11,28
48243,Jeff Davis,1455,372,1005,0,0,0,0,14
48245,Jefferson,174389,26903,77337,61505,368,5307,86,409
48247,Jim Hogg,3186,2853,308,14,0,11,0,0
48249,Jim Wells,27526,21310,5629,143,73,195,50,0
48251,Johnson,138210,27220,99122,7160,290,1253,179,657
48253,Jones,16331,4216,9466,1996,39,59,0,57
48255,Karnes,11773,5710,4417,1354,10,26,9,94
48257,Kaufman,113745,23253,65083,20691,164,1803,41,296
48259,Kendall,35569,6560,27556,251,46,406,11,65
48261,Kenedy,83,72,11,0,0,0,0,0
48263,Kent,639,110,503,9,0,0,0,0
48265,Kerr,41982,8534,31576,802,58,344,8,56
48267,Kimble,3491,691,2657,29,44,0,0,18
48269,King,183,24,137,0,0,0,0,0
48271,Kinney,2603,1266,1251,0,40,0,0,0
48273,Kleberg,22179,15520,5272,747,58,232,0,117
48275,Knox,2348,624,1512,117,0,12,0,0
48277,Lamar,37558,2425,28656,4685,248,337,89,93
48279,Lamb,8155,3969,3729,289,0,44,18,4
48281,Lampasas,17402,2980,12920,747,7,174,0,13
48283,La Salle,5052,3618,1054,332,16,7,0,0
48285,Lavaca,15004,1954,11948,674,0,37,5,34
48287,Lee,13470,2605,9227,1369,50,37,0,41
48289,Leon,11891,1108,9615,872,14,18,4,76
48291,Liberty,60712,13294,39677,5873,23,242,34,136
48293,Limestone,15806,2030,10576,2869,0,139,0,0
48295,Lipscomb,1749,389,1228,6,6,0,24,0
48297,Live Oak,8497,2999,4642,215,0,54,0,5
48299,Llano,18272,1433,16234,61,54,103,4,5
48301,Loving,43,0,33,0,0,5,0,0
48303,Lubbock,233658,75393,134977,14791,442,3709,210,580
48305,Lynn,4017,1563,2303,67,0,0,5,14
48307,McCulloch,5552,1358,4001,66,0,0,0,0
48309,McLennan,187169,35907,118769,26005,290,2175,50,400
48311,McMullen,384,211,173,0,0,0,0,0
48313,Madison,9823,1775,5740,1817,16,93,17,19
48315,Marion,7940,319,5758,1688,23,16,6,6
48317,Martin,3371,1361,1769,146,0,5,4,0
48319,Mason,3055,464,2557,0,0,12,0,0
48321,Matagorda,24635,8702,12506,2469,22,364,16,11
48323,Maverick,31218,29067,1296,112,566,48,44,64
48325,Medina,40096,19020,18731,1475,65,210,35,32
48327,Menard,1451,345,1054,9,0,0,0,8
48329,Midland,112682,44603,56868,7547,217,1698,59,300
48331,Milam,18991,3803,13175,1587,12,11,4,28
