district,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
1,558424.0,59808.0,377743.0,100229.0,1240.0,4417.0,365.0,1180.0
2,517674.0,120338.0,293555.0,71470.0,678.0,19131.0,609.0,1371.0
3,565747.0,74887.0,357799.0,61310.0,1152.0,57312.0,456.0,1491.0
4,554739.0,60726.0,383591.0,53033.0,1533.0,41025.0,478.0,2020.0
5,532531.0,107841.0,302717.0,83550.0,935.0,23889.0,232.0,1818.0
6,505165.0,118962.0,280322.0,78426.0,1320.0,14406.0,364.0,947.0
7,471927.0,101354.0,168728.0,102974.0,538.0,87017.0,415.0,2518.0
8,549539.0,132439.0,301688.0,69294.0,1151.0,32511.0,393.0,1133.0
9,455844.0,118142.0,79807.0,205105.0,518.0,43105.0,217.0,1790.0
10,565773.0,107462.0,362830.0,59999.0,819.0,21481.0,472.0,1452.0
11,527230.0,177449.0,265791.0,61119.0,843.0,8631.0,1241.0,1517.0
12,573871.0,109027.0,361973.0,67690.0,903.0,19948.0,380.0,2750.0
13,552432.0,121468.0,368894.0,36293.0,1764.0,8942.0,571.0,1546.0
14,556046.0,112061.0,328466.0,89694.0,1191.0,13781.0,442.0,787.0
15,455248.0,339567.0,98228.0,7803.0,618.0,5403.0,254.0,448.0
16,500045.0,396507.0,71861.0,17683.0,1363.0,5850.0,626.0,1151.0
17,564689.0,110234.0,345235.0,83743.0,953.0,8965.0,198.0,1472.0
18,478085.0,146394.0,110648.0,184656.0,966.0,25960.0,366.0,2105.0
19,547574.0,185047.0,311601.0,32311.0,1252.0,6247.0,362.0,1370.0
20,521938.0,353224.0,111623.0,34089.0,851.0,11336.0,444.0,1851.0
21,604150.0,163244.0,393347.0,21374.0,804.0,11273.0,576.0,2075.0
22,527749.0,130803.0,249569.0,69078.0,765.0,65069.0,251.0,1721.0
23,511179.0,294737.0,171009.0,21730.0,1702.0,11179.0,690.0,1987.0
24,525633.0,71213.0,364972.0,39049.0,860.0,34408.0,840.0,2342.0
25,570578.0,99641.0,374793.0,67442.0,1085.0,14526.0,963.0,1887.0
26,571070.0,84632.0,369638.0,56150.0,945.0,43952.0,433.0,1756.0
27,555045.0,271244.0,242424.0,24959.0,912.0,7102.0,423.0,822.0
28,486604.0,333874.0,114476.0,25435.0,765.0,5495.0,233.0,1342.0
29,388822.0,251308.0,51318.0,69535.0,597.0,11379.0,199.0,473.0
30,508515.0,129748.0,117113.0,231425.0,1022.0,17214.0,102.0,1797.0
31,588378.0,114658.0,385403.0,45674.0,881.0,21644.0,1420.0,3363.0
32,475643.0,112835.0,204500.0,108956.0,829.0,34528.0,405.0,1550.0
33,397557.0,178011.0,87153.0,99342.0,931.0,23376.0,476.0,1240.0
34,441462.0,382741.0,49905.0,3489.0,485.0,2549.0,239.0,232.0
35,553788.0,253309.0,196868.0,71922.0,594.0,16024.0,541.0,2340.0
36,532186.0,129428.0,306454.0,65289.0,624.0,18939.0,292.0,1375.0
37,565651.0,128211.0,340367.0,38947.0,715.0,39772.0,371.0,2371.0
38,509523.0,103081.0,290346.0,56412.0,526.0,46303.0,153.0,2279.0
