district,CVAP_TOT24,CVAP_HSP24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24
1,559898.0,60281.0,376302.0,102829.0,1036.0,4468.0,352.0,1062.0
2,523181.0,118616.0,292082.0,71460.0,630.0,28287.0,475.0,1547.0
3,554035.0,80167.0,347621.0,66267.0,1171.0,46580.0,439.0,1458.0
4,546792.0,53115.0,368184.0,52309.0,1627.0,56242.0,475.0,2179.0
5,525813.0,106968.0,296602.0,91921.0,1705.0,14353.0,325.0,1623.0
6,512413.0,116637.0,292069.0,73186.0,843.0,18290.0,860.0,845.0
7,458400.0,105878.0,178237.0,84409.0,469.0,78521.0,433.0,1914.0
8,520377.0,130863.0,256259.0,91778.0,795.0,29099.0,320.0,1662.0
9,431258.0,219999.0,148177.0,48990.0,577.0,6864.0,161.0,644.0
10,583560.0,95127.0,395830.0,54035.0,1188.0,22013.0,550.0,1809.0
11,527447.0,181130.0,285301.0,34800.0,730.0,15210.0,418.0,1063.0
12,538821.0,128056.0,328846.0,51678.0,984.0,16712.0,378.0,1960.0
13,553559.0,121777.0,368386.0,37503.0,1759.0,9054.0,570.0,1637.0
14,554813.0,106579.0,311736.0,94930.0,1139.0,28992.0,447.0,1304.0
15,460920.0,344540.0,97975.0,9331.0,666.0,4581.0,244.0,265.0
16,500263.0,395796.0,72112.0,18106.0,1310.0,5975.0,660.0,1117.0
17,552419.0,107868.0,350371.0,59482.0,796.0,19573.0,268.0,1669.0
18,494305.0,121182.0,83952.0,249296.0,800.0,28570.0,265.0,2175.0
19,547574.0,185047.0,311601.0,32311.0,1252.0,6247.0,362.0,1370.0
20,522117.0,341037.0,105937.0,54394.0,1093.0,9306.0,638.0,1842.0
21,612794.0,191050.0,370182.0,23644.0,750.0,12105.0,443.0,2351.0
22,534921.0,136085.0,257299.0,64465.0,757.0,64225.0,223.0,1796.0
23,512643.0,281691.0,182374.0,23740.0,951.0,12255.0,487.0,2093.0
24,527757.0,75118.0,359837.0,40883.0,904.0,36149.0,813.0,2119.0
25,546791.0,111378.0,300309.0,107124.0,955.0,13699.0,595.0,3015.0
26,570908.0,88423.0,363361.0,60393.0,987.0,41778.0,476.0,1707.0
27,557513.0,207909.0,291174.0,38626.0,869.0,8351.0,324.0,990.0
28,418622.0,362291.0,47244.0,3341.0,1191.0,2576.0,148.0,172.0
29,423602.0,187065.0,73539.0,137522.0,848.0,17015.0,477.0,1529.0
30,483369.0,124537.0,84871.0,241226.0,851.0,19764.0,328.0,1918.0
31,587581.0,116350.0,349149.0,79811.0,795.0,19030.0,2281.0,3648.0
32,530351.0,88719.0,309316.0,75182.0,723.0,41101.0,385.0,1781.0
33,438036.0,172475.0,148191.0,87398.0,953.0,19789.0,52.0,986.0
34,498916.0,359503.0,117853.0,9759.0,708.0,6455.0,288.0,528.0
35,554890.0,287656.0,204611.0,40822.0,747.0,8813.0,745.0,2573.0
36,528634.0,108187.0,279416.0,95651.0,855.0,31841.0,282.0,1338.0
37,558485.0,159091.0,299322.0,51452.0,711.0,30078.0,360.0,2229.0
38,514276.0,107464.0,287127.0,56625.0,505.0,50128.0,145.0,1751.0
