county,office,district,candidate,party,votes
ANDERSON,U. S. Senator,,David M. Alameel,DEM,2017
ANDERSON,U. S. Senator,,John Cornyn,REP,7791
ANDERSON,U. S. Senator,,OTHER,OTH,326
ANDREWS,U. S. Senator,,David M. Alameel,DEM,178
ANDREWS,U. S. Senator,,John Cornyn,REP,1943
ANDREWS,U. S. Senator,,OTHER,OTH,72
ANGELINA,U. S. Senator,,David M. Alameel,DEM,3414
ANGELINA,U. S. Senator,,John Cornyn,REP,12867
ANGELINA,U. S. Senator,,OTHER,OTH,375
ARANSAS,U. S. Senator,,David M. Alameel,DEM,1165
ARANSAS,U. S. Senator,,John Cornyn,REP,4512
ARANSAS,U. S. Senator,,OTHER,OTH,212
ARCHER,U. S. Senator,,David M. Alameel,DEM,252
ARCHER,U. S. Senator,,John Cornyn,REP,2202
ARCHER,U. S. Senator,,OTHER,OTH,67
ARMSTRONG,U. S. Senator,,David M. Alameel,DEM,44
ARMSTRONG,U. S. Senator,,John Cornyn,REP,497
ARMSTRONG,U. S. Senator,,OTHER,OTH,22
ATASCOSA,U. S. Senator,,David M. Alameel,DEM,2103
ATASCOSA,U. S. Senator,,John Cornyn,REP,4834
ATASCOSA,U. S. Senator,,OTHER,OTH,302
AUSTIN,U. S. Senator,,David M. Alameel,DEM,995
AUSTIN,U. S. Senator,,John Cornyn,REP,5919
AUSTIN,U. S. Senator,,OTHER,OTH,224
BAILEY,U. S. Senator,,David M. Alameel,DEM,115
BAILEY,U. S. Senator,,John Cornyn,REP,853
BAILEY,U. S. Senator,,OTHER,OTH,19
BANDERA,U. S. Senator,,David M. Alameel,DEM,920
BANDERA,U. S. Senator,,John Cornyn,REP,4994
BANDERA,U. S. Senator,,OTHER,OTH,364
BASTROP,U. S. Senator,,David M. Alameel,DEM,5580
BASTROP,U. S. Senator,,John Cornyn,REP,10027
BASTROP,U. S. Senator,,OTHER,OTH,1156
BAYLOR,U. S. Senator,,David M. Alameel,DEM,107
BAYLOR,U. S. Senator,,John Cornyn,REP,688
BAYLOR,U. S. Senator,,OTHER,OTH,23
BEE,U. S. Senator,,David M. Alameel,DEM,1827
BEE,U. S. Senator,,John Cornyn,REP,2981
BEE,U. S. Senator,,OTHER,OTH,196
BELL,U. S. Senator,,David M. Alameel,DEM,13124
BELL,U. S. Senator,,John Cornyn,REP,28838
BELL,U. S. Senator,,OTHER,OTH,1629
BEXAR,U. S. Senator,,David M. Alameel,DEM,124030
BEXAR,U. S. Senator,,John Cornyn,REP,160577
BEXAR,U. S. Senator,,OTHER,OTH,12553
BLANCO,U. S. Senator,,David M. Alameel,DEM,699
BLANCO,U. S. Senator,,John Cornyn,REP,2671
BLANCO,U. S. Senator,,OTHER,OTH,211
BORDEN,U. S. Senator,,David M. Alameel,DEM,12
BORDEN,U. S. Senator,,John Cornyn,REP,236
BORDEN,U. S. Senator,,OTHER,OTH,5
BOSQUE,U. S. Senator,,David M. Alameel,DEM,734
BOSQUE,U. S. Senator,,John Cornyn,REP,3908
BOSQUE,U. S. Senator,,OTHER,OTH,194
BOWIE,U. S. Senator,,David M. Alameel,DEM,4801
BOWIE,U. S. Senator,,John Cornyn,REP,15687
BOWIE,U. S. Senator,,OTHER,OTH,741
BRAZORIA,U. S. Senator,,David M. Alameel,DEM,16853
BRAZORIA,U. S. Senator,,John Cornyn,REP,41752
BRAZORIA,U. S. Senator,,OTHER,OTH,2605
BRAZOS,U. S. Senator,,David M. Alameel,DEM,7438
BRAZOS,U. S. Senator,,John Cornyn,REP,22174
BRAZOS,U. S. Senator,,OTHER,OTH,1456
BREWSTER,U. S. Senator,,David M. Alameel,DEM,1169
BREWSTER,U. S. Senator,,John Cornyn,REP,1437
BREWSTER,U. S. Senator,,OTHER,OTH,232
BRISCOE,U. S. Senator,,David M. Alameel,DEM,59
BRISCOE,U. S. Senator,,John Cornyn,REP,432
BRISCOE,U. S. Senator,,OTHER,OTH,10
BROOKS,U. S. Senator,,David M. Alameel,DEM,1319
BROOKS,U. S. Senator,,John Cornyn,REP,455
BROOKS,U. S. Senator,,OTHER,OTH,206
BROWN,U. S. Senator,,David M. Alameel,DEM,788
BROWN,U. S. Senator,,John Cornyn,REP,7079
BROWN,U. S. Senator,,OTHER,OTH,257
BURLESON,U. S. Senator,,David M. Alameel,DEM,858
BURLESON,U. S. Senator,,John Cornyn,REP,3121
BURLESON,U. S. Senator,,OTHER,OTH,111
BURNET,U. S. Senator,,David M. Alameel,DEM,1980
BURNET,U. S. Senator,,John Cornyn,REP,9263
BURNET,U. S. Senator,,OTHER,OTH,487
CALDWELL,U. S. Senator,,David M. Alameel,DEM,3076
CALDWELL,U. S. Senator,,John Cornyn,REP,5171
CALDWELL,U. S. Senator,,OTHER,OTH,535
CALHOUN,U. S. Senator,,David M. Alameel,DEM,1130
CALHOUN,U. S. Senator,,John Cornyn,REP,2750
CALHOUN,U. S. Senator,,OTHER,OTH,188
CALLAHAN,U. S. Senator,,David M. Alameel,DEM,244
CALLAHAN,U. S. Senator,,John Cornyn,REP,2579
CALLAHAN,U. S. Senator,,OTHER,OTH,96
CAMERON,U. S. Senator,,David M. Alameel,DEM,19188
CAMERON,U. S. Senator,,John Cornyn,REP,16747
CAMERON,U. S. Senator,,OTHER,OTH,2527
CAMP,U. S. Senator,,David M. Alameel,DEM,693
CAMP,U. S. Senator,,John Cornyn,REP,1818
CAMP,U. S. Senator,,OTHER,OTH,77
CARSON,U. S. Senator,,David M. Alameel,DEM,163
CARSON,U. S. Senator,,John Cornyn,REP,1627
CARSON,U. S. Senator,,OTHER,OTH,44
CASS,U. S. Senator,,David M. Alameel,DEM,1538
CASS,U. S. Senator,,John Cornyn,REP,5082
CASS,U. S. Senator,,OTHER,OTH,220
CASTRO,U. S. Senator,,David M. Alameel,DEM,200
CASTRO,U. S. Senator,,John Cornyn,REP,903
CASTRO,U. S. Senator,,OTHER,OTH,40
CHAMBERS,U. S. Senator,,David M. Alameel,DEM,1227
CHAMBERS,U. S. Senator,,John Cornyn,REP,6818
CHAMBERS,U. S. Senator,,OTHER,OTH,300
CHEROKEE,U. S. Senator,,David M. Alameel,DEM,1724
CHEROKEE,U. S. Senator,,John Cornyn,REP,7440
CHEROKEE,U. S. Senator,,OTHER,OTH,255
CHILDRESS,U. S. Senator,,David M. Alameel,DEM,107
CHILDRESS,U. S. Senator,,John Cornyn,REP,959
CHILDRESS,U. S. Senator,,OTHER,OTH,19
CLAY,U. S. Senator,,David M. Alameel,DEM,319
CLAY,U. S. Senator,,John Cornyn,REP,2375
CLAY,U. S. Senator,,OTHER,OTH,99
COCHRAN,U. S. Senator,,David M. Alameel,DEM,57
COCHRAN,U. S. Senator,,John Cornyn,REP,411
COCHRAN,U. S. Senator,,OTHER,OTH,17
COKE,U. S. Senator,,David M. Alameel,DEM,53
COKE,U. S. Senator,,John Cornyn,REP,675
COKE,U. S. Senator,,OTHER,OTH,24
COLEMAN,U. S. Senator,,David M. Alameel,DEM,200
COLEMAN,U. S. Senator,,John Cornyn,REP,1934
COLEMAN,U. S. Senator,,OTHER,OTH,74
COLLIN,U. S. Senator,,David M. Alameel,DEM,49145
COLLIN,U. S. Senator,,John Cornyn,REP,120164
COLLIN,U. S. Senator,,OTHER,OTH,6308
COLLINGSWORTH,U. S. Senator,,David M. Alameel,DEM,101
COLLINGSWORTH,U. S. Senator,,John Cornyn,REP,649
COLLINGSWORTH,U. S. Senator,,OTHER,OTH,30
COLORADO,U. S. Senator,,David M. Alameel,DEM,952
COLORADO,U. S. Senator,,John Cornyn,REP,3978
COLORADO,U. S. Senator,,OTHER,OTH,144
COMAL,U. S. Senator,,David M. Alameel,DEM,5936
COMAL,U. S. Senator,,John Cornyn,REP,27211
COMAL,U. S. Senator,,OTHER,OTH,1374
COMANCHE,U. S. Senator,,David M. Alameel,DEM,425
