county,office,district,candidate,party,votes
ANDERSON,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,2129
ANDERSON,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,7572
ANDERSON,"Justice, Supreme Court, Place 7",,OTHER,OTH,345
ANDREWS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,233
ANDREWS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,1854
ANDREWS,"Justice, Supreme Court, Place 7",,OTHER,OTH,71
ANGELINA,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,3593
ANGELINA,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,12485
ANGELINA,"Justice, Supreme Court, Place 7",,OTHER,OTH,418
ARANSAS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1289
ARANSAS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,4378
ARANSAS,"Justice, Supreme Court, Place 7",,OTHER,OTH,253
ARCHER,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,271
ARCHER,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2168
ARCHER,"Justice, Supreme Court, Place 7",,OTHER,OTH,74
ARMSTRONG,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,42
ARMSTRONG,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,489
ARMSTRONG,"Justice, Supreme Court, Place 7",,OTHER,OTH,24
ATASCOSA,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,2537
ATASCOSA,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,4491
ATASCOSA,"Justice, Supreme Court, Place 7",,OTHER,OTH,193
AUSTIN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1099
AUSTIN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,5738
AUSTIN,"Justice, Supreme Court, Place 7",,OTHER,OTH,169
BAILEY,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,141
BAILEY,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,805
BAILEY,"Justice, Supreme Court, Place 7",,OTHER,OTH,14
BANDERA,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1093
BANDERA,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,4810
BANDERA,"Justice, Supreme Court, Place 7",,OTHER,OTH,344
BASTROP,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,6120
BASTROP,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,9259
BASTROP,"Justice, Supreme Court, Place 7",,OTHER,OTH,1062
BAYLOR,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,109
BAYLOR,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,618
BAYLOR,"Justice, Supreme Court, Place 7",,OTHER,OTH,35
BEE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,2232
BEE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2650
BEE,"Justice, Supreme Court, Place 7",,OTHER,OTH,148
BELL,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,13921
BELL,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,27307
BELL,"Justice, Supreme Court, Place 7",,OTHER,OTH,1622
BEXAR,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,142447
BEXAR,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,142339
BEXAR,"Justice, Supreme Court, Place 7",,OTHER,OTH,9772
BLANCO,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,774
BLANCO,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2535
BLANCO,"Justice, Supreme Court, Place 7",,OTHER,OTH,207
BORDEN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,15
BORDEN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,226
BORDEN,"Justice, Supreme Court, Place 7",,OTHER,OTH,4
BOSQUE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,786
BOSQUE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,3754
BOSQUE,"Justice, Supreme Court, Place 7",,OTHER,OTH,201
BOWIE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,5171
BOWIE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,14806
BOWIE,"Justice, Supreme Court, Place 7",,OTHER,OTH,679
BRAZORIA,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,18325
BRAZORIA,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,40834
BRAZORIA,"Justice, Supreme Court, Place 7",,OTHER,OTH,1993
BRAZOS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,8182
BRAZOS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,21107
BRAZOS,"Justice, Supreme Court, Place 7",,OTHER,OTH,1311
BREWSTER,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1278
BREWSTER,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,1311
BREWSTER,"Justice, Supreme Court, Place 7",,OTHER,OTH,194
BRISCOE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,65
BRISCOE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,407
BRISCOE,"Justice, Supreme Court, Place 7",,OTHER,OTH,16
BROOKS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1589
BROOKS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,372
BROOKS,"Justice, Supreme Court, Place 7",,OTHER,OTH,54
BROWN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,878
BROWN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,6809
BROWN,"Justice, Supreme Court, Place 7",,OTHER,OTH,283
BURLESON,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,945
BURLESON,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,3032
BURLESON,"Justice, Supreme Court, Place 7",,OTHER,OTH,104
BURNET,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,2222
BURNET,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,8919
BURNET,"Justice, Supreme Court, Place 7",,OTHER,OTH,517
CALDWELL,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,3429
CALDWELL,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,4689
CALDWELL,"Justice, Supreme Court, Place 7",,OTHER,OTH,466
CALHOUN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1286
CALHOUN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2534
CALHOUN,"Justice, Supreme Court, Place 7",,OTHER,OTH,141
CALLAHAN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,278
CALLAHAN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2516
CALLAHAN,"Justice, Supreme Court, Place 7",,OTHER,OTH,112
CAMERON,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,22970
CAMERON,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,13808
CAMERON,"Justice, Supreme Court, Place 7",,OTHER,OTH,1343
CAMP,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,721
CAMP,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,1736
CAMP,"Justice, Supreme Court, Place 7",,OTHER,OTH,74
CARSON,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,167
CARSON,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,1546
CARSON,"Justice, Supreme Court, Place 7",,OTHER,OTH,60
CASS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1636
CASS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,4957
CASS,"Justice, Supreme Court, Place 7",,OTHER,OTH,184
CASTRO,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,224
CASTRO,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,845
CASTRO,"Justice, Supreme Court, Place 7",,OTHER,OTH,34
CHAMBERS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1353
CHAMBERS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,6684
CHAMBERS,"Justice, Supreme Court, Place 7",,OTHER,OTH,232
CHEROKEE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1839
CHEROKEE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,7231
CHEROKEE,"Justice, Supreme Court, Place 7",,OTHER,OTH,309
CHILDRESS,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,120
CHILDRESS,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,926
CHILDRESS,"Justice, Supreme Court, Place 7",,OTHER,OTH,24
CLAY,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,341
CLAY,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2249
CLAY,"Justice, Supreme Court, Place 7",,OTHER,OTH,103
COCHRAN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,73
COCHRAN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,360
COCHRAN,"Justice, Supreme Court, Place 7",,OTHER,OTH,20
COKE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,53
COKE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,649
COKE,"Justice, Supreme Court, Place 7",,OTHER,OTH,29
COLEMAN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,238
COLEMAN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,1845
COLEMAN,"Justice, Supreme Court, Place 7",,OTHER,OTH,77
COLLIN,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,51249
COLLIN,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,114694
COLLIN,"Justice, Supreme Court, Place 7",,OTHER,OTH,6034
COLLINGSWORTH,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,116
COLLINGSWORTH,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,591
COLLINGSWORTH,"Justice, Supreme Court, Place 7",,OTHER,OTH,28
COLORADO,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1061
COLORADO,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,3721
COLORADO,"Justice, Supreme Court, Place 7",,OTHER,OTH,117
COMAL,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,6703
COMAL,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,26188
COMAL,"Justice, Supreme Court, Place 7",,OTHER,OTH,1324
COMANCHE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,455
COMANCHE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,2403
COMANCHE,"Justice, Supreme Court, Place 7",,OTHER,OTH,127
CONCHO,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,76
CONCHO,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,485
CONCHO,"Justice, Supreme Court, Place 7",,OTHER,OTH,17
COOKE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1103
COOKE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,7211
COOKE,"Justice, Supreme Court, Place 7",,OTHER,OTH,273
CORYELL,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,1969
CORYELL,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,6187
CORYELL,"Justice, Supreme Court, Place 7",,OTHER,OTH,356
COTTLE,"Justice, Supreme Court, Place 7",,Gina Benavides,DEM,51
COTTLE,"Justice, Supreme Court, Place 7",,Jeff Boyd,REP,265
