county,office,district,candidate,party,votes
ANDERSON,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,2152
ANDERSON,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,7476
ANDERSON,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,434
ANDREWS,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,220
ANDREWS,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,1846
ANDREWS,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,85
ANGELINA,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,3648
ANGELINA,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,12402
ANGELINA,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,402
ARANSAS,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1268
ARANSAS,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,4374
ARANSAS,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,236
ARCHER,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,280
ARCHER,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,2152
ARCHER,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,86
ARMSTRONG,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,51
ARMSTRONG,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,482
ARMSTRONG,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,21
ATASCOSA,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,2400
ATASCOSA,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,4505
ATASCOSA,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,250
AUSTIN,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1089
AUSTIN,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,5722
AUSTIN,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,177
BAILEY,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,134
BAILEY,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,792
BAILEY,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,21
BANDERA,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1042
BANDERA,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,4844
BANDERA,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,318
BASTROP,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,6076
BASTROP,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,9195
BASTROP,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,1089
BAYLOR,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,125
BAYLOR,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,592
BAYLOR,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,42
BEE,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,2061
BEE,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,2706
BEE,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,178
BELL,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,13790
BELL,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,27358
BELL,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,1603
BEXAR,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,128728
BEXAR,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,152053
BEXAR,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,10719
BLANCO,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,788
BLANCO,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,2507
BLANCO,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,191
BORDEN,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,18
BORDEN,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,220
BORDEN,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,6
BOSQUE,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,837
BOSQUE,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,3694
BOSQUE,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,182
BOWIE,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,5224
BOWIE,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,14541
BOWIE,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,796
BRAZORIA,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,17907
BRAZORIA,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,40898
BRAZORIA,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,2122
BRAZOS,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,7853
BRAZOS,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,21227
BRAZOS,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,1332
BREWSTER,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1250
BREWSTER,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,1305
BREWSTER,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,182
BRISCOE,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,72
BRISCOE,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,398
BRISCOE,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,14
BROOKS,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1431
BROOKS,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,434
BROOKS,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,103
BROWN,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,899
BROWN,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,6771
BROWN,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,268
BURLESON,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,936
BURLESON,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,3031
BURLESON,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,109
BURNET,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,2232
BURNET,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,8886
BURNET,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,547
CALDWELL,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,3386
CALDWELL,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,4645
CALDWELL,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,509
CALHOUN,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,1271
CALHOUN,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,2518
CALHOUN,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,161
CALLAHAN,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,288
CALLAHAN,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,2507
CALLAHAN,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,116
CAMERON,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,20701
CAMERON,"Judge, Court of Criminal Appeals Place 3",,Bert Richardson,REP,15313
CAMERON,"Judge, Court of Criminal Appeals Place 3",,OTHER,OTH,1917
CAMP,"Judge, Court of Criminal Appeals Place 3",,John Granberg,DEM,733
