county,office,district,candidate,party,votes
ANDERSON,Lieutenant Governor,,Leticia Van de Putte,DEM,2215
ANDERSON,Lieutenant Governor,,Dan Patrick,REP,7659
ANDERSON,Lieutenant Governor,,OTHER,OTH,301
ANDREWS,Lieutenant Governor,,Leticia Van de Putte,DEM,205
ANDREWS,Lieutenant Governor,,Dan Patrick,REP,1950
ANDREWS,Lieutenant Governor,,OTHER,OTH,44
ANGELINA,Lieutenant Governor,,Leticia Van de Putte,DEM,3625
ANGELINA,Lieutenant Governor,,Dan Patrick,REP,12749
ANGELINA,Lieutenant Governor,,OTHER,OTH,351
ARANSAS,Lieutenant Governor,,Leticia Van de Putte,DEM,1455
ARANSAS,Lieutenant Governor,,Dan Patrick,REP,4364
ARANSAS,Lieutenant Governor,,OTHER,OTH,186
ARCHER,Lieutenant Governor,,Leticia Van de Putte,DEM,287
ARCHER,Lieutenant Governor,,Dan Patrick,REP,2261
ARCHER,Lieutenant Governor,,OTHER,OTH,52
ARMSTRONG,Lieutenant Governor,,Leticia Van de Putte,DEM,40
ARMSTRONG,Lieutenant Governor,,Dan Patrick,REP,507
ARMSTRONG,Lieutenant Governor,,OTHER,OTH,19
ATASCOSA,Lieutenant Governor,,Leticia Van de Putte,DEM,2764
ATASCOSA,Lieutenant Governor,,Dan Patrick,REP,4535
ATASCOSA,Lieutenant Governor,,OTHER,OTH,134
AUSTIN,Lieutenant Governor,,Leticia Van de Putte,DEM,1238
AUSTIN,Lieutenant Governor,,Dan Patrick,REP,5739
AUSTIN,Lieutenant Governor,,OTHER,OTH,181
BAILEY,Lieutenant Governor,,Leticia Van de Putte,DEM,151
BAILEY,Lieutenant Governor,,Dan Patrick,REP,834
BAILEY,Lieutenant Governor,,OTHER,OTH,12
BANDERA,Lieutenant Governor,,Leticia Van de Putte,DEM,1261
BANDERA,Lieutenant Governor,,Dan Patrick,REP,4853
BANDERA,Lieutenant Governor,,OTHER,OTH,233
BASTROP,Lieutenant Governor,,Leticia Van de Putte,DEM,6289
BASTROP,Lieutenant Governor,,Dan Patrick,REP,9635
BASTROP,Lieutenant Governor,,OTHER,OTH,888
BAYLOR,Lieutenant Governor,,Leticia Van de Putte,DEM,128
BAYLOR,Lieutenant Governor,,Dan Patrick,REP,667
BAYLOR,Lieutenant Governor,,OTHER,OTH,27
BEE,Lieutenant Governor,,Leticia Van de Putte,DEM,2267
BEE,Lieutenant Governor,,Dan Patrick,REP,2719
BEE,Lieutenant Governor,,OTHER,OTH,135
BELL,Lieutenant Governor,,Leticia Van de Putte,DEM,13864
BELL,Lieutenant Governor,,Dan Patrick,REP,28595
BELL,Lieutenant Governor,,OTHER,OTH,1267
BEXAR,Lieutenant Governor,,Leticia Van de Putte,DEM,153105
BEXAR,Lieutenant Governor,,Dan Patrick,REP,139505
BEXAR,Lieutenant Governor,,OTHER,OTH,7023
BLANCO,Lieutenant Governor,,Leticia Van de Putte,DEM,831
BLANCO,Lieutenant Governor,,Dan Patrick,REP,2606
BLANCO,Lieutenant Governor,,OTHER,OTH,157
BORDEN,Lieutenant Governor,,Leticia Van de Putte,DEM,16
BORDEN,Lieutenant Governor,,Dan Patrick,REP,229
BORDEN,Lieutenant Governor,,OTHER,OTH,8
BOSQUE,Lieutenant Governor,,Leticia Van de Putte,DEM,862
BOSQUE,Lieutenant Governor,,Dan Patrick,REP,3840
BOSQUE,Lieutenant Governor,,OTHER,OTH,152
BOWIE,Lieutenant Governor,,Leticia Van de Putte,DEM,5024
BOWIE,Lieutenant Governor,,Dan Patrick,REP,15484
BOWIE,Lieutenant Governor,,OTHER,OTH,634
BRAZORIA,Lieutenant Governor,,Leticia Van de Putte,DEM,19087
BRAZORIA,Lieutenant Governor,,Dan Patrick,REP,40876
BRAZORIA,Lieutenant Governor,,OTHER,OTH,2046
BRAZOS,Lieutenant Governor,,Leticia Van de Putte,DEM,9148
BRAZOS,Lieutenant Governor,,Dan Patrick,REP,20929
BRAZOS,Lieutenant Governor,,OTHER,OTH,1255
BREWSTER,Lieutenant Governor,,Leticia Van de Putte,DEM,1279
BREWSTER,Lieutenant Governor,,Dan Patrick,REP,1395
BREWSTER,Lieutenant Governor,,OTHER,OTH,174
BRISCOE,Lieutenant Governor,,Leticia Van de Putte,DEM,65
BRISCOE,Lieutenant Governor,,Dan Patrick,REP,430
BRISCOE,Lieutenant Governor,,OTHER,OTH,13
BROOKS,Lieutenant Governor,,Leticia Van de Putte,DEM,1556
BROOKS,Lieutenant Governor,,Dan Patrick,REP,427
BROOKS,Lieutenant Governor,,OTHER,OTH,75
BROWN,Lieutenant Governor,,Leticia Van de Putte,DEM,883
BROWN,Lieutenant Governor,,Dan Patrick,REP,7042
BROWN,Lieutenant Governor,,OTHER,OTH,227
BURLESON,Lieutenant Governor,,Leticia Van de Putte,DEM,938
BURLESON,Lieutenant Governor,,Dan Patrick,REP,3140
BURLESON,Lieutenant Governor,,OTHER,OTH,93
BURNET,Lieutenant Governor,,Leticia Van de Putte,DEM,2360
BURNET,Lieutenant Governor,,Dan Patrick,REP,9007
BURNET,Lieutenant Governor,,OTHER,OTH,505
CALDWELL,Lieutenant Governor,,Leticia Van de Putte,DEM,3441
CALDWELL,Lieutenant Governor,,Dan Patrick,REP,5042
CALDWELL,Lieutenant Governor,,OTHER,OTH,350
CALHOUN,Lieutenant Governor,,Leticia Van de Putte,DEM,1308
CALHOUN,Lieutenant Governor,,Dan Patrick,REP,2666
CALHOUN,Lieutenant Governor,,OTHER,OTH,134
CALLAHAN,Lieutenant Governor,,Leticia Van de Putte,DEM,291
CALLAHAN,Lieutenant Governor,,Dan Patrick,REP,2582
CALLAHAN,Lieutenant Governor,,OTHER,OTH,90
CAMERON,Lieutenant Governor,,Leticia Van de Putte,DEM,23094
CAMERON,Lieutenant Governor,,Dan Patrick,REP,14527
CAMERON,Lieutenant Governor,,OTHER,OTH,1155
CAMP,Lieutenant Governor,,Leticia Van de Putte,DEM,721
CAMP,Lieutenant Governor,,Dan Patrick,REP,1808
CAMP,Lieutenant Governor,,OTHER,OTH,64
CARSON,Lieutenant Governor,,Leticia Van de Putte,DEM,167
CARSON,Lieutenant Governor,,Dan Patrick,REP,1613
CARSON,Lieutenant Governor,,OTHER,OTH,53
CASS,Lieutenant Governor,,Leticia Van de Putte,DEM,1593
CASS,Lieutenant Governor,,Dan Patrick,REP,5137
CASS,Lieutenant Governor,,OTHER,OTH,153
CASTRO,Lieutenant Governor,,Leticia Van de Putte,DEM,204
CASTRO,Lieutenant Governor,,Dan Patrick,REP,901
CASTRO,Lieutenant Governor,,OTHER,OTH,32
CHAMBERS,Lieutenant Governor,,Leticia Van de Putte,DEM,1420
CHAMBERS,Lieutenant Governor,,Dan Patrick,REP,6717
CHAMBERS,Lieutenant Governor,,OTHER,OTH,235
CHEROKEE,Lieutenant Governor,,Leticia Van de Putte,DEM,1821
CHEROKEE,Lieutenant Governor,,Dan Patrick,REP,7600
CHEROKEE,Lieutenant Governor,,OTHER,OTH,204
CHILDRESS,Lieutenant Governor,,Leticia Van de Putte,DEM,129
CHILDRESS,Lieutenant Governor,,Dan Patrick,REP,942
CHILDRESS,Lieutenant Governor,,OTHER,OTH,18
CLAY,Lieutenant Governor,,Leticia Van de Putte,DEM,339
CLAY,Lieutenant Governor,,Dan Patrick,REP,2393
CLAY,Lieutenant Governor,,OTHER,OTH,65
