county,office,district,candidate,party,votes
ANDERSON,Commissioner of the General Land Office,,John Cook,DEM,2230
ANDERSON,Commissioner of the General Land Office,,George P. Bush,REP,7550
ANDERSON,Commissioner of the General Land Office,,OTHER,OTH,372
ANDREWS,Commissioner of the General Land Office,,John Cook,DEM,214
ANDREWS,Commissioner of the General Land Office,,George P. Bush,REP,1899
ANDREWS,Commissioner of the General Land Office,,OTHER,OTH,79
ANGELINA,Commissioner of the General Land Office,,John Cook,DEM,3643
ANGELINA,Commissioner of the General Land Office,,George P. Bush,REP,12585
ANGELINA,Commissioner of the General Land Office,,OTHER,OTH,425
ARANSAS,Commissioner of the General Land Office,,John Cook,DEM,1220
ARANSAS,Commissioner of the General Land Office,,George P. Bush,REP,4543
ARANSAS,Commissioner of the General Land Office,,OTHER,OTH,255
ARCHER,Commissioner of the General Land Office,,John Cook,DEM,284
ARCHER,Commissioner of the General Land Office,,George P. Bush,REP,2219
ARCHER,Commissioner of the General Land Office,,OTHER,OTH,76
ARMSTRONG,Commissioner of the General Land Office,,John Cook,DEM,53
ARMSTRONG,Commissioner of the General Land Office,,George P. Bush,REP,485
ARMSTRONG,Commissioner of the General Land Office,,OTHER,OTH,26
ATASCOSA,Commissioner of the General Land Office,,John Cook,DEM,2287
ATASCOSA,Commissioner of the General Land Office,,George P. Bush,REP,4791
ATASCOSA,Commissioner of the General Land Office,,OTHER,OTH,263
AUSTIN,Commissioner of the General Land Office,,John Cook,DEM,1081
AUSTIN,Commissioner of the General Land Office,,George P. Bush,REP,5811
AUSTIN,Commissioner of the General Land Office,,OTHER,OTH,203
BAILEY,Commissioner of the General Land Office,,John Cook,DEM,132
BAILEY,Commissioner of the General Land Office,,George P. Bush,REP,833
BAILEY,Commissioner of the General Land Office,,OTHER,OTH,20
BANDERA,Commissioner of the General Land Office,,John Cook,DEM,1002
BANDERA,Commissioner of the General Land Office,,George P. Bush,REP,4926
BANDERA,Commissioner of the General Land Office,,OTHER,OTH,373
BASTROP,Commissioner of the General Land Office,,John Cook,DEM,6135
BASTROP,Commissioner of the General Land Office,,George P. Bush,REP,9468
BASTROP,Commissioner of the General Land Office,,OTHER,OTH,1115
BAYLOR,Commissioner of the General Land Office,,John Cook,DEM,125
BAYLOR,Commissioner of the General Land Office,,George P. Bush,REP,650
BAYLOR,Commissioner of the General Land Office,,OTHER,OTH,35
BEE,Commissioner of the General Land Office,,John Cook,DEM,1877
BEE,Commissioner of the General Land Office,,George P. Bush,REP,2997
BEE,Commissioner of the General Land Office,,OTHER,OTH,226
BELL,Commissioner of the General Land Office,,John Cook,DEM,13795
BELL,Commissioner of the General Land Office,,George P. Bush,REP,27724
BELL,Commissioner of the General Land Office,,OTHER,OTH,1890
BEXAR,Commissioner of the General Land Office,,John Cook,DEM,126269
