county,office,district,candidate,party,votes
ANDERSON,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,2138
ANDERSON,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,7606
ANDERSON,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,317
ANDREWS,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,217
ANDREWS,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,1877
ANDREWS,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,68
ANGELINA,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,3666
ANGELINA,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,12488
ANGELINA,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,352
ARANSAS,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,1272
ARANSAS,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,4449
ARANSAS,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,192
ARCHER,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,270
ARCHER,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,2196
ARCHER,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,62
ARMSTRONG,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,42
ARMSTRONG,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,490
ARMSTRONG,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,19
ATASCOSA,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,2385
ATASCOSA,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,4622
ATASCOSA,"Justice, Supreme Court, Place 6 - Unexpired Term",,OTHER,OTH,185
AUSTIN,"Justice, Supreme Court, Place 6 - Unexpired Term",,Lawrence Edward Meyers,DEM,1053
AUSTIN,"Justice, Supreme Court, Place 6 - Unexpired Term",,Jeff Brown,REP,5792
