county,office,district,candidate,party,votes
CHAMBERS,Attorney General,,Ken Paxton,REP,6775
CHAMBERS,Attorney General,,OTHER,OTH,142
CHEROKEE,Attorney General,,Sam Houston,DEM,1983
CHEROKEE,Attorney General,,Ken Paxton,REP,7419
CHEROKEE,Attorney General,,OTHER,OTH,185
CHILDRESS,Attorney General,,Sam Houston,DEM,133
CHILDRESS,Attorney General,,Ken Paxton,REP,932
CHILDRESS,Attorney General,,OTHER,OTH,15
CLAY,Attorney General,,Sam Houston,DEM,425
CLAY,Attorney General,,Ken Paxton,REP,2281
CLAY,Attorney General,,OTHER,OTH,65
COCHRAN,Attorney General,,Sam Houston,DEM,77
COCHRAN,Attorney General,,Ken Paxton,REP,392
COCHRAN,Attorney General,,OTHER,OTH,15
COKE,Attorney General,,Sam Houston,DEM,90
COKE,Attorney General,,Ken Paxton,REP,653
COKE,Attorney General,,OTHER,OTH,14
COLEMAN,Attorney General,,Sam Houston,DEM,256
COLEMAN,Attorney General,,Ken Paxton,REP,1896
COLEMAN,Attorney General,,OTHER,OTH,48
COLLIN,Attorney General,,Sam Houston,DEM,54836
COLLIN,Attorney General,,Ken Paxton,REP,115885
COLLIN,Attorney General,,OTHER,OTH,4790
COLLINGSWORTH,Attorney General,,Sam Houston,DEM,138
COLLINGSWORTH,Attorney General,,Ken Paxton,REP,612
COLLINGSWORTH,Attorney General,,OTHER,OTH,15
COLORADO,Attorney General,,Sam Houston,DEM,1106
COLORADO,Attorney General,,Ken Paxton,REP,3871
COLORADO,Attorney General,,OTHER,OTH,79
COMAL,Attorney General,,Sam Houston,DEM,6939
COMAL,Attorney General,,Ken Paxton,REP,26510
COMAL,Attorney General,,OTHER,OTH,1073
COMANCHE,Attorney General,,Sam Houston,DEM,518
COMANCHE,Attorney General,,Ken Paxton,REP,2452
COMANCHE,Attorney General,,OTHER,OTH,84
CONCHO,Attorney General,,Sam Houston,DEM,92
CONCHO,Attorney General,,Ken Paxton,REP,485
CONCHO,Attorney General,,OTHER,OTH,13
COOKE,Attorney General,,Sam Houston,DEM,1256
COOKE,Attorney General,,Ken Paxton,REP,7334
COOKE,Attorney General,,OTHER,OTH,168
CORYELL,Attorney General,,Sam Houston,DEM,2074
CORYELL,Attorney General,,Ken Paxton,REP,6296
CORYELL,Attorney General,,OTHER,OTH,279
COTTLE,Attorney General,,Sam Houston,DEM,60
COTTLE,Attorney General,,Ken Paxton,REP,279
COTTLE,Attorney General,,OTHER,OTH,10
CRANE,Attorney General,,Sam Houston,DEM,153
CRANE,Attorney General,,Ken Paxton,REP,650
CRANE,Attorney General,,OTHER,OTH,26
CROCKETT,Attorney General,,Sam Houston,DEM,214
CROCKETT,Attorney General,,Ken Paxton,REP,543
CROCKETT,Attorney General,,OTHER,OTH,30
CROSBY,Attorney General,,Sam Houston,DEM,316
CROSBY,Attorney General,,Ken Paxton,REP,719
CROSBY,Attorney General,,OTHER,OTH,15
CULBERSON,Attorney General,,Sam Houston,DEM,142
CULBERSON,Attorney General,,Ken Paxton,REP,147
CULBERSON,Attorney General,,OTHER,OTH,16
DALLAM,Attorney General,,Sam Houston,DEM,104
DALLAM,Attorney General,,Ken Paxton,REP,700
DALLAM,Attorney General,,OTHER,OTH,29
DALLAS,Attorney General,,Sam Houston,DEM,216030
DALLAS,Attorney General,,Ken Paxton,REP,175141
DALLAS,Attorney General,,OTHER,OTH,10911
DAWSON,Attorney General,,Sam Houston,DEM,385
DAWSON,Attorney General,,Ken Paxton,REP,1569
DAWSON,Attorney General,,OTHER,OTH,42
DEAF SMITH,Attorney General,,Sam Houston,DEM,506
DEAF SMITH,Attorney General,,Ken Paxton,REP,2111
DEAF SMITH,Attorney General,,OTHER,OTH,56
