county,office,district,candidate,party,votes
ANDERSON,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,7613
ANDERSON,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,1288
ANDREWS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,1864
ANDREWS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,218
ANGELINA,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,12773
ANGELINA,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,1588
ARANSAS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,4511
ARANSAS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,828
ARCHER,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2147
ARCHER,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,316
ARMSTRONG,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,484
ARMSTRONG,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,59
ATASCOSA,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,4821
ATASCOSA,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,1313
AUSTIN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,5876
AUSTIN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,579
BAILEY,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,814
BAILEY,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,77
BANDERA,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,4878
BANDERA,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,970
BASTROP,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,9976
BASTROP,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,4143
BAYLOR,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,621
BAYLOR,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,95
BEE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2998
BEE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,921
BELL,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,28449
BELL,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,7082
BEXAR,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,163253
BEXAR,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,75906
BLANCO,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2584
BLANCO,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,677
BORDEN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,223
BORDEN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,14
BOSQUE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,3789
BOSQUE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,614
BOWIE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,15543
BOWIE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,2872
BRAZORIA,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,42895
BRAZORIA,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,9325
BRAZOS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,21979
BRAZOS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,5541
BREWSTER,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,1394
BREWSTER,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,931
BRISCOE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,412
BRISCOE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,43
BROOKS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,616
BROOKS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,648
BROWN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,6704
BROWN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,887
BURLESON,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,3124
BURLESON,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,352
BURNET,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,9076
BURNET,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,1662
CALDWELL,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,5111
CALDWELL,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,2193
CALHOUN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2715
CALHOUN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,654
CALLAHAN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2492
CALLAHAN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,328
CAMERON,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,18252
CAMERON,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,11445
CAMP,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,1817
CAMP,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,294
CARSON,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,1524
CARSON,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,179
CASS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,5118
CASS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,612
CASTRO,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,849
CASTRO,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,137
CHAMBERS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,6860
CHAMBERS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,741
CHEROKEE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,7294
CHEROKEE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,986
CHILDRESS,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,914
CHILDRESS,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,93
CLAY,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2218
CLAY,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,327
COCHRAN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,390
COCHRAN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,55
COKE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,645
COKE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,62
COLEMAN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,1806
COLEMAN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,318
COLLIN,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,118807
COLLIN,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,33634
COLLINGSWORTH,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,576
COLLINGSWORTH,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,125
COLORADO,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,3862
COLORADO,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,442
COMAL,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,26895
COMAL,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,5139
COMANCHE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,2368
COMANCHE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,385
CONCHO,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,470
CONCHO,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,66
COOKE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,7260
COOKE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,817
CORYELL,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,6395
CORYELL,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,1211
COTTLE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,264
COTTLE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,38
CRANE,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,646
CRANE,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,94
CROCKETT,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,481
CROCKETT,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,108
CROSBY,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,713
CROSBY,"Judge, Court of Criminal Appeals Place 4",,OTHER,OTH,174
CULBERSON,"Judge, Court of Criminal Appeals Place 4",,Kevin Patrick Yeary,REP,144
