county,office,district,candidate,party,votes
ANDERSON,Comptroller of Public Accounts,,Mike Collier,DEM,2251
ANDERSON,Comptroller of Public Accounts,,Glenn Hegar,REP,7463
ANDERSON,Comptroller of Public Accounts,,OTHER,OTH,339
ANDREWS,Comptroller of Public Accounts,,Mike Collier,DEM,244
ANDREWS,Comptroller of Public Accounts,,Glenn Hegar,REP,1847
ANDREWS,Comptroller of Public Accounts,,OTHER,OTH,79
ANGELINA,Comptroller of Public Accounts,,Mike Collier,DEM,3797
ANGELINA,Comptroller of Public Accounts,,Glenn Hegar,REP,12293
ANGELINA,Comptroller of Public Accounts,,OTHER,OTH,460
ARANSAS,Comptroller of Public Accounts,,Mike Collier,DEM,1314
ARANSAS,Comptroller of Public Accounts,,Glenn Hegar,REP,4428
ARANSAS,Comptroller of Public Accounts,,OTHER,OTH,218
ARCHER,Comptroller of Public Accounts,,Mike Collier,DEM,334
ARCHER,Comptroller of Public Accounts,,Glenn Hegar,REP,2150
ARCHER,Comptroller of Public Accounts,,OTHER,OTH,61
ARMSTRONG,Comptroller of Public Accounts,,Mike Collier,DEM,53
ARMSTRONG,Comptroller of Public Accounts,,Glenn Hegar,REP,477
ARMSTRONG,Comptroller of Public Accounts,,OTHER,OTH,23
ATASCOSA,Comptroller of Public Accounts,,Mike Collier,DEM,2498
ATASCOSA,Comptroller of Public Accounts,,Glenn Hegar,REP,4450
ATASCOSA,Comptroller of Public Accounts,,OTHER,OTH,270
AUSTIN,Comptroller of Public Accounts,,Mike Collier,DEM,1124
AUSTIN,Comptroller of Public Accounts,,Glenn Hegar,REP,5863
AUSTIN,Comptroller of Public Accounts,,OTHER,OTH,136
BAILEY,Comptroller of Public Accounts,,Mike Collier,DEM,131
BAILEY,Comptroller of Public Accounts,,Glenn Hegar,REP,805
BAILEY,Comptroller of Public Accounts,,OTHER,OTH,19
BANDERA,Comptroller of Public Accounts,,Mike Collier,DEM,1090
BANDERA,Comptroller of Public Accounts,,Glenn Hegar,REP,4816
BANDERA,Comptroller of Public Accounts,,OTHER,OTH,347
BASTROP,Comptroller of Public Accounts,,Mike Collier,DEM,6235
BASTROP,Comptroller of Public Accounts,,Glenn Hegar,REP,9325
BASTROP,Comptroller of Public Accounts,,OTHER,OTH,1100
BAYLOR,Comptroller of Public Accounts,,Mike Collier,DEM,152
BAYLOR,Comptroller of Public Accounts,,Glenn Hegar,REP,611
BAYLOR,Comptroller of Public Accounts,,OTHER,OTH,25
BEE,Comptroller of Public Accounts,,Mike Collier,DEM,2088
