county,office,district,candidate,party,votes
CAMERON,Railroad Commissioner,,Steve Brown,DEM,19990
CAMERON,Railroad Commissioner,,Ryan Sitton,REP,13867
CAMERON,Railroad Commissioner,,OTHER,OTH,4073
CAMP,Railroad Commissioner,,Steve Brown,DEM,761
CAMP,Railroad Commissioner,,Ryan Sitton,REP,1700
CAMP,Railroad Commissioner,,OTHER,OTH,90
CARSON,Railroad Commissioner,,Steve Brown,DEM,217
CARSON,Railroad Commissioner,,Ryan Sitton,REP,1500
CARSON,Railroad Commissioner,,OTHER,OTH,82
CASS,Railroad Commissioner,,Steve Brown,DEM,1754
CASS,Railroad Commissioner,,Ryan Sitton,REP,4855
CASS,Railroad Commissioner,,OTHER,OTH,200
CASTRO,Railroad Commissioner,,Steve Brown,DEM,245
CASTRO,Railroad Commissioner,,Ryan Sitton,REP,826
CASTRO,Railroad Commissioner,,OTHER,OTH,53
CHAMBERS,Railroad Commissioner,,Steve Brown,DEM,1337
CHAMBERS,Railroad Commissioner,,Ryan Sitton,REP,6684
CHAMBERS,Railroad Commissioner,,OTHER,OTH,277
CHEROKEE,Railroad Commissioner,,Steve Brown,DEM,1942
CHEROKEE,Railroad Commissioner,,Ryan Sitton,REP,7157
CHEROKEE,Railroad Commissioner,,OTHER,OTH,334
CHILDRESS,Railroad Commissioner,,Steve Brown,DEM,135
CHILDRESS,Railroad Commissioner,,Ryan Sitton,REP,905
CHILDRESS,Railroad Commissioner,,OTHER,OTH,35
CLAY,Railroad Commissioner,,Steve Brown,DEM,402
CLAY,Railroad Commissioner,,Ryan Sitton,REP,2211
CLAY,Railroad Commissioner,,OTHER,OTH,118
COCHRAN,Railroad Commissioner,,Steve Brown,DEM,74
COCHRAN,Railroad Commissioner,,Ryan Sitton,REP,381
COCHRAN,Railroad Commissioner,,OTHER,OTH,26
COKE,Railroad Commissioner,,Steve Brown,DEM,74
COKE,Railroad Commissioner,,Ryan Sitton,REP,637
COKE,Railroad Commissioner,,OTHER,OTH,28
COLEMAN,Railroad Commissioner,,Steve Brown,DEM,253
COLEMAN,Railroad Commissioner,,Ryan Sitton,REP,1816
COLEMAN,Railroad Commissioner,,OTHER,OTH,103
COLLIN,Railroad Commissioner,,Steve Brown,DEM,49744
COLLIN,Railroad Commissioner,,Ryan Sitton,REP,114401
COLLIN,Railroad Commissioner,,OTHER,OTH,7865
COLLINGSWORTH,Railroad Commissioner,,Steve Brown,DEM,152
COLLINGSWORTH,Railroad Commissioner,,Ryan Sitton,REP,553
COLLINGSWORTH,Railroad Commissioner,,OTHER,OTH,43
COLORADO,Railroad Commissioner,,Steve Brown,DEM,1070
COLORADO,Railroad Commissioner,,Ryan Sitton,REP,3735
COLORADO,Railroad Commissioner,,OTHER,OTH,171
COMAL,Railroad Commissioner,,Steve Brown,DEM,6611
COMAL,Railroad Commissioner,,Ryan Sitton,REP,25801
COMAL,Railroad Commissioner,,OTHER,OTH,1840
COMANCHE,Railroad Commissioner,,Steve Brown,DEM,484
COMANCHE,Railroad Commissioner,,Ryan Sitton,REP,2369
COMANCHE,Railroad Commissioner,,OTHER,OTH,149
CONCHO,Railroad Commissioner,,Steve Brown,DEM,86
CONCHO,Railroad Commissioner,,Ryan Sitton,REP,470
CONCHO,Railroad Commissioner,,OTHER,OTH,28
COOKE,Railroad Commissioner,,Steve Brown,DEM,1171
COOKE,Railroad Commissioner,,Ryan Sitton,REP,7140
COOKE,Railroad Commissioner,,OTHER,OTH,327
CORYELL,Railroad Commissioner,,Steve Brown,DEM,1986
CORYELL,Railroad Commissioner,,Ryan Sitton,REP,6065
CORYELL,Railroad Commissioner,,OTHER,OTH,488
COTTLE,Railroad Commissioner,,Steve Brown,DEM,58
COTTLE,Railroad Commissioner,,Ryan Sitton,REP,272
COTTLE,Railroad Commissioner,,OTHER,OTH,14
CRANE,Railroad Commissioner,,Steve Brown,DEM,147
CRANE,Railroad Commissioner,,Ryan Sitton,REP,609
CRANE,Railroad Commissioner,,OTHER,OTH,56
CROCKETT,Railroad Commissioner,,Steve Brown,DEM,182
CROCKETT,Railroad Commissioner,,Ryan Sitton,REP,546
CROCKETT,Railroad Commissioner,,OTHER,OTH,52
CROSBY,Railroad Commissioner,,Steve Brown,DEM,290
CROSBY,Railroad Commissioner,,Ryan Sitton,REP,673
CROSBY,Railroad Commissioner,,OTHER,OTH,57
CULBERSON,Railroad Commissioner,,Steve Brown,DEM,130
CULBERSON,Railroad Commissioner,,Ryan Sitton,REP,127
CULBERSON,Railroad Commissioner,,OTHER,OTH,32
DALLAM,Railroad Commissioner,,Steve Brown,DEM,105
DALLAM,Railroad Commissioner,,Ryan Sitton,REP,671
DALLAM,Railroad Commissioner,,OTHER,OTH,45
DALLAS,Railroad Commissioner,,Steve Brown,DEM,203016
DALLAS,Railroad Commissioner,,Ryan Sitton,REP,175848
DALLAS,Railroad Commissioner,,OTHER,OTH,18112
DAWSON,Railroad Commissioner,,Steve Brown,DEM,383
DAWSON,Railroad Commissioner,,Ryan Sitton,REP,1499
DAWSON,Railroad Commissioner,,OTHER,OTH,74
DEAF SMITH,Railroad Commissioner,,Steve Brown,DEM,472
DEAF SMITH,Railroad Commissioner,,Ryan Sitton,REP,2013
DEAF SMITH,Railroad Commissioner,,OTHER,OTH,158
DELTA,Railroad Commissioner,,Steve Brown,DEM,305
DELTA,Railroad Commissioner,,Ryan Sitton,REP,936
DELTA,Railroad Commissioner,,OTHER,OTH,76
DENTON,Railroad Commissioner,,Steve Brown,DEM,40674
DENTON,Railroad Commissioner,,Ryan Sitton,REP,92051
DENTON,Railroad Commissioner,,OTHER,OTH,8063
DEWITT,Railroad Commissioner,,Steve Brown,DEM,687
DEWITT,Railroad Commissioner,,Ryan Sitton,REP,3100
DEWITT,Railroad Commissioner,,OTHER,OTH,135
DICKENS,Railroad Commissioner,,Steve Brown,DEM,74
DICKENS,Railroad Commissioner,,Ryan Sitton,REP,407
DICKENS,Railroad Commissioner,,OTHER,OTH,19
DIMMIT,Railroad Commissioner,,Steve Brown,DEM,1151
DIMMIT,Railroad Commissioner,,Ryan Sitton,REP,467
DIMMIT,Railroad Commissioner,,OTHER,OTH,146
DONLEY,Railroad Commissioner,,Steve Brown,DEM,117
DONLEY,Railroad Commissioner,,Ryan Sitton,REP,741
DONLEY,Railroad Commissioner,,OTHER,OTH,53
DUVAL,Railroad Commissioner,,Steve Brown,DEM,2275
DUVAL,Railroad Commissioner,,Ryan Sitton,REP,494
DUVAL,Railroad Commissioner,,OTHER,OTH,199
EASTLAND,Railroad Commissioner,,Steve Brown,DEM,435
EASTLAND,Railroad Commissioner,,Ryan Sitton,REP,3295
EASTLAND,Railroad Commissioner,,OTHER,OTH,150
ECTOR,Railroad Commissioner,,Steve Brown,DEM,2626
ECTOR,Railroad Commissioner,,Ryan Sitton,REP,11489
ECTOR,Railroad Commissioner,,OTHER,OTH,596
EDWARDS,Railroad Commissioner,,Steve Brown,DEM,172
EDWARDS,Railroad Commissioner,,Ryan Sitton,REP,473
EDWARDS,Railroad Commissioner,,OTHER,OTH,67
ELLIS,Railroad Commissioner,,Steve Brown,DEM,7186
ELLIS,Railroad Commissioner,,Ryan Sitton,REP,22902
ELLIS,Railroad Commissioner,,OTHER,OTH,1431
