county,office,district,candidate,party,votes
ANDERSON,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,7847
ANDERSON,"Justice, Supreme Court, Place 8",,OTHER,OTH,1011
ANDREWS,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,1925
ANDREWS,"Justice, Supreme Court, Place 8",,OTHER,OTH,156
ANGELINA,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,12934
ANGELINA,"Justice, Supreme Court, Place 8",,OTHER,OTH,1351
ARANSAS,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,4605
ARANSAS,"Justice, Supreme Court, Place 8",,OTHER,OTH,729
ARCHER,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,2239
ARCHER,"Justice, Supreme Court, Place 8",,OTHER,OTH,221
ARMSTRONG,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,496
ARMSTRONG,"Justice, Supreme Court, Place 8",,OTHER,OTH,48
ATASCOSA,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,5043
ATASCOSA,"Justice, Supreme Court, Place 8",,OTHER,OTH,1037
AUSTIN,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,5939
AUSTIN,"Justice, Supreme Court, Place 8",,OTHER,OTH,524
BAILEY,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,834
BAILEY,"Justice, Supreme Court, Place 8",,OTHER,OTH,59
BANDERA,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,4997
BANDERA,"Justice, Supreme Court, Place 8",,OTHER,OTH,828
BASTROP,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,10205
BASTROP,"Justice, Supreme Court, Place 8",,OTHER,OTH,3847
BAYLOR,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,643
BAYLOR,"Justice, Supreme Court, Place 8",,OTHER,OTH,64
BEE,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,3157
BEE,"Justice, Supreme Court, Place 8",,OTHER,OTH,734
BELL,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,28988
BELL,"Justice, Supreme Court, Place 8",,OTHER,OTH,6406
BEXAR,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,170242
BEXAR,"Justice, Supreme Court, Place 8",,OTHER,OTH,66582
BLANCO,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,2650
BLANCO,"Justice, Supreme Court, Place 8",,OTHER,OTH,606
BORDEN,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,230
BORDEN,"Justice, Supreme Court, Place 8",,OTHER,OTH,9
BOSQUE,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,3940
BOSQUE,"Justice, Supreme Court, Place 8",,OTHER,OTH,476
BOWIE,"Justice, Supreme Court, Place 8",,Phil Johnson,REP,15873
