county,office,district,candidate,party,votes
ANDERSON,Governor,,Wendy R. Davis,DEM,2286
ANDERSON,Governor,,Greg Abbott,REP,7732
ANDERSON,Governor,,OTHER,OTH,195
ANDREWS,Governor,,Wendy R. Davis,DEM,203
ANDREWS,Governor,,Greg Abbott,REP,1988
ANDREWS,Governor,,OTHER,OTH,30
ANGELINA,Governor,,Wendy R. Davis,DEM,3686
ANGELINA,Governor,,Greg Abbott,REP,12940
ANGELINA,Governor,,OTHER,OTH,176
ARANSAS,Governor,,Wendy R. Davis,DEM,1480
ARANSAS,Governor,,Greg Abbott,REP,4460
ARANSAS,Governor,,OTHER,OTH,130
ARCHER,Governor,,Wendy R. Davis,DEM,302
ARCHER,Governor,,Greg Abbott,REP,2297
ARCHER,Governor,,OTHER,OTH,37
ARMSTRONG,Governor,,Wendy R. Davis,DEM,59
ARMSTRONG,Governor,,Greg Abbott,REP,502
ARMSTRONG,Governor,,OTHER,OTH,10
ATASCOSA,Governor,,Wendy R. Davis,DEM,2589
ATASCOSA,Governor,,Greg Abbott,REP,4760
ATASCOSA,Governor,,OTHER,OTH,116
AUSTIN,Governor,,Wendy R. Davis,DEM,1252
AUSTIN,Governor,,Greg Abbott,REP,5813
AUSTIN,Governor,,OTHER,OTH,117
BAILEY,Governor,,Wendy R. Davis,DEM,130
BAILEY,Governor,,Greg Abbott,REP,868
BAILEY,Governor,,OTHER,OTH,6
BANDERA,Governor,,Wendy R. Davis,DEM,1257
BANDERA,Governor,,Greg Abbott,REP,4911
BANDERA,Governor,,OTHER,OTH,178
BASTROP,Governor,,Wendy R. Davis,DEM,6566
BASTROP,Governor,,Greg Abbott,REP,9803
BASTROP,Governor,,OTHER,OTH,592
BAYLOR,Governor,,Wendy R. Davis,DEM,134
BAYLOR,Governor,,Greg Abbott,REP,700
BAYLOR,Governor,,OTHER,OTH,10
BEE,Governor,,Wendy R. Davis,DEM,2128
BEE,Governor,,Greg Abbott,REP,2972
BEE,Governor,,OTHER,OTH,126
BELL,Governor,,Wendy R. Davis,DEM,14412
BELL,Governor,,Greg Abbott,REP,28778
BELL,Governor,,OTHER,OTH,793
BEXAR,Governor,,Wendy R. Davis,DEM,145711
BEXAR,Governor,,Greg Abbott,REP,149697
BEXAR,Governor,,OTHER,OTH,5542
BLANCO,Governor,,Wendy R. Davis,DEM,874
BLANCO,Governor,,Greg Abbott,REP,2622
BLANCO,Governor,,OTHER,OTH,112
BORDEN,Governor,,Wendy R. Davis,DEM,18
BORDEN,Governor,,Greg Abbott,REP,240
BORDEN,Governor,,OTHER,OTH,2
BOSQUE,Governor,,Wendy R. Davis,DEM,933
BOSQUE,Governor,,Greg Abbott,REP,3881
BOSQUE,Governor,,OTHER,OTH,94
BOWIE,Governor,,Wendy R. Davis,DEM,5564
BOWIE,Governor,,Greg Abbott,REP,15583
BOWIE,Governor,,OTHER,OTH,385
BRAZORIA,Governor,,Wendy R. Davis,DEM,19703
BRAZORIA,Governor,,Greg Abbott,REP,41373
BRAZORIA,Governor,,OTHER,OTH,1204
BRAZOS,Governor,,Wendy R. Davis,DEM,9125
BRAZOS,Governor,,Greg Abbott,REP,21859
BRAZOS,Governor,,OTHER,OTH,624
BREWSTER,Governor,,Wendy R. Davis,DEM,1311
BREWSTER,Governor,,Greg Abbott,REP,1499
BREWSTER,Governor,,OTHER,OTH,98
BRISCOE,Governor,,Wendy R. Davis,DEM,75
BRISCOE,Governor,,Greg Abbott,REP,431
BRISCOE,Governor,,OTHER,OTH,4
BROOKS,Governor,,Wendy R. Davis,DEM,1478
BROOKS,Governor,,Greg Abbott,REP,588
BROOKS,Governor,,OTHER,OTH,80
BROWN,Governor,,Wendy R. Davis,DEM,901
BROWN,Governor,,Greg Abbott,REP,7176
BROWN,Governor,,OTHER,OTH,124
BURLESON,Governor,,Wendy R. Davis,DEM,959
BURLESON,Governor,,Greg Abbott,REP,3199
BURLESON,Governor,,OTHER,OTH,50
BURNET,Governor,,Wendy R. Davis,DEM,2571
BURNET,Governor,,Greg Abbott,REP,8995
BURNET,Governor,,OTHER,OTH,317
CALDWELL,Governor,,Wendy R. Davis,DEM,3578
CALDWELL,Governor,,Greg Abbott,REP,5037
CALDWELL,Governor,,OTHER,OTH,291
CALHOUN,Governor,,Wendy R. Davis,DEM,1326
CALHOUN,Governor,,Greg Abbott,REP,2737
CALHOUN,Governor,,OTHER,OTH,92
CALLAHAN,Governor,,Wendy R. Davis,DEM,285
CALLAHAN,Governor,,Greg Abbott,REP,2636
CALLAHAN,Governor,,OTHER,OTH,48
CAMERON,Governor,,Wendy R. Davis,DEM,21859
CAMERON,Governor,,Greg Abbott,REP,16556
CAMERON,Governor,,OTHER,OTH,992
CAMP,Governor,,Wendy R. Davis,DEM,718
CAMP,Governor,,Greg Abbott,REP,1862
CAMP,Governor,,OTHER,OTH,33
CARSON,Governor,,Wendy R. Davis,DEM,193
CARSON,Governor,,Greg Abbott,REP,1634
CARSON,Governor,,OTHER,OTH,30
CASS,Governor,,Wendy R. Davis,DEM,1687
CASS,Governor,,Greg Abbott,REP,5185
CASS,Governor,,OTHER,OTH,75
CASTRO,Governor,,Wendy R. Davis,DEM,217
CASTRO,Governor,,Greg Abbott,REP,917
CASTRO,Governor,,OTHER,OTH,18
CHAMBERS,Governor,,Wendy R. Davis,DEM,1490
CHAMBERS,Governor,,Greg Abbott,REP,6778
CHAMBERS,Governor,,OTHER,OTH,147
CHEROKEE,Governor,,Wendy R. Davis,DEM,1862
CHEROKEE,Governor,,Greg Abbott,REP,7709
CHEROKEE,Governor,,OTHER,OTH,117
CHILDRESS,Governor,,Wendy R. Davis,DEM,134
CHILDRESS,Governor,,Greg Abbott,REP,944
CHILDRESS,Governor,,OTHER,OTH,17
CLAY,Governor,,Wendy R. Davis,DEM,363
CLAY,Governor,,Greg Abbott,REP,2436
CLAY,Governor,,OTHER,OTH,43
COCHRAN,Governor,,Wendy R. Davis,DEM,65
COCHRAN,Governor,,Greg Abbott,REP,423
COCHRAN,Governor,,OTHER,OTH,7
COKE,Governor,,Wendy R. Davis,DEM,67
COKE,Governor,,Greg Abbott,REP,696
COKE,Governor,,OTHER,OTH,7
COLEMAN,Governor,,Wendy R. Davis,DEM,234
COLEMAN,Governor,,Greg Abbott,REP,1974
COLEMAN,Governor,,OTHER,OTH,32
COLLIN,Governor,,Wendy R. Davis,DEM,57757
COLLIN,Governor,,Greg Abbott,REP,116365
COLLIN,Governor,,OTHER,OTH,3009
COLLINGSWORTH,Governor,,Wendy R. Davis,DEM,132
COLLINGSWORTH,Governor,,Greg Abbott,REP,651
COLLINGSWORTH,Governor,,OTHER,OTH,19
COLORADO,Governor,,Wendy R. Davis,DEM,1192
COLORADO,Governor,,Greg Abbott,REP,3881
COLORADO,Governor,,OTHER,OTH,84
COMAL,Governor,,Wendy R. Davis,DEM,7428
COMAL,Governor,,Greg Abbott,REP,26642
COMAL,Governor,,OTHER,OTH,650
COMANCHE,Governor,,Wendy R. Davis,DEM,544
COMANCHE,Governor,,Greg Abbott,REP,2447
COMANCHE,Governor,,OTHER,OTH,78
CONCHO,Governor,,Wendy R. Davis,DEM,77
CONCHO,Governor,,Greg Abbott,REP,511
CONCHO,Governor,,OTHER,OTH,10
COOKE,Governor,,Wendy R. Davis,DEM,1273
COOKE,Governor,,Greg Abbott,REP,7402
COOKE,Governor,,OTHER,OTH,144
CORYELL,Governor,,Wendy R. Davis,DEM,2017
CORYELL,Governor,,Greg Abbott,REP,6465
CORYELL,Governor,,OTHER,OTH,203
COTTLE,Governor,,Wendy R. Davis,DEM,48
COTTLE,Governor,,Greg Abbott,REP,310
COTTLE,Governor,,OTHER,OTH,4
CRANE,Governor,,Wendy R. Davis,DEM,127
CRANE,Governor,,Greg Abbott,REP,713
CRANE,Governor,,OTHER,OTH,11
CROCKETT,Governor,,Wendy R. Davis,DEM,203
CROCKETT,Governor,,Greg Abbott,REP,624
CROCKETT,Governor,,OTHER,OTH,8
CROSBY,Governor,,Wendy R. Davis,DEM,239
CROSBY,Governor,,Greg Abbott,REP,813
CROSBY,Governor,,OTHER,OTH,20
CULBERSON,Governor,,Wendy R. Davis,DEM,146
CULBERSON,Governor,,Greg Abbott,REP,172
CULBERSON,Governor,,OTHER,OTH,10
DALLAM,Governor,,Wendy R. Davis,DEM,100
DALLAM,Governor,,Greg Abbott,REP,727
DALLAM,Governor,,OTHER,OTH,17
DALLAS,Governor,,Wendy R. Davis,DEM,223136
DALLAS,Governor,,Greg Abbott,REP,178273
DALLAS,Governor,,OTHER,OTH,5851
DAWSON,Governor,,Wendy R. Davis,DEM,335
DAWSON,Governor,,Greg Abbott,REP,1687
DAWSON,Governor,,OTHER,OTH,22
DEAF SMITH,Governor,,Wendy R. Davis,DEM,503
DEAF SMITH,Governor,,Greg Abbott,REP,2182
DEAF SMITH,Governor,,OTHER,OTH,43
DELTA,Governor,,Wendy R. Davis,DEM,351
DELTA,Governor,,Greg Abbott,REP,984
DELTA,Governor,,OTHER,OTH,43
DENTON,Governor,,Wendy R. Davis,DEM,47238
DENTON,Governor,,Greg Abbott,REP,93683
DENTON,Governor,,OTHER,OTH,3089
DEWITT,Governor,,Wendy R. Davis,DEM,695
DEWITT,Governor,,Greg Abbott,REP,3269
DEWITT,Governor,,OTHER,OTH,54
DICKENS,Governor,,Wendy R. Davis,DEM,60
DICKENS,Governor,,Greg Abbott,REP,452
DICKENS,Governor,,OTHER,OTH,5
DIMMIT,Governor,,Wendy R. Davis,DEM,1245
DIMMIT,Governor,,Greg Abbott,REP,599
DIMMIT,Governor,,OTHER,OTH,33
DONLEY,Governor,,Wendy R. Davis,DEM,120
DONLEY,Governor,,Greg Abbott,REP,803
DONLEY,Governor,,OTHER,OTH,20
DUVAL,Governor,,Wendy R. Davis,DEM,2251
DUVAL,Governor,,Greg Abbott,REP,750
DUVAL,Governor,,OTHER,OTH,83
EASTLAND,Governor,,Wendy R. Davis,DEM,372
EASTLAND,Governor,,Greg Abbott,REP,3503
EASTLAND,Governor,,OTHER,OTH,56
ECTOR,Governor,,Wendy R. Davis,DEM,2478
ECTOR,Governor,,Greg Abbott,REP,12139
ECTOR,Governor,,OTHER,OTH,210
EDWARDS,Governor,,Wendy R. Davis,DEM,222
EDWARDS,Governor,,Greg Abbott,REP,540
EDWARDS,Governor,,OTHER,OTH,24
ELLIS,Governor,,Wendy R. Davis,DEM,7963
ELLIS,Governor,,Greg Abbott,REP,23604
ELLIS,Governor,,OTHER,OTH,608
EL PASO,Governor,,Wendy R. Davis,DEM,48506
EL PASO,Governor,,Greg Abbott,REP,29953
EL PASO,Governor,,OTHER,OTH,1949
ERATH,Governor,,Wendy R. Davis,DEM,1301
ERATH,Governor,,Greg Abbott,REP,5953
ERATH,Governor,,OTHER,OTH,139
FALLS,Governor,,Wendy R. Davis,DEM,877
FALLS,Governor,,Greg Abbott,REP,2147
FALLS,Governor,,OTHER,OTH,40
FANNIN,Governor,,Wendy R. Davis,DEM,1449
FANNIN,Governor,,Greg Abbott,REP,4897
FANNIN,Governor,,OTHER,OTH,144
FAYETTE,Governor,,Wendy R. Davis,DEM,1547
FAYETTE,Governor,,Greg Abbott,REP,5885
FAYETTE,Governor,,OTHER,OTH,108
FISHER,Governor,,Wendy R. Davis,DEM,334
FISHER,Governor,,Greg Abbott,REP,891
FISHER,Governor,,OTHER,OTH,20
FLOYD,Governor,,Wendy R. Davis,DEM,133
FLOYD,Governor,,Greg Abbott,REP,955
FLOYD,Governor,,OTHER,OTH,7
FOARD,Governor,,Wendy R. Davis,DEM,102
FOARD,Governor,,Greg Abbott,REP,205
FOARD,Governor,,OTHER,OTH,3
FORT BEND,Governor,,Wendy R. Davis,DEM,56825
